time,chord
17.670,D:maj6
25.310,A:7
29.180,A:7
33.070,E:min7
36.920,A:7
40.860,D:maj7
44.830,D:maj6
46.760,F#:7
48.750,B:min
50.670,B:minmaj7
52.670,G#:hdim7
54.610,C#:7
56.590,F#:min7
60.520,F#:min7/b7
64.490,C#:min7
66.470,F#:7(#5)
68.500,B:min7
70.530,E:9
72.620,A:sus4
76.680,A:7
78.680,D#:9(#11)
80.710,D:maj6
84.690,F:dim7
88.700,E:min7
92.760,A:7
96.710,E:min7
100.690,A#:dim
102.720,A:7
104.740,D:maj7
108.690,G#:dim
112.740,G:maj7
116.820,C#:hdim7
118.770,F#:7
120.830,B:min
124.830,E:7
128.900,A:maj
130.840,B:7(b9)
132.910,E:hdim7
134.970,A:7
137.010,D:maj6
141.100,E:min7
143.120,A:7
145.280,D:maj6
149.270,F:dim7
153.280,E:min7
157.230,A:7
161.260,E:min7
165.240,A#:dim
167.200,A:7
169.140,D:maj7
173.120,G#:dim
177.220,G:maj7
181.300,C#:hdim7
183.380,F#:7
185.480,B:min
189.490,E:7
