time,chord
0.481,G:maj7
1.657,G:maj7
2.881,G:min7
3.431,C:7
4.030,G:min7
4.616,C:7
5.110,F:maj7
6.430,F:maj7
7.740,F:min7
9.030,Bb:7
10.310,Eb:7
11.590,D:7
12.880,G:min
14.180,C:hdim7
14.830,D:7
15.480,B:min7
16.780,E:7
18.100,A:min7
19.400,D:7
20.710,G:maj7
22.040,G:maj7
23.350,G:min7
24.010,C:7
24.670,G:min7
25.330,C:7
26.000,F:maj7
27.340,F:maj7
28.660,F:min7
29.980,Bb:7
31.300,Eb:7
32.620,D:7
33.940,G:maj
35.240,A:min7
35.900,D:7
36.560,G:maj/3
37.220,Bb:7
37.890,A:min7
38.550,Ab:7
39.190,G:maj7
40.520,A:min7
41.170,D:7
41.830,G:maj7
43.180,G:maj7
44.530,G:min7
45.200,C:7
45.870,G:min7
46.540,C:7
47.210,F:maj7
48.550,F:maj7
49.900,F:min7
51.260,Bb:7
52.610,Eb:7
53.970,D:7
55.330,G:min
56.680,C:hdim7
57.370,D:7
58.040,B:min7
59.410,E:7
60.770,A:min7
62.140,D:7
63.490,G:maj7
64.860,G:maj7
66.230,G:min7
66.930,C:7
67.600,G:min7
68.290,C:7
68.960,F:maj7
70.320,F:maj7
71.680,F:min7
73.040,Bb:7
74.360,Eb:7
75.700,D:7
77.040,G:maj
78.400,A:min7
79.050,D:7
79.740,G:maj/3
80.420,Bb:7
81.090,A:min7
81.770,Ab:7
82.450,G:maj7
83.820,A:min7
84.510,D:7
85.180,G:maj7
86.540,G:maj7
87.920,G:min7
88.610,C:7
89.290,G:min7
89.980,C:7
90.660,F:maj7
92.030,F:maj7
93.380,F:min7
94.780,Bb:7
96.120,Eb:7
97.480,D:7
98.830,G:min
100.200,C:hdim7
100.880,D:7
101.570,B:min7
102.920,E:7
104.290,A:min7
105.640,D:7
106.990,G:maj7
108.350,G:maj7
109.690,G:min7
110.360,C:7
111.040,G:min7
111.720,C:7
112.400,F:maj7
113.760,F:maj7
115.120,F:min7
116.460,Bb:7
117.820,Eb:7
119.180,D:7
120.530,G:maj
121.900,A:min7
122.570,D:7
123.260,G:maj/3
123.940,Bb:7
124.630,A:min7
125.310,Ab:7
125.990,G:maj7
127.330,A:min7
128.010,D:7
128.690,G:maj7
130.070,G:maj7
131.420,G:min7
132.090,C:7
132.770,G:min7
133.460,C:7
134.140,F:maj7
135.500,F:maj7
136.860,F:min7
138.200,Bb:7
139.560,Eb:7
140.930,D:7
142.250,G:min
143.600,C:hdim7
144.280,D:7
144.970,B:min7
146.310,E:7
147.660,A:min7
149.010,D:7
150.360,G:maj7
151.720,G:maj7
153.070,G:min7
153.750,C:7
154.440,G:min7
155.120,C:7
155.800,F:maj7
157.150,F:maj7
158.510,F:min7
159.860,Bb:7
161.240,Eb:7
162.580,D:7
163.920,G:maj
165.270,A:min7
165.940,D:7
166.640,G:maj/3
167.300,Bb:7
167.980,A:min7
168.650,Ab:7
169.320,G:maj7
170.680,A:min7
171.360,D:7
172.050,G:maj7
173.410,G:maj7
174.780,G:min7
175.470,C:7
176.150,G:min7
176.830,C:7
177.500,F:maj7
178.870,F:maj7
180.230,F:min7
181.600,Bb:7
182.950,Eb:7
184.320,D:7
185.670,G:min
187.020,C:hdim7
187.700,D:7
188.380,B:min7
189.730,E:7
191.090,A:min7
192.460,D:7
193.810,G:maj7
195.180,G:maj7
196.550,G:min7
197.220,C:7
197.900,G:min7
198.570,C:7
199.260,F:maj7
200.620,F:maj7
201.980,F:min7
203.320,Bb:7
204.670,Eb:7
206.040,D:7
207.400,G:maj
208.750,A:min7
209.420,D:7
210.080,G:maj/3
210.760,Bb:7
211.440,A:min7
212.110,Ab:7
212.790,G:maj7
