time,chord
98.6,F-
98.6,F-
98.8,F-
98.8,F-
99.0,F-j7
99.0,F-j7
99.2,F-j7
99.2,F-j7
99.4,F-7
99.4,F-7
99.6,F-7
99.6,F-7
99.8,F-6
99.8,F-6
100.0,F-6
100.2,F-6
100.4,F-6
100.6,F-6
100.8,C#j7
101.0,C#j7
101.0,C#j7
101.2,C#j7
101.4,C#j7
101.6,A#-7
101.8,A#-7
102.0,A#-7
102.2,A#-7
102.4,A#-7
102.6,A#-7
102.8,A#-7
103.0,Gm7b5
103.2,Gm7b5
103.4,Gm7b5
103.6,Gm7b5
103.8,Gm7b5
104.0,Gm7b5
104.2,Gm7b5
104.4,Gm7b5
104.6,C79b
104.8,C79b
105.0,C79b
105.2,C79b
105.4,C79b
105.6,C79b
105.8,C79b
106.0,C79b
106.2,F-
106.4,F-
106.6,F-
106.8,F-
107.0,F-
107.2,F-
107.4,F-
107.4,F-j7
107.6,F-j7
107.8,F-j7
108.0,F-j7
108.2,F-j7
108.4,F-j7
108.6,F-j7
108.8,F-7
109.0,F-7
109.2,F-7
109.4,F-7
109.6,F-7
109.8,F-7
110.0,F-7
110.2,F-7
110.4,F-6
110.6,F-6
110.8,F-6
111.0,F-6
111.2,F-6
111.4,F-6
111.6,F-6
111.8,F-6
112.0,C#j7
112.2,C#j7
112.4,C#j7
112.6,C#j7
112.6,C#j7
112.8,A#-7
113.0,A#-7
113.0,A#-7
113.2,A#-7
113.2,A#-7
113.4,A#-7
113.4,A#-7
113.6,A#-7
113.8,A#-7
114.0,D#7
114.2,D#7
114.4,D#7
114.6,D#7
114.8,D#7
115.0,D#7
115.2,D#7
115.4,D#7
115.6,Gbj7
115.8,Gbj7
116.0,Gbj7
116.0,A#-7
116.2,A#-7
116.2,C-7
116.4,C-7
116.6,C-7
116.8,A#-7
117.0,A#-7
117.2,A#-7
117.2,Gbj7
117.4,Gbj7
117.4,A#-7
117.6,A#-7
117.6,C-7
117.8,C-7
117.8,A#-7
118.0,A#-7
118.2,A#-7
118.4,Gbj7
118.6,Gbj7
118.8,Gbj7
119.0,Gbj7
119.2,C7
119.4,C7
119.6,C7
119.8,C7
120.0,F-7
120.2,F-7
120.4,D#-7
120.4,D7
120.6,C#j7
120.6,C#j7
120.8,C#j7
121.0,C#j7
121.2,C#j7
121.4,C#j7
121.6,Gm7b5
121.8,Gm7b5
122.0,Gm7b5
122.2,Gm7b5
122.4,C7
122.6,C7
122.8,C7
123.0,C7
123.2,F-
123.4,F-
123.6,F-
123.8,F-
124.0,F-
124.0,F-
124.2,F-j7
124.2,F-j7
124.4,F-j7
124.4,F-j7
124.6,F-7
124.8,F-7
124.8,F-7
125.0,F-7
125.0,F-6
125.2,F-6
125.2,F-6
125.4,F-6
125.4,C#j7
125.6,C#j7
125.6,C#j7
125.8,C#j7
126.0,C#j7
126.2,Gm7b5
126.4,Gm7b5
126.6,Gm7b5
126.8,Gm7b5
127.0,C79b
127.2,C79b
127.4,C79b
127.6,C79b
127.8,F-7
128.0,F-7
128.2,F-7
128.4,E7
128.6,E7
128.6,D#-7
128.8,D#-7
128.8,Gb7
129.0,Gb7
129.2,Gb7
129.4,C#j7
129.6,C#j7
129.8,C#j7
130.0,C#j7
130.2,C#j7
130.4,C#j7
130.6,C#j7
130.8,C#j7
131.0,A#-79
131.2,A#-79
131.4,A#-79
131.6,A#-79
131.8,D#7
132.0,D#7
132.2,D#7
132.4,D#7
132.6,Gb6
132.8,Gb6
133.0,Gb6
133.2,Gb6
133.4,Gb6
133.6,Gb6
133.8,Gm7b5
134.0,Gm7b5
134.2,Gm7b5
134.4,Gm7b5
134.6,C7
134.8,C7
135.0,C7
135.2,C7
135.4,F-
135.6,F-
135.8,F-
135.8,F-
136.0,F-
136.0,F-j7
136.2,F-j7
136.2,F-j7
136.4,F-j7
136.4,F-7
136.6,F-7
136.6,F-7
136.8,F-7
137.0,F-7
137.2,F-6
137.4,F-6
137.6,F-6
137.8,F-6
138.0,F-6
138.0,C#j7
138.2,C#j7
138.2,C#j7
138.4,C#j7
138.6,C#j7
138.8,A#-7
139.0,A#-7
139.2,A#-7
139.4,A#-7
139.6,A#-7
139.8,A#-7
140.0,A#-7
140.2,A#-7
140.4,Gm7b5
140.6,Gm7b5
140.8,Gm7b5
141.0,Gm7b5
141.2,Gm7b5
141.2,Gm7b5
141.4,C79b
141.4,C79b
141.6,C79b
141.6,C79b
141.8,F-
141.8,F-
142.0,F-
142.0,F-
142.2,F-j7
142.2,F-j7
142.4,F-j7
142.4,F-j7
142.6,F-7
142.6,F-7
142.8,F-7
142.8,F-7
143.0,F-6
143.0,F-6
143.2,F-6
143.2,F-6
143.4,C#j7
143.6,C#j7
143.8,C#j7
144.0,C#j7
144.0,C#j7
144.2,A#-7
144.2,A#-7
144.4,A#-7
144.4,A#-7
144.6,A#-7
144.6,A#-7
144.8,A#-7
144.8,A#-7
145.0,D#7
145.2,D#7
145.4,D#7
145.4,D#7
145.6,D#7
145.6,Gbj7
145.8,Gbj7
145.8,A#-7
146.0,A#-7
146.0,C-7
146.2,C-7
146.2,A#-7
146.4,A#-7
146.6,A#-7
146.8,Gbj7
147.0,Gbj7
147.2,A#-7
147.2,A#-7
147.4,C-7
147.4,C-7
147.6,A#-7
147.6,A#-7
147.8,Gbj7
147.8,Gbj7
148.0,C7
148.2,C7
148.2,F-7
148.4,F-7
148.4,D#-7
148.6,D7
148.6,C#j7
148.8,C#j7
148.8,C#j7
149.0,C#j7
149.0,Gm7b5
149.2,Gm7b5
149.2,C7
149.4,C7
149.6,C7
149.8,F-
150.0,F-
150.0,F-
150.2,F-
150.2,F-j7
150.4,F-j7
150.4,F-j7
150.6,F-j7
150.6,F-7
150.8,F-7
150.8,F-7
151.0,F-7
151.2,F-7
151.4,F-6
151.6,F-6
151.6,F-6
151.8,F-6
151.8,C#j7
152.0,C#j7
152.0,C#j7
152.2,C#j7
152.2,Gm7b5
152.4,Gm7b5
152.4,C79b
152.6,C79b
152.6,F-7
152.8,F-7
153.0,F-7
153.2,E7
153.4,E7
153.6,E7
153.6,D#-7
153.8,D#-7
153.8,Gb7
154.0,Gb7
154.0,C#j7
154.2,C#j7
154.2,C#j7
154.4,C#j7
154.4,A#-79
154.6,A#-79
154.6,D#7
154.8,D#7
154.8,Gb6
155.0,Gb6
155.0,Gb6
155.2,Gb6
155.2,Gm7b5
155.4,Gm7b5
155.4,C7
155.6,C7
155.8,C7
156.0,F-
156.2,F-
156.4,F-
156.6,F-
156.8,F-
156.8,F-
157.0,F-j7
157.0,F-j7
157.2,F-j7
157.2,F-j7
157.4,F-7
157.4,F-7
157.6,F-7
157.6,F-7
157.8,F-6
158.0,F-6
158.0,F-6
158.2,F-6
158.2,C#j7
158.4,C#j7
158.4,C#j7
158.6,C#j7
158.6,A#-7
158.8,A#-7
158.8,A#-7
159.0,A#-7
159.0,Gm7b5
159.2,Gm7b5
159.2,Gm7b5
159.4,Gm7b5
159.4,C79b
159.6,C79b
159.6,C79b
159.8,C79b
160.0,C79b
160.2,F-
160.4,F-
160.6,F-
160.8,F-
161.0,F-
161.2,F-
161.4,F-
161.6,F-
161.8,F-j7
162.0,F-j7
162.2,F-j7
162.4,F-j7
162.6,F-j7
162.8,F-j7
163.0,F-j7
163.2,F-7
163.2,F-7
163.4,F-7
163.4,F-7
163.6,F-6
163.6,F-6
163.8,F-6
163.8,F-6
164.0,C#j7
164.0,C#j7
164.2,C#j7
164.2,C#j7
164.4,A#-7
164.4,A#-7
164.6,A#-7
164.6,A#-7
164.8,A#-7
164.8,A#-7
165.0,A#-7
165.0,A#-7
165.2,D#7
165.4,D#7
