time,chord
19.000,Fj7
19.200,Fj7
19.200,Fj7
19.400,Fj7
19.400,Fj7
19.600,Fj7
19.600,Fj7
19.800,Fj7
20.000,Fj7
20.200,G7alt
20.400,G7alt
20.600,G7alt
20.800,G7alt
21.000,G7alt
21.200,G7alt
21.400,G7alt
21.600,G7alt
21.800,G7alt
22.000,G7alt
22.200,G7alt
22.400,G7alt
22.600,G7alt
22.800,G7alt
23.000,G7alt
23.200,G7alt
23.400,G-7
23.600,G-7
23.800,G-7
23.800,G-7
24.000,G-7
24.200,G-7
24.400,C7
24.600,C7
24.800,C7
25.000,C7
25.200,C7
25.200,C7
25.400,Am7b5
25.600,Am7b5
25.800,Am7b5
26.000,Am7b5
26.200,Am7b5
26.400,Am7b5
26.600,Am7b5
26.800,Am7b5
27.000,D79b
27.200,D79b
27.400,D79b
27.600,D79b
27.800,D79b
28.000,D79b
28.200,D79b
28.400,D79b
28.600,G-7
28.800,G-7
29.000,G-7
29.200,G-7
29.400,G-7
29.600,G-7
29.800,G-7
30.000,G-7
30.200,A79b
30.400,A79b
30.600,A79b
30.800,A79b
31.000,A79b
31.200,A79b
31.400,A79b
31.600,A79b
31.800,D7
32.000,D7
32.200,D7
32.400,D7
32.600,D7
32.800,D7
33.000,D7
33.200,D7
33.400,D79b
33.600,D79b
33.800,D79b
34.000,D79b
34.200,D79b
34.400,D79b
34.600,D79b
34.800,D79b
35.000,G79b
35.200,G79b
35.400,G79b
35.600,G79b
35.800,G79b
36.000,G79b
36.200,G79b
36.400,G79b
36.600,G79b
36.600,G79b
36.800,G79b
37.000,G79b
37.200,F#bj7
37.400,F#bj7
37.600,F#bj7
37.800,F#bj7
38.000,F#bj7
38.200,F#bj7
38.400,F#bj7
38.600,F#bj7
38.800,F#bj7
39.000,F#bj7
39.200,F#bj7
39.400,F#bj7
39.600,F#bj7
39.800,F#bj7
40.000,F#bj7
40.200,Fj7
40.400,Fj7
40.600,Fj7
40.800,Fj7
41.000,Fj7
41.200,Fj7
41.400,Fj7
41.600,Fj7
41.800,Fj7
42.000,Fj7
42.000,Fj7
42.200,Fj7
42.400,Fj7
42.600,G7alt
42.800,G7alt
43.000,G7alt
43.200,G7alt
43.400,G7alt
43.600,G7alt
43.800,G7alt
44.000,G7alt
44.200,G7alt
44.400,G7alt
44.600,G7alt
44.800,G7alt
45.000,G7alt
45.200,G7alt
45.400,G-7
45.600,G-7
45.800,G-7
46.000,G-7
46.200,G-7
46.400,G-7
46.600,G-7
46.800,G-7
47.000,C7
47.200,C7
47.400,C7
47.600,C7
47.800,C7
48.000,C7
48.200,C7
48.400,Am7b5
48.600,Am7b5
48.800,Am7b5
49.000,Am7b5
49.200,Am7b5
49.200,Am7b5
49.400,D79b
49.600,D79b
49.800,D79b
50.000,D79b
50.200,D79b
50.400,D79b
50.600,D79b
50.800,D79b
51.000,G-7
51.200,G-7
51.400,G-7
51.600,G-7
51.800,G-7
52.000,G-7
52.200,G-7
52.400,G-7
52.600,A#-
52.800,A#-
53.000,A#-
53.200,A#-
53.400,A#-
53.600,A#-
53.800,A#-
54.000,A-7
54.200,A-7
54.400,A-7
54.600,A-7
54.800,A-7
55.000,A-7
55.200,A-7
55.400,A-7
55.600,B7b5
55.800,B7b5
56.000,B7b5
56.200,B7b5
56.400,E79#
56.600,E79#
56.800,E79#
57.000,Aj7
57.200,Aj7
57.400,Aj7
57.600,Aj7
57.800,Aj7
58.000,Aj7
58.200,Aj7
58.400,Aj7
58.600,A#o7
58.800,A#o7
59.000,A#o7
59.200,A#o7
59.400,A#o7
59.600,A#o7
59.800,A#o7
60.000,A#o7
60.200,B7
60.400,B7
60.400,B7
60.600,B7
60.800,B7
61.000,E7
61.200,E7
61.400,E7
61.600,E7
61.800,E7
62.000,E7
62.200,E7
62.400,E7
62.600,Aj7
62.800,Aj7
63.000,Aj7
63.200,Aj7
63.400,Aj7
63.600,Aj7
63.800,Aj7
64.000,Aj7
64.200,F##-7
64.400,F##-7
64.600,F##-7
64.800,F##-7
65.000,F##-7
65.200,F##-7
65.400,F##-7
65.600,F##-7
65.800,B7
66.000,B7
66.200,B7
66.400,B7
66.600,B7
66.800,B7
67.000,B7
67.200,B7
67.400,E7
67.600,E7
67.800,E7
67.800,E7
68.000,E7
68.000,Cj7
68.200,Cj7
68.200,Cj7
68.400,Cj7
68.400,C##o7
68.600,C##o7
68.600,C##o7
68.800,C##o7
69.000,C##o7
69.200,D-7
69.400,D-7
69.600,D-7
69.800,D-7
70.000,D-7
70.200,D-7
70.400,D-7
70.600,D-7
70.800,G7
71.000,G7
71.200,G7
71.400,G7
71.600,G7
71.800,G7
72.000,G7
72.200,G-7
72.200,G-7
72.400,G-7
72.400,G-7
72.600,Am7b5
72.600,Am7b5
72.800,D79b
72.800,D79b
73.000,G-7
73.000,G-7
73.200,G-7
73.200,G-7
73.400,C7alt
73.600,C7alt
73.600,C7alt
73.800,C7alt
73.800,Fj7
74.000,Fj7
74.000,Fj7
74.200,Fj7
74.200,Fj7
74.400,Fj7
74.400,Fj7
74.600,Fj7
74.800,Fj7
75.000,G7alt
75.200,G7alt
75.400,G7alt
75.600,G7alt
75.800,G7alt
76.000,G7alt
76.200,G7alt
76.400,G7alt
76.600,G7alt
76.800,G7alt
77.000,G7alt
77.200,G7alt
77.400,G7alt
77.600,G7alt
77.800,G7alt
78.000,G7alt
78.200,G-7
78.400,G-7
78.600,G-7
78.600,G-7
78.800,G-7
79.000,G-7
79.200,C7
79.400,C7
79.600,C7
79.600,C7
79.800,C7
80.000,C7
80.200,Am7b5
80.400,Am7b5
80.600,Am7b5
80.800,Am7b5
81.000,Am7b5
81.200,Am7b5
81.200,D79b
81.400,D79b
81.400,D79b
81.600,D79b
81.800,D79b
82.000,G-7
82.200,G-7
82.400,G-7
82.600,G-7
82.800,G-7
83.000,G-7
83.200,G-7
83.400,G-7
83.600,A79b
83.800,A79b
84.000,A79b
84.000,A79b
84.200,A79b
84.200,D7
84.400,D7
84.400,D7
84.600,D7
84.600,D79b
84.800,D79b
84.800,D79b
85.000,D79b
85.000,G79b
85.200,G79b
85.200,G79b
85.400,G79b
85.400,G79b
85.600,G79b
85.600,G79b
85.800,G79b
86.000,G79b
86.200,F#bj7
86.400,F#bj7
86.600,F#bj7
86.800,F#bj7
87.000,F#bj7
87.200,F#bj7
87.200,F#bj7
87.400,F#bj7
87.400,F#bj7
87.600,F#bj7
87.600,Fj7
87.800,Fj7
87.800,Fj7
88.000,Fj7
88.000,Fj7
88.200,Fj7
88.200,Fj7
88.400,Fj7
88.600,Fj7
88.800,G7alt
