time,chord
4.8,C:min7
5.2,C:min7
5.6,C:min7
6.0,C:min7
6.4,C:min7
6.8,C:min7
7.2,C:min7
7.6,C:min7
8.0,C:min7
8.4,C:min7
8.8,C:min7
9.2,C:min7
9.6,C:min7
10.0,C:min7
10.4,C:min7
10.8,C:min7
11.2,C:min7
11.6,C:min7
12.0,C:min7
12.4,C:min7
12.8,C:min7
13.2,C:min7
13.6,C:min7
14.0,C:min7
14.4,F:min7
14.8,F:min7
15.2,F:min7
15.6,F:min7
16.0,F:min7
16.4,F:min7
16.8,F:min7
17.2,F:min7
17.6,F:min7
18.0,F:min7
18.4,F:min7
18.8,F:min7
19.2,C:min7
19.6,C:min7
20.0,C:min7
20.4,C:min7
20.8,C:min7
21.2,C:min7
21.6,C:min7
22.0,C:min7
22.4,C:min7
22.8,C:min7
23.2,C:min7
23.6,C:min7
24.0,F#:hdim7
24.4,F#:hdim7
24.8,F#:hdim7
25.2,"F:7(9,13)"
25.6,"F:7(9,13)"
26.0,"F:7(9,13)"
26.4,E:hdim7
26.8,E:hdim7
27.2,E:hdim7
27.6,A:7
28.0,A:7
28.4,A:7
28.8,C:min7
29.2,C:min7
29.6,C:min7
30.0,C:min7
30.4,C:min7
30.8,C:min7
31.2,C:min7
31.6,C:min7
32.0,C:min7
32.4,C:min7
32.8,C:min7
33.2,C:min7
33.6,C:min7
34.0,C:min7
34.4,C:min7
34.8,C:min7
35.2,C:min7
35.6,C:min7
36.0,C:min7
36.4,C:min7
36.8,C:min7
37.2,C:min7
37.6,C:min7
38.0,C:min7
38.4,C:min7
38.8,C:min7
39.2,C:min7
39.6,C:min7
40.0,C:min7
40.2,C:min7
41.6,C:min7
42.2,C:min7
42.6,C:min7
43.0,C:min7
43.4,C:min7
43.8,C:min7
44.2,C:min7
44.6,F:min7
45.0,F:min7
45.4,F:min7
45.8,F:min7
46.6,F:min7
47.0,F:min7
47.4,F:min7
47.8,F:min7
48.2,F:min7
48.4,F:min7
49.4,F:min7
50.4,F:min7
50.6,F:min7
52.0,F:min7
52.2,F:min7
53.6,C:min7
54.2,C:min7
54.6,C:min7
55.0,C:min7
55.4,C:min7
55.8,C:min7
56.2,C:min7
56.6,C:min7
57.0,C:min7
58.0,C:min7
58.2,C:min7
59.6,C:min7
59.8,C:min7
61.2,C:min7
61.4,C:min7
62.8,F#:hdim7
63.0,F#:hdim7
64.4,F#:hdim7
64.6,F#:hdim7
65.8,F#:hdim7
67.2,"F:7(9,13)"
67.4,"F:7(9,13)"
68.8,"F:7(9,13)"
69.0,"F:7(9,13)"
70.4,"F:7(9,13)"
70.6,"F:7(9,13)"
72.0,E:hdim7
72.2,E:hdim7
73.0,E:hdim7
73.4,E:hdim7
73.8,A:7
74.8,A:7
75.0,A:7
76.4,A:7
76.6,A:7
78.0,C:min7
78.2,C:min7
79.6,C:min7
79.8,C:min7
81.2,C:min7
81.4,C:min7
82.8,C:min7
83.0,C:min7
84.4,C:min7
84.6,C:min7
86.0,C:min7
86.2,C:min7
87.6,C:min7
87.8,C:min7
89.2,C:min7
89.4,C:min7
90.8,C:min7
91.0,C:min7
92.4,C:min7
92.6,C:min7
94.0,C:min7
94.2,C:min7
95.6,C:min7
95.8,C:min7
97.2,C:min7
97.4,C:min7
98.8,C:min7
99.0,C:min7
100.4,C:min7
100.6,C:min7
102.0,C:min7
102.4,C:min7
102.8,C:min7
103.2,C:min7
103.6,C:min7
104.0,C:min7
104.4,C:min7
104.8,C:min7
105.2,C:min7
105.6,C:min7
106.0,C:min7
106.4,C:min7
106.8,C:min7
107.8,C:min7
108.4,C:min7
108.8,C:min7
109.2,C:min7
109.6,C:min7
110.0,C:min7
110.4,C:min7
110.8,C:min7
111.2,F:min7
111.6,F:min7
112.0,F:min7
112.4,F:min7
112.8,F:min7
113.2,F:min7
113.6,F:min7
113.8,F:min7
115.2,F:min7
115.4,F:min7
116.8,F:min7
117.0,F:min7
118.2,F:min7
118.4,F:min7
119.8,F:min7
120.0,F:min7
121.4,F:min7
121.6,F:min7
123.0,C:min7
123.2,C:min7
124.6,C:min7
124.8,C:min7
126.2,C:min7
126.6,C:min7
127.0,C:min7
127.4,C:min7
127.8,C:min7
128.2,C:min7
128.6,C:min7
129.0,C:min7
129.4,C:min7
129.8,C:min7
130.0,C:min7
131.4,F#:hdim7
131.6,F#:hdim7
133.0,F#:hdim7
133.2,F#:hdim7
134.6,F#:hdim7
134.8,F#:hdim7
136.2,"F:7(9,13)"
136.4,"F:7(9,13)"
137.8,"F:7(9,13)"
138.0,"F:7(9,13)"
139.4,"F:7(9,13)"
139.6,"F:7(9,13)"
141.0,E:hdim7
141.2,E:hdim7
142.6,E:hdim7
143.0,E:hdim7
143.4,A:7
143.8,A:7
144.2,A:7
144.6,C:min7
145.0,C:min7
145.4,C:min7
145.8,C:min7
146.2,C:min7
146.6,C:min7
147.0,C:min7
148.0,C:min7
148.2,C:min7
149.6,C:min7
149.8,C:min7
150.8,C:min7
151.2,C:min7
151.6,C:min7
