time,chord
40.4,C:min7
41.0,C:min7
41.6,C:min7
42.2,C:min7
42.8,C:min7
43.4,C:min7
44.0,C:min7
44.6,C:min7
45.2,C:min7
45.8,C:min7
46.4,C:min7
47.0,C:min7
47.6,C:min7
48.2,C:min7
48.8,C:min7
49.8,C:min7
50.0,C:min7
52.2,C:min7
52.4,C:min7
54.4,C:min7
54.6,C:min7
56.8,C:min7
57.0,C:min7
59.2,C:min7
59.4,C:min7
61.6,C:min7
61.8,C:min7
64.0,C:min7
64.2,C:min7
66.4,C:min7
66.6,C:min7
68.8,C:min7
69.0,C:min7
71.2,F:min7
71.4,F:min7
73.6,F:min7
73.8,F:min7
76.0,F:min7
76.2,F:min7
78.4,F:min7
78.6,F:min7
80.8,F:min7
81.0,F:min7
83.2,F:min7
83.4,F:min7
85.0,F:min7
85.6,F:min7
86.2,F:min7
86.8,F:min7
88.0,F:min7
88.2,F:min7
89.4,F:min7
90.4,C:min7
90.6,C:min7
92.4,C:min7
94.6,C:min7
94.8,C:min7
97.0,C:min7
97.2,C:min7
99.4,C:min7
99.6,C:min7
100.4,C:min7
101.0,C:min7
101.6,C:min7
102.2,C:min7
104.0,C:min7
104.2,C:min7
106.4,C:min7
106.6,C:min7
108.8,C:min7
109.0,C:min7
111.2,F#:hdim7
111.4,F#:hdim7
113.6,F#:hdim7
113.8,F#:hdim7
116.0,F#:hdim7
116.2,F#:hdim7
118.4,"F:7(9,13)"
118.6,"F:7(9,13)"
120.8,"F:7(9,13)"
121.0,"F:7(9,13)"
123.2,"F:7(9,13)"
123.4,"F:7(9,13)"
125.6,E:hdim7
125.8,E:hdim7
128.0,E:hdim7
128.2,E:hdim7
130.4,E:hdim7
130.6,E:hdim7
132.8,A:7
133.0,A:7
135.2,A:7
135.4,A:7
137.6,A:7
137.8,A:7
140.0,C:min7
140.2,C:min7
141.4,C:min7
142.0,C:min7
142.6,C:min7
143.2,C:min7
143.8,C:min7
144.4,C:min7
145.0,C:min7
145.6,C:min7
146.2,C:min7
146.8,C:min7
147.4,C:min7
148.0,C:min7
148.6,C:min7
149.2,C:min7
149.8,C:min7
150.4,C:min7
151.0,C:min7
151.6,C:min7
152.2,C:min7
152.8,C:min7
153.4,C:min7
154.0,C:min7
154.6,C:min7
156.8,C:min7
157.4,C:min7
158.2,C:min7
158.8,C:min7
159.4,C:min7
161.0,C:min7
161.2,C:min7
163.4,C:min7
163.6,C:min7
165.2,C:min7
165.8,C:min7
166.4,C:min7
167.0,C:min7
167.6,C:min7
168.2,F:min7
168.8,F:min7
169.4,F:min7
170.0,F:min7
170.6,F:min7
171.2,F:min7
171.8,F:min7
172.4,F:min7
173.0,F:min7
173.6,F:min7
174.2,F:min7
174.8,F:min7
175.4,C:min7
176.0,C:min7
176.6,C:min7
177.2,C:min7
177.8,C:min7
178.4,C:min7
179.0,C:min7
179.6,C:min7
180.2,C:min7
180.8,C:min7
182.2,C:min7
182.8,C:min7
183.4,F#:hdim7
185.0,F#:hdim7
185.2,F#:hdim7
187.4,F#:hdim7
188.0,"F:7(9,13)"
188.6,"F:7(9,13)"
190.2,"F:7(9,13)"
190.4,"F:7(9,13)"
192.6,E:hdim7
192.8,E:hdim7
193.4,E:hdim7
195.6,E:hdim7
195.8,E:hdim7
198.0,A:7
198.2,A:7
200.2,A:7
200.8,A:7
201.4,C:min7
202.0,C:min7
202.6,C:min7
202.8,C:min7
205.0,C:min7
205.2,C:min7
206.8,C:min7
207.4,C:min7
209.0,C:min7
209.2,C:min7
209.8,C:min7
210.4,C:min7
211.0,C:min7
211.6,C:min7
213.2,C:min7
213.4,C:min7
215.6,C:min7
215.8,C:min7
218.0,C:min7
218.2,C:min7
220.0,C:min7
220.6,C:min7
221.2,C:min7
221.8,C:min7
222.4,C:min7
223.0,C:min7
223.6,C:min7
224.2,C:min7
224.8,C:min7
225.8,C:min7
226.0,C:min7
228.2,C:min7
228.4,C:min7
230.6,C:min7
230.8,C:min7
233.0,C:min7
233.2,C:min7
235.4,C:min7
235.6,C:min7
236.6,C:min7
237.2,C:min7
238.4,C:min7
238.6,C:min7
240.8,C:min7
241.0,C:min7
243.2,C:min7
243.4,C:min7
244.8,C:min7
245.4,C:min7
246.0,C:min7
246.6,F:min7
247.2,F:min7
248.4,F:min7
248.6,F:min7
250.8,F:min7
251.0,F:min7
253.2,F:min7
253.4,F:min7
255.6,F:min7
256.4,F:min7
257.0,F:min7
257.6,F:min7
258.2,F:min7
258.8,F:min7
259.4,F:min7
260.0,C:min7
260.6,C:min7
261.2,C:min7
261.8,C:min7
262.0,C:min7
264.2,C:min7
264.4,C:min7
266.6,C:min7
266.8,C:min7
267.8,C:min7
269.6,C:min7
270.2,C:min7
271.8,C:min7
272.0,C:min7
273.6,C:min7
274.2,C:min7
275.4,F#:hdim7
275.6,F#:hdim7
277.8,F#:hdim7
278.0,F#:hdim7
279.0,F#:hdim7
279.6,"F:7(9,13)"
280.2,"F:7(9,13)"
280.8,"F:7(9,13)"
281.4,E:hdim7
283.0,E:hdim7
283.2,E:hdim7
285.4,E:hdim7
285.6,E:hdim7
287.8,A:7
288.4,A:7
290.0,A:7
290.2,A:7
292.4,C:min7
293.0,C:min7
293.6,C:min7
294.2,C:min7
294.8,C:min7
295.4,C:min7
296.4,C:min7
296.6,C:min7
298.8,C:min7
299.0,C:min7
301.2,C:min7
301.8,C:min7
302.4,C:min7
303.0,C:min7
