time,chord
11.240,Cj7
12.700,A-7
14.170,D-7
15.620,G7
17.020,E7
18.490,Am7b5
19.980,D-7
21.400,Gsus7
22.850,Cj7
24.330,A-7
25.720,D-7
27.130,G7
28.540,E7
29.940,A7
31.370,D-7
32.780,Gsus7
34.210,Cj7
35.670,A-7
37.080,D-7
38.520,G7
39.930,E7
41.330,Am7b5
42.730,D7
44.140,Gsus7
45.490,Cj7
46.910,A-7
48.270,D-7
49.690,G7
51.080,C6
52.490,Bb7
53.850,Cj7
56.650,E-7
58.100,A7
59.520,E-7
60.930,A7
62.340,Dj7
63.730,Gj7
65.140,Dj7
67.860,D-7
69.270,G7
70.630,D-7
72.030,G7
73.410,E-7
74.820,A7
76.200,D7
77.640,Gsus7
79.040,Cj7
80.450,A-7
81.850,D-7
83.200,G7
84.610,E7
85.980,A7
87.390,D7
88.760,Gsus7
90.150,Cj7
91.600,A79b
92.980,D-7
94.370,G7
95.720,C6
101.250,Cj7
102.680,A-7
104.090,D-7
105.490,G7
106.880,E7
108.310,Am7b5
109.700,D-7
111.050,Gsus7
112.470,Cj7
113.880,A-7
115.290,D-7
116.650,G7
118.050,E7
119.490,A7
120.880,D-7
122.280,Gsus7
123.680,Cj7
125.080,A-7
126.440,D-7
127.830,G7
129.250,E7
130.620,Am7b5
132.020,D7
133.410,Gsus7
134.820,Cj7
136.230,A-7
137.660,D-7
139.000,G7
140.390,C6
141.780,Bb7
143.140,Cj7
145.890,E-7
147.280,A7
148.660,E-7
150.050,A7
151.430,Dj7
152.870,Gj7
154.230,Dj7
157.010,D-7
158.370,G7
159.770,D-7
161.210,G7
162.580,E-7
164.010,A7
165.460,D7
166.890,Gsus7
168.290,Cj7
169.680,A-7
171.090,D-7
172.500,G7
173.930,E7
175.340,A7
176.730,D7
178.140,Gsus7
179.550,Cj7
180.940,A79b
182.340,D-7
183.770,G7
185.170,C6
187.980,D-7
189.420,G7
190.880,Cj7
192.290,A-7
193.700,D-7
195.110,G7
196.540,E7
197.960,Am7b5
199.380,D-7
200.790,Gsus7
202.170,Cj7
203.640,A-7
205.040,D-7
206.470,G7
207.880,E7
209.300,A7
210.730,D-7
212.130,Gsus7
213.540,Cj7
214.960,A-7
216.480,D-7
217.870,G7
219.260,E7
220.700,Am7b5
222.090,D7
223.490,Gsus7
224.880,Cj7
226.260,A-7
227.600,D-7
229.000,G7
230.390,C6
231.780,Bb7
233.170,Cj7
235.940,E-7
237.320,A7
238.690,E-7
240.070,A7
241.450,Dj7
242.830,Gj7
244.250,Dj7
247.010,D-7
248.420,G7
249.820,D-7
251.250,G7
252.640,E-7
254.060,A7
255.470,D7
256.940,Gsus7
258.330,Cj7
259.750,A-7
261.170,D-7
262.600,G7
264.020,E7
265.440,A7
266.840,D7
268.260,Gsus7
269.700,Cj7
271.140,A79b
272.600,D-7
274.000,G7
275.400,C6
278.240,D-7
279.660,G7
281.060,Cj7
282.490,A-7
283.930,D-7
285.310,G7
286.710,E7
288.120,Am7b5
289.490,D-7
290.860,Gsus7
292.260,Cj7
293.650,A-7
295.090,D-7
296.510,G7
297.960,E7
299.420,A7
300.850,D-7
302.250,Gsus7
303.640,Cj7
305.070,A-7
306.470,D-7
307.870,G7
309.250,E7
310.660,Am7b5
312.020,D7
313.440,Gsus7
314.790,Cj7
316.200,A-7
317.610,D-7
318.970,G7
320.360,C6
321.750,Bb7
323.100,Cj7
325.820,E-7
327.210,A7
328.530,E-7
329.870,A7
331.290,Dj7
332.630,Gj7
334.050,Dj7
