time,chord
6.800,F:maj6
8.290,F:maj6
9.810,Db:7
11.270,D:7
12.770,F:maj
14.250,C:7
15.730,F:maj6
17.200,G:min7
17.930,C:7
18.670,F:maj6
20.130,F:maj6
21.600,Db:7
23.050,D:7
24.500,F:maj
27.460,F:maj6
28.930,F:maj6
30.400,Eb:7
31.900,Eb:7
33.370,F:maj6
34.850,F:maj6
36.330,Db:7
37.820,Db:7
39.310,C:7
42.280,F:maj6
43.760,F:maj6
45.210,Db:7
46.690,D:7
48.160,F:maj
50.380,C:7
51.150,F:maj6
53.370,Eb:7
54.840,Eb:7
56.260,Eb:7
57.660,Eb:7
59.080,F:maj6
60.560,F:maj6
62.030,Db:7
63.490,D:7
64.970,G:min7
66.420,C:7
67.880,F:maj6
69.310,G:min7
70.020,C:7
70.760,F:maj6
72.210,F:maj6
73.670,Db:7
75.150,D:7
76.640,G:min7
78.120,C:7
79.570,F:maj6
81.060,F:maj6
82.520,Eb:7
84.000,Eb:7
85.490,F:maj6
86.980,F:maj6
88.440,Db:7
89.910,Db:7
91.390,Gb:7
92.890,C:7
94.380,F:maj6
95.870,F:maj6
97.350,Db:7
98.840,D:7
100.360,G:min7
101.860,C:7
103.350,F:maj6
104.810,F:maj6
106.300,F:maj6
107.780,F:maj6
109.280,Db:7
110.760,D:7
112.220,G:min7
113.700,C:7
115.200,F:maj6
118.180,F:maj6
119.640,F:maj6
121.100,Db:7
122.490,D:7
123.950,F:maj
125.480,G:min7
126.210,C:7
126.980,F:maj6
128.470,F:maj6
129.950,Eb:7
131.470,Eb:7
132.960,F:maj6
134.480,F:maj6
135.940,Db:7
137.470,Db:7
138.950,C:7
141.940,F:maj6
143.420,F:maj6
144.920,Db:7
146.400,D:7
147.910,F:maj
149.410,C:7
150.910,F:maj6
153.190,Eb:7
154.660,Eb:7
156.100,Eb:7
157.530,Eb:7
158.910,Eb:7
160.180,Eb:7
161.380,Eb:7
162.580,Eb:7
163.830,Eb:7
