time,chord
161.6,Gj7
161.8,Gj7
162.0,Gj7
162.2,Gj7
162.4,Gj7
162.6,Gj7
162.8,Gj7
163.0,Gj7
163.2,G-7
163.4,G-7
163.6,C7
163.8,C7
164.0,G-7
164.2,G-7
164.4,C7
164.6,C7
164.8,Fj7
165.0,Fj7
165.2,Fj7
165.4,Fj7
165.6,Fj7
165.8,Fj7
166.0,Fj7
166.2,Fj7
166.4,F-7
166.6,F-7
166.8,F-7
167.0,F-7
167.2,A#7
167.4,A#7
167.6,A#7
167.8,A#7
168.0,D#b7
168.2,D#b7
168.4,D#b7
168.6,D#b7
168.8,D7
169.0,D7
169.2,D7
169.4,D7
169.6,G-
169.8,G-
170.0,G-
170.2,G-
170.4,Cm7b5
170.6,Cm7b5
170.8,D7
171.0,D7
171.2,B7
171.4,B7
171.6,B7
171.8,B7
172.0,E7
172.2,E7
172.4,E7
172.6,E7
172.8,A-7
173.0,A-7
173.2,A-7
173.4,A-7
173.6,D7
173.8,D7
174.0,D7
174.2,D7
174.4,Gj7
174.6,Gj7
174.8,Gj7
175.0,Gj7
175.2,Gj7
175.4,Gj7
175.6,Gj7
175.8,Gj7
176.0,G-7
176.2,G-7
176.4,C7
176.6,C7
176.8,G-7
177.0,G-7
177.2,C7
177.4,C7
177.6,Fj7
177.8,Fj7
178.0,Fj7
178.2,Fj7
178.4,Fj7
178.6,Fj7
178.8,Fj7
179.0,Fj7
179.2,F-7
179.4,F-7
179.6,F-7
179.8,F-7
180.0,A#7
180.2,A#7
180.4,A#7
180.6,A#7
180.8,D#b7
181.0,D#b7
181.2,D#b7
181.4,D#b7
181.6,D7
181.8,D7
182.0,D7
182.2,D7
182.4,G
182.6,G
182.8,G
183.0,G
183.2,A-7
183.4,A-7
183.6,D7
183.8,D7
184.0,G/B
184.2,G/B
184.4,A#7
184.6,A#7
184.8,A-7
185.0,A-7
185.6,A-7
185.8,A-7
186.4,Gb7
186.6,Gb7
187.2,Gb7
187.4,Gb7
187.8,Gj7
188.0,Gj7
188.2,Gj7
188.4,Gj7
188.6,A-7
188.8,A-7
189.0,D7
189.2,D7
189.4,Gj7
189.6,Gj7
189.8,Gj7
190.0,Gj7
190.2,Gj7
190.4,Gj7
190.6,Gj7
190.8,Gj7
191.0,G-7
191.2,G-7
191.4,C7
191.6,C7
191.8,G-7
192.0,G-7
192.2,C7
192.4,C7
192.6,Fj7
192.8,Fj7
193.0,Fj7
193.2,Fj7
193.4,Fj7
193.6,Fj7
193.8,Fj7
194.0,Fj7
194.2,F-7
194.4,F-7
194.6,F-7
194.8,F-7
195.0,A#7
195.2,A#7
195.4,A#7
195.6,A#7
195.8,D#b7
196.0,D#b7
196.2,D#b7
196.4,D#b7
196.6,D7
196.8,D7
197.0,D7
197.2,D7
197.4,G-
197.6,G-
197.8,G-
198.0,G-
198.2,Cm7b5
198.4,Cm7b5
198.6,D7
198.8,D7
199.0,B7
199.2,B7
199.4,B7
199.6,B7
199.8,E7
200.0,E7
200.2,E7
200.4,E7
200.6,A-7
200.8,A-7
201.0,A-7
201.2,A-7
201.4,D7
201.6,D7
201.8,D7
202.0,D7
202.2,Gj7
202.4,Gj7
202.6,Gj7
202.8,Gj7
203.0,Gj7
203.2,Gj7
203.4,Gj7
203.6,Gj7
203.8,G-7
204.0,G-7
204.2,C7
204.4,C7
204.6,G-7
204.8,G-7
205.0,C7
205.2,C7
205.4,Fj7
205.6,Fj7
205.8,Fj7
206.0,Fj7
206.2,Fj7
206.4,Fj7
206.6,Fj7
206.8,Fj7
207.0,F-7
207.2,F-7
207.4,F-7
207.6,F-7
207.8,A#7
208.0,A#7
208.2,A#7
208.4,A#7
208.6,D#b7
208.8,D#b7
209.0,D#b7
209.2,D#b7
209.4,D7
209.6,D7
209.8,D7
210.0,D7
210.2,G
210.4,G
210.6,G
210.8,G
211.0,A-7
211.2,A-7
211.4,D7
211.6,D7
211.8,G/B
212.0,G/B
212.2,A#7
212.4,A#7
212.6,A-7
212.8,A-7
213.0,Gb7
213.2,Gb7
213.4,Gj7
213.6,Gj7
213.8,Gj7
214.0,Gj7
214.2,A-7
214.4,A-7
214.6,D7
214.8,D7
215.0,Gj7
215.2,Gj7
215.4,Gj7
215.6,Gj7
215.8,Gj7
216.0,Gj7
216.2,Gj7
216.4,Gj7
216.6,G-7
216.8,G-7
217.0,C7
217.2,C7
217.4,G-7
217.6,G-7
217.8,C7
218.0,C7
218.2,Fj7
218.4,Fj7
218.6,Fj7
218.8,Fj7
219.0,Fj7
219.2,Fj7
219.4,Fj7
219.6,Fj7
219.8,F-7
220.0,F-7
220.2,F-7
220.4,F-7
220.6,A#7
220.8,A#7
221.0,A#7
221.2,A#7
221.4,D#b7
221.6,D#b7
221.8,D#b7
222.0,D#b7
222.2,D7
222.4,D7
222.6,D7
222.8,D7
223.0,G-
223.2,G-
223.4,G-
223.6,G-
223.8,Cm7b5
224.0,Cm7b5
224.2,D7
224.4,D7
224.6,B7
224.8,B7
225.0,B7
225.2,B7
225.4,E7
225.6,E7
225.8,E7
226.0,E7
226.2,A-7
226.4,A-7
226.6,A-7
226.8,A-7
227.0,D7
227.2,D7
227.4,D7
227.6,D7
227.8,Gj7
228.0,Gj7
228.2,Gj7
228.4,Gj7
228.6,Gj7
228.8,Gj7
229.0,Gj7
229.2,Gj7
229.4,G-7
229.6,G-7
229.8,C7
230.0,C7
230.2,G-7
230.4,G-7
230.6,C7
230.8,C7
231.0,Fj7
231.2,Fj7
231.4,Fj7
231.6,Fj7
231.8,Fj7
232.0,Fj7
232.2,Fj7
232.4,Fj7
232.6,F-7
232.8,F-7
233.0,F-7
233.2,F-7
233.4,A#7
233.6,A#7
233.8,A#7
234.0,A#7
234.2,D#b7
234.4,D#b7
234.6,D#b7
234.8,D#b7
235.0,D7
235.2,D7
235.4,D7
235.6,D7
235.8,G
236.0,G
236.2,G
236.4,G
236.6,A-7
236.8,A-7
237.0,D7
237.2,D7
237.4,G/B
237.6,G/B
237.8,A#7
238.0,A#7
238.2,A-7
238.4,A-7
238.6,Gb7
238.8,Gb7
239.0,Gj7
239.2,Gj7
239.4,Gj7
239.6,Gj7
239.8,A-7
240.0,A-7
240.2,D7
240.4,D7
