time,chord
14.260,C:maj6
17.720,Bb:min7
19.580,Eb:7
21.380,Ab:maj7
24.920,D:hdim7
26.760,G:7
28.600,C:min7
30.430,A:hdim7
32.260,D:hdim7
34.120,G:7
35.940,C:maj6
39.620,D:min7
41.510,G:7
43.360,C:maj6
47.220,Bb:min7
49.090,Eb:7
50.990,Ab:maj7
54.820,D:hdim7
56.700,G:7
58.590,C:min7
60.500,A:hdim7
62.430,D:hdim7
64.370,G:7
66.220,C:maj6
70.260,G:min7
72.150,C:7
74.110,F:maj6
77.980,Eb:min7
79.930,Ab:7
81.860,Db:maj7
85.760,G:hdim7
87.690,C:7
89.580,F:min7
93.600,G:hdim7
95.570,C:7
97.490,F:min7
101.420,D:hdim7
103.290,G:7
105.330,C:maj6
109.250,Bb:min7
111.170,Eb:7
113.230,Ab:maj7
117.170,D:hdim7
119.130,G:7
121.060,C:min7
125.030,D:hdim7
126.990,G:7
128.980,C:maj6
132.850,G:min7
134.810,C:7
136.800,F:maj6
140.780,Eb:min7
142.780,Ab:7
144.780,Db:maj7
148.730,G:hdim7
150.760,C:7
152.670,F:min7
154.649,D:hdim7
156.680,G:hdim7
158.669,C:7
160.639,F:min7
164.539,D:hdim7
166.410,G:7
168.470,C:maj6
172.490,Bb:min7
174.480,A:7
176.470,Ab:maj7
180.430,D:hdim7
182.420,G:7
184.380,C:min7
186.390,A:hdim7
188.420,D:hdim7
