time,chord
0.720,G7
2.320,C7
3.880,G7
5.400,G7
6.940,C7
8.460,C7
10.010,G7
11.540,B-7
12.300,E7
13.070,A-7
14.600,D7
16.130,G7
17.650,D7
19.170,G7
20.680,C7
22.230,G7
23.730,G7
25.210,C7
26.710,C7
28.220,G7
29.700,B-7
30.440,E7
31.200,A-7
32.680,D7
34.170,G7
37.110,G7
38.610,C7
40.090,G7
41.550,G7
43.040,C7
44.500,C7
45.970,G7
47.450,B-7
48.180,E7
48.920,A-7
50.380,D7
51.860,G7
53.330,D7
54.770,G7
56.260,C7
57.730,G7
59.220,G7
60.710,C7
62.170,C7
63.650,G7
65.110,B-7
65.840,E7
66.570,A-7
68.050,D7
69.510,G7
70.990,D7
72.460,G7
73.940,C7
75.400,G7
76.860,G7
78.330,C7
79.810,C7
81.280,G7
82.750,B-7
83.480,E7
84.200,A-7
85.650,D7
87.120,G7
88.580,D7
90.040,G7
91.500,C7
92.940,G7
94.380,G7
95.830,C7
97.260,C7
98.720,G7
100.190,B-7
100.910,E7
101.630,A-7
103.060,D7
104.500,G7
105.930,D7
107.370,G7
108.830,C7
110.270,G7
111.710,G7
113.140,C7
114.600,C7
116.030,G7
117.480,B-7
118.200,E7
118.920,A-7
120.370,D7
121.810,G7
123.220,D7
124.660,G7
126.110,C7
127.570,G7
128.990,G7
130.480,C7
131.873,N.C.
136.000,A-7
137.450,D7
138.870,G7
140.300,D7
141.700,N.C.
147.250,C7
148.670,C7
150.090,G7
151.510,B-7
152.210,E7
152.920,N.C.
158.350,G7
161.240,G7
162.670,G7
164.110,C7
165.550,N.C.
175.480,G7
176.950,C7
178.400,G7
179.860,G7
181.280,C7
182.700,C7
184.160,G7
185.590,B-7
186.320,E7
187.020,A-7
188.470,D7
189.950,G7
191.400,D7
192.830,G7
194.280,C7
195.760,G7
197.180,G7
198.630,C7
200.070,C7
201.530,G7
202.970,B-7
203.690,E7
204.400,A-7
205.810,D7
207.210,G7
