time,chord
1.490,F:7
3.180,Bb:7
4.850,F:7
6.550,F:7
8.210,Bb:7
9.870,Bb:7
11.570,F:7
13.250,A:min7
14.090,D:7
14.950,G:min7
16.650,C:7
18.360,F:7
20.030,C:7
21.740,F:7
23.460,Bb:7
25.160,F:7
26.820,F:7
28.510,Bb:7
30.200,Bb:7
31.880,F:7
33.510,A:min7
34.330,D:7
35.180,G:min7
36.860,C:7
38.540,F:7
40.210,G:min7
41.040,C:7
41.860,F:7
43.560,Bb:7
45.300,F:7
47.000,F:7
48.630,Bb:7
50.300,Bb:7
51.940,F:7
53.580,A:min7
54.390,D:7
55.210,G:min7
56.870,C:7
58.500,F:7
60.150,C:7
61.810,F:7
63.450,Bb:7
65.090,F:7
66.710,F:7
68.340,Bb:7
69.970,Bb:7
71.610,F:7
74.050,D:7
74.860,G:min7
76.490,C:7
78.100,F:7
79.750,C:7
81.380,F:7
83.070,Bb:7
84.700,F:7
86.330,F:7
87.960,Bb:7
89.580,Bb:7
91.190,F:7
93.630,D:7
94.440,G:min7
96.060,C:7
97.660,F:7
99.250,C:7
100.860,F:7
102.490,Bb:7
104.090,F:7
105.680,F:7
107.280,Bb:7
108.930,Bb:7
110.530,F:7
112.940,D:7
113.740,G:min7
115.360,C:7
116.970,F:7
118.560,C:7
120.180,F:7
121.820,Bb:7
123.480,F:7
125.110,F:7
126.740,Bb:7
128.360,Bb:7
129.970,F:7
132.390,D:7
133.190,G:min7
134.820,C:7
136.450,F:7
138.040,C:7
139.610,F:7
141.260,Bb:7
142.880,F:7
144.490,F:7
146.100,Bb:7
147.740,Bb:7
149.360,F:7
151.820,D:7
152.650,G:min7
154.280,C:7
155.920,F:7
157.530,C:7
159.160,F:7
160.820,Bb:7
162.460,F:7
164.100,F:7
165.720,Bb:7
167.380,Bb:7
169.040,F:7
171.500,D:7
172.300,G:min7
173.940,C:7
175.550,F:7
177.170,C:7
178.800,F:7
180.440,Bb:7
182.070,F:7
183.660,F:7
185.250,Bb:7
186.830,Bb:7
188.440,F:7
190.910,D:7
191.710,G:min7
193.310,C:7
194.920,F:7
196.540,C:7
198.180,F:7
199.850,Bb:7
201.490,F:7
203.120,F:7
204.740,Bb:7
206.380,Bb:7
208.010,F:7
210.460,D:7
211.280,G:min7
212.900,C:7
214.530,F:7
216.160,C:7
217.780,F:7
219.420,Bb:7
221.050,F:7
222.670,F:7
224.300,Bb:7
225.890,Bb:7
227.480,F:7
229.880,D:7
230.690,G:min7
232.280,C:7
233.890,F:7
235.460,C:7
237.050,F:7
238.660,Bb:7
240.300,F:7
241.870,F:7
243.450,Bb:7
245.010,Bb:7
246.580,F:7
248.960,D:7
249.740,G:min7
251.340,C:7
252.900,F:7
254.480,C:7
256.090,F:7
257.650,Bb:7
259.250,F:7
260.810,F:7
262.390,Bb:7
263.990,Bb:7
265.570,F:7
267.150,A:min7
267.960,D:7
268.760,G:min7
270.340,C:7
271.920,F:7
273.530,C:7
275.130,F:7
276.750,Bb:7
278.350,F:7
279.950,F:7
281.540,Bb:7
283.140,Bb:7
284.710,F:7
286.280,A:min7
287.070,D:7
287.890,G:min7
289.450,C:7
291.010,F:7
292.580,C:7
294.200,F:7
295.790,Bb:7
297.360,F:7
298.950,F:7
300.550,Bb:7
302.170,Bb:7
303.780,F:7
305.410,A:min7
306.180,D:7
306.970,G:min7
308.590,C:7
310.150,F:7
311.720,C:7
313.280,F:7
314.880,Bb:7
316.490,F:7
318.070,F:7
319.650,Bb:7
321.230,Bb:7
322.880,F:7
324.490,A:min7
325.250,D:7
326.050,G:min7
327.600,C:7
329.210,F:7
330.770,C:7
332.360,F:7
333.970,Bb:7
335.560,F:7
337.150,F:7
338.720,Bb:7
340.280,Bb:7
341.880,F:7
343.450,A:min7
344.230,D:7
345.020,G:min7
346.570,C:7
348.140,F:7
349.740,C:7
351.350,F:7
352.980,Bb:7
354.590,F:7
356.160,F:7
357.760,Bb:7
359.370,Bb:7
360.940,F:7
362.520,A:min7
363.310,D:7
364.120,G:min7
365.670,C:7
367.260,F:7
368.860,C:7
370.440,F:7
372.040,Bb:7
373.650,F:7
375.270,F:7
376.880,Bb:7
378.450,Bb:7
380.060,F:7
381.660,A:min7
382.450,D:7
383.220,G:min7
384.770,C:7
386.340,F:7
387.890,C:7
389.500,F:7
391.100,Bb:7
392.680,F:7
394.250,F:7
395.820,Bb:7
397.370,Bb:7
398.940,F:7
400.510,A:min7
401.290,D:7
402.090,G:min7
403.630,C:7
405.200,F:7
406.750,C:7
408.200,F:7
409.750,Bb:7
411.330,F:7
412.920,F:7
414.480,Bb:7
416.040,Bb:7
417.610,F:7
419.150,A:min7
419.950,D:7
420.730,G:min7
422.290,C:7
