time,chord
210.2,C-7
210.6,C-7
210.8,C-7
211.2,C-7
211.4,C-7
211.8,C-7
212.0,C-7
212.4,C-7
212.6,C-7
213.0,C-7
213.6,C-7
213.8,C-7
214.8,C-7
215.0,C-7
216.0,C-7
216.2,C-7
216.6,C-7
216.8,C-7
217.2,C-7
217.4,C-7
217.8,C-7
218.0,C-7
218.4,C-7
218.6,C-7
219.0,C-7
219.2,C-7
219.6,C-7
220.2,F-7
220.4,F-7
221.4,F-7
221.6,F-7
222.0,F-7
222.2,F-7
222.6,F-7
222.8,F-7
223.2,F-7
223.4,F-7
224.4,F-7
224.6,F-7
225.6,F-7
225.8,F-7
226.8,F-7
227.0,F-7
228.0,F-7
228.2,F-7
229.2,F-7
229.4,F-7
230.4,C-7
230.6,C-7
231.0,C-7
231.2,C-7
231.6,C-7
231.8,C-7
232.2,C-7
232.4,C-7
232.8,C-7
233.0,C-7
233.4,C-7
233.6,C-7
234.0,F##m7b5
234.2,F##m7b5
234.6,F##m7b5
234.8,F7913
235.2,F7913
235.4,F7913
236.4,F7913
236.6,F7913
237.6,Em7b5
237.8,Em7b5
238.4,Em7b5
238.8,Em7b5
239.0,A7alt
239.4,A7alt
239.6,A7alt
240.0,C-7
240.2,C-7
240.6,C-7
240.8,C-7
241.2,C-7
241.4,C-7
241.8,C-7
242.0,C-7
242.4,C-7
242.6,C-7
243.0,C-7
243.2,C-7
244.0,C-7
244.2,C-7
244.6,C-7
244.8,C-7
245.2,C-7
245.4,C-7
245.8,C-7
246.0,C-7
246.4,C-7
246.6,C-7
247.0,C-7
247.2,C-7
247.6,C-7
247.8,C-7
248.2,C-7
248.4,C-7
248.8,C-7
249.0,C-7
249.4,C-7
249.6,C-7
250.6,C-7
250.8,C-7
251.8,C-7
252.0,C-7
253.0,C-7
253.2,C-7
254.2,C-7
254.4,C-7
255.2,C-7
255.4,C-7
255.8,F-7
256.0,F-7
256.4,F-7
256.6,F-7
257.6,F-7
257.8,F-7
258.2,F-7
258.4,F-7
258.8,F-7
259.0,F-7
259.4,F-7
259.6,F-7
260.0,C-7
260.2,C-7
260.6,C-7
260.8,C-7
261.2,C-7
261.4,C-7
261.8,C-7
262.0,C-7
262.4,C-7
262.6,C-7
263.0,C-7
263.2,C-7
263.6,F##m7b5
263.8,F##m7b5
264.2,F##m7b5
264.4,F7913
264.8,F7913
265.0,F7913
265.4,Em7b5
265.6,Em7b5
266.0,Em7b5
266.2,A7alt
266.6,A7alt
266.8,A7alt
267.2,C-7
267.4,C-7
267.8,C-7
268.0,C-7
268.4,C-7
268.6,C-7
269.0,C-7
269.2,C-7
269.6,C-7
269.8,C-7
270.2,C-7
270.4,C-7
270.8,C-7
271.0,C-7
271.4,C-7
271.6,C-7
272.0,C-7
272.2,C-7
272.6,C-7
272.8,C-7
273.2,C-7
273.4,C-7
274.4,C-7
274.6,C-7
275.0,C-7
275.4,C-7
275.6,C-7
276.0,C-7
276.2,C-7
276.6,C-7
276.8,C-7
277.2,C-7
277.4,C-7
277.8,C-7
278.0,C-7
278.4,C-7
278.6,C-7
279.0,F-7
279.2,F-7
279.6,F-7
280.2,F-7
280.4,F-7
281.4,F-7
281.6,F-7
282.0,F-7
282.2,F-7
282.6,F-7
282.8,F-7
283.2,F-7
283.4,F-7
283.8,C-7
284.0,C-7
284.4,C-7
284.6,C-7
285.0,C-7
285.2,C-7
285.6,C-7
285.8,C-7
286.2,C-7
286.4,C-7
286.8,C-7
287.0,C-7
287.4,F##m7b5
287.6,F##m7b5
288.0,F##m7b5
288.2,F7913
288.6,F7913
288.8,F7913
289.2,Em7b5
289.4,Em7b5
289.8,Em7b5
290.0,A7alt
290.4,A7alt
290.6,A7alt
291.0,C-7
291.2,C-7
291.6,C-7
291.8,C-7
292.2,C-7
292.4,C-7
292.8,C-7
293.0,C-7
293.4,C-7
293.6,C-7
294.0,C-7
294.2,C-7
