time,chord
13.160,Cj7
14.470,Cj7
15.770,C-7
17.090,F7
18.400,Gj7
19.720,Gj7
21.050,Bb-7
22.360,Eb7
23.670,A-7
24.990,D7
26.320,B7
27.640,E-7
28.960,A7
30.280,A7
31.590,A-7
32.890,D7
33.540,G7
34.190,Cj7
35.460,Cj7
36.760,C-7
38.040,F7
39.340,Gj7
40.650,Gj7
41.930,Bb-7
43.230,Eb7
44.520,A-7
45.800,D7
47.090,B7
48.370,E-7
49.670,A7
50.960,A-7
51.600,D7
52.230,Gj7
54.740,Cj7
56.030,Cj7
57.320,C-7
58.600,F7
59.860,Gj7
61.130,Gj7
62.420,Bb-7
63.660,Eb7
64.910,A-7
66.200,D7
67.440,B7
68.680,E-7
69.920,A7
71.160,A7
72.410,A-7
73.660,D7
74.290,G7
74.910,Cj7
76.150,Cj7
77.430,C-7
78.670,F7
79.900,Gj7
81.140,Gj7
82.390,Bb-7
83.620,Eb7
84.860,A-7
86.100,D7
87.340,B7
88.590,E-7
89.820,A7
91.080,A-7
91.700,D7
92.310,Gj7
93.550,D-7
94.180,G7
94.810,Cj7
96.070,Cj7
97.320,C-7
98.560,F7
99.800,Gj7
101.040,Gj7
102.270,Bb-7
103.520,Eb7
104.730,A-7
105.960,D7
107.270,B7
108.550,E-7
109.820,A7
111.080,A7
112.350,A-7
113.600,D7
114.220,G7
114.840,Cj7
116.110,Cj7
117.350,C-7
118.610,F7
119.850,Gj7
121.090,Gj7
122.340,Bb-7
123.590,Eb7
124.830,A-7
126.080,D7
127.350,B7
128.600,E-7
129.840,A7
131.080,A-7
131.720,D7
132.340,Gj7
133.580,D-7
134.230,G7
134.890,Cj7
136.170,Cj7
137.450,C-7
138.730,F7
139.970,Gj7
141.250,Gj7
142.480,Bb-7
143.730,Eb7
144.960,A-7
146.210,D7
147.480,B7
148.720,E-7
149.960,A7
151.220,A-7
151.850,D7
152.490,Gj7
153.740,Cj7
154.980,B-7
155.590,Bb7
156.230,A-7
158.800,G
