time,chord
90.2,G-7
90.4,G-7
90.4,C7
90.6,C7
90.6,G-7
90.8,G-7
90.8,C7
91.0,C7
91.2,C7
91.4,G-7
91.6,G-7
91.8,G-7
92.0,G-7
92.2,C7
92.4,C7
92.6,C7
92.8,C7
93.0,G-7
93.2,G-7
93.4,G-7
93.6,G-7
93.8,C7
94.0,C7
94.2,C7
94.4,C7
94.6,F6
94.8,F6
95.0,F6
95.2,F6
95.4,D-7
95.6,D-7
95.8,D-7
96.0,D-7
96.2,G-7
96.4,G-7
96.6,G-7
96.8,G-7
97.0,C7
97.2,C7
97.4,C7
97.6,C7
97.8,F6
98.0,F6
98.2,F6
98.4,F6
98.6,F6
98.8,F6
99.0,F6
99.2,F6
99.4,A-7
99.6,A-7
99.8,D7
99.8,D7
100.0,G-7
100.0,G-7
100.2,C7
100.2,C7
100.4,G-7
100.4,G-7
100.6,C7
100.6,C7
100.8,G-7
100.8,G-7
101.0,C7
101.0,C7
101.2,G-7
101.2,G-7
101.4,C7
101.4,C7
101.6,F6
101.6,F6
101.8,D-7
101.8,D-7
102.0,G-7
102.0,G-7
102.2,C7
102.2,C7
102.4,F6
102.4,F6
102.6,F6
102.6,F6
102.8,F6
102.8,F6
103.0,F6
103.0,F6
103.2,F7
103.4,F7
103.6,F7
103.8,F7
104.0,F7
104.2,F7
104.4,F7
104.6,F7
104.8,C-7
105.0,C-7
105.2,C-7
105.4,C-7
105.6,F7
105.8,F7
106.0,F7
106.2,F7
106.4,A#6
106.6,A#6
106.8,A#6
107.0,A#6
107.2,A#6
107.4,A#6
107.6,A#6
107.8,A#6
108.0,A#6
108.2,A#6
108.4,A#6
108.6,A#6
108.8,A#6
109.0,A#6
109.2,G7
109.2,G7
109.4,G7
109.4,G7
109.6,G7
109.6,G7
109.8,G7
109.8,G7
110.0,C7
110.0,C7
110.2,C7
110.2,C7
110.4,C7
110.4,C7
110.6,C7
110.6,C7
110.8,G-7
110.8,G-7
111.0,C7
111.0,C7
111.2,G-7
111.2,G-7
111.4,C7
111.4,C7
111.6,G-7
111.6,G-7
111.8,C7
111.8,C7
112.0,G-7
112.0,G-7
112.2,C7
112.4,C7
112.6,F6
112.6,F6
112.8,D-7
112.8,D-7
113.0,G-7
113.0,G-7
113.2,C7
113.2,C7
113.4,F6
113.4,F6
113.6,F6
113.6,F6
113.8,A-7
113.8,A-7
114.0,D7
114.0,D7
114.2,G-7
114.2,G-7
114.4,C7
114.4,C7
114.6,G-7
114.6,G-7
114.8,C7
114.8,C7
115.0,G-7
115.0,G-7
115.2,C7
115.2,C7
115.4,G-7
115.4,G-7
115.6,C7
115.6,C7
115.8,F6
115.8,F6
116.0,D-7
116.0,D-7
116.2,G-7
116.2,G-7
116.4,C7
116.4,C7
116.6,F6
116.6,F6
116.8,F6
116.8,F6
117.0,A-7
117.0,A-7
117.2,D7
117.2,D7
117.4,G-7
117.4,G-7
117.6,C7
117.6,C7
117.8,G-7
118.0,G-7
118.2,G-7
118.4,C7
118.4,C7
118.6,G-7
118.6,G-7
118.8,C7
118.8,C7
119.0,G-7
119.0,G-7
119.2,C7
119.2,C7
119.4,F6
119.6,F6
119.6,D-7
119.8,D-7
120.0,D-7
120.2,G-7
120.2,G-7
120.4,C7
120.4,C7
120.6,F6
120.6,F6
120.8,F6
120.8,F6
121.0,F6
121.0,F6
121.2,F6
121.4,F6
121.6,F6
121.8,F6
122.0,F7
122.2,F7
122.4,F7
122.6,F7
122.8,F7
123.0,F7
123.2,F7
123.4,F7
123.6,C-7
123.8,C-7
124.0,F7
124.0,F7
124.2,A#6
124.2,A#6
124.4,A#6
124.4,A#6
124.6,A#6
124.6,A#6
124.8,A#6
124.8,A#6
125.0,G7
125.0,G7
125.2,G7
125.2,G7
125.4,G7
125.4,G7
125.6,G7
125.6,G7
125.8,C7
125.8,C7
126.0,C7
126.0,C7
126.2,C7
126.2,C7
126.4,C7
126.4,C7
126.6,G-7
126.6,G-7
126.8,C7
126.8,C7
127.0,G-7
127.0,G-7
127.2,C7
127.2,C7
127.4,G-7
127.6,G-7
127.8,G-7
128.0,G-7
128.2,C7
128.4,C7
128.6,C7
128.8,C7
129.0,G-7
129.2,G-7
129.4,G-7
129.6,G-7
129.8,C7
130.0,C7
130.2,C7
130.4,F6
130.4,F6
130.6,D-7
130.6,D-7
130.8,G-7
130.8,G-7
131.0,C7
131.0,C7
131.2,F6
131.2,F6
131.4,F6
131.4,F6
131.6,A-7
131.6,A-7
131.8,D7
131.8,D7
132.0,G-7
132.2,G-7
132.4,G-7
132.6,G-7
132.8,C7
133.0,C7
133.2,C7
133.4,C7
133.6,G-7
133.6,G-7
133.8,C7
133.8,C7
134.0,G-7
134.2,G-7
134.4,G-7
134.6,G-7
134.8,C7
135.0,C7
135.2,C7
135.4,C7
135.6,G-7
135.8,G-7
136.0,G-7
136.2,G-7
136.4,C7
136.6,C7
136.8,C7
137.0,C7
137.2,F6
137.4,F6
137.6,F6
137.8,F6
138.0,D-7
138.2,D-7
138.4,D-7
138.6,D-7
138.8,G-7
139.0,G-7
139.2,G-7
139.4,G-7
139.6,C7
139.8,C7
140.0,C7
140.2,C7
140.4,F6
140.6,F6
140.6,F6
140.8,F6
140.8,A-7
141.0,A-7
141.2,A-7
141.4,D7
141.6,D7
141.8,D7
142.0,D7
142.2,G-7
142.4,G-7
142.6,G-7
142.8,G-7
143.0,C7
143.2,C7
143.4,C7
143.6,C7
143.8,G-7
144.0,G-7
144.2,G-7
144.4,G-7
144.6,C7
144.8,C7
145.0,C7
145.2,C7
145.4,G-7
145.6,G-7
145.8,G-7
146.0,G-7
146.2,C7
146.4,C7
146.6,C7
146.8,C7
147.0,G-7
147.2,G-7
147.4,G-7
147.6,G-7
147.8,C7
148.0,C7
148.2,C7
148.4,C7
148.6,F6
148.8,F6
149.0,F6
149.2,F6
149.4,D-7
149.6,D-7
149.8,D-7
150.0,D-7
150.2,G-7
150.4,G-7
150.6,G-7
150.8,G-7
151.0,C7
151.2,C7
151.4,C7
151.6,C7
151.8,F6
152.0,F6
152.2,F6
152.4,F6
152.6,F6
152.6,F6
152.8,F6
152.8,F6
153.0,F6
153.0,F6
153.2,F7
153.2,F7
153.4,F7
153.6,F7
153.8,F7
154.0,F7
154.2,C-7
154.4,C-7
154.6,C-7
154.8,C-7
155.0,F7
155.2,F7
155.4,F7
155.6,F7
155.8,A#6
156.0,A#6
156.2,A#6
156.4,A#6
156.6,A#6
156.8,A#6
157.0,A#6
157.2,A#6
157.4,A#6
157.6,A#6
157.8,A#6
158.0,A#6
158.2,A#6
158.4,A#6
158.6,A#6
158.8,A#6
159.0,G7
159.2,G7
159.2,G7
159.4,G7
159.4,G7
159.6,G7
159.6,G7
159.8,G7
160.0,G7
160.2,C7
160.4,C7
160.6,C7
160.8,C7
161.0,C7
161.2,C7
161.4,C7
161.6,C7
161.8,C7
162.0,C7
162.2,C7
162.4,C7
162.6,C7
162.8,C7
162.8,G-7
163.0,G-7
163.0,C7
163.2,C7
163.2,G-7
163.4,G-7
163.4,C7
163.6,C7
163.6,G-7
163.8,G-7
163.8,C7
164.0,C7
