time,chord
2.400,B7
2.600,B7
3.000,D7
3.200,D7
3.600,Gj7
3.800,Gj7
4.200,A#7
4.400,A#7
4.800,D#bj7
5.000,D#bj7
5.400,D#bj7
5.600,D#bj7
6.000,A-7
6.200,A-7
7.200,D7
7.400,D7
8.400,D7
8.600,D7
9.600,Gj7
9.800,Gj7
10.400,Gj7
10.600,A#7
11.000,A#7
11.200,D#bj7
11.600,D#bj7
12.200,F##7
12.400,F##7
12.800,B7
13.000,B7
13.400,B7
13.600,B7
14.000,F-7
14.200,F-7
14.600,A#7
14.800,A#7
15.200,D#bj7
15.400,D#bj7
15.800,D#bj7
16.000,D#bj7
16.400,A-7
16.600,A-7
17.000,D7
17.200,D7
17.600,Gj7
17.800,Gj7
18.200,Gj7
18.400,Gj7
19.400,Gj7
20.200,C##-7
20.400,C##-7
21.400,C##-7
21.600,C##-7
22.600,F##7
22.800,F##7
23.600,F##7
23.800,B7
24.200,B7
24.400,B7
24.800,B7
25.000,F-7
26.000,F-7
26.200,F-7
27.200,A#7
27.400,A#7
28.400,A#7
28.600,A#7
29.600,D#bj7
29.800,D#bj7
30.800,D#bj7
31.200,D#bj7
31.600,D#bj7
31.800,D#bj7
32.800,C##-7
33.000,C##-7
34.000,C##-7
34.200,C##-7
35.200,F##7
35.400,F##7
36.400,F##7
36.600,F##7
37.600,B7
37.800,B7
38.800,B7
39.000,B7
40.000,D7
40.400,D7
41.000,Gj7
41.200,Gj7
42.200,Gj7
42.400,Gj7
43.400,A#7
43.600,A#7
44.000,A#7
44.200,D#bj7
44.600,D#bj7
44.800,D#bj7
45.200,D#bj7
45.800,A-7
46.000,A-7
47.000,A-7
47.200,A-7
48.200,D7
48.400,D7
49.400,D7
49.600,D7
50.600,Gj7
50.800,Gj7
51.800,Gj7
52.000,Gj7
53.000,A#7
53.200,A#7
54.200,A#7
54.400,A#7
55.400,D#bj7
55.600,D#bj7
56.600,D#bj7
56.800,D#bj7
57.800,F##7
58.000,F##7
59.000,F##7
59.200,F##7
60.200,B7
60.400,B7
61.400,B7
61.600,B7
62.600,B7
62.800,B7
63.800,B7
64.000,B7
65.000,F-7
65.200,F-7
66.200,F-7
66.400,F-7
67.400,A#7
67.600,A#7
68.600,A#7
68.800,A#7
69.800,D#bj7
70.200,D#bj7
70.400,D#bj7
70.800,D#bj7
71.000,A-7
71.400,A-7
72.000,D7
72.200,D7
73.200,D7
73.400,D7
74.400,Gj7
74.600,Gj7
75.600,Gj7
75.800,Gj7
76.800,Gj7
77.000,Gj7
78.000,Gj7
78.200,Gj7
79.200,C##-7
79.600,C##-7
80.200,F##7
80.400,F##7
81.400,F##7
81.600,F##7
82.600,B7
82.800,B7
83.800,B7
84.000,B7
85.000,B7
85.200,B7
86.200,B7
86.400,B7
87.400,F-7
87.600,F-7
88.600,F-7
88.800,F-7
89.800,A#7
90.000,A#7
91.000,A#7
91.200,A#7
92.200,D#bj7
92.400,D#bj7
93.400,D#bj7
93.600,D#bj7
94.200,D#bj7
94.600,D#bj7
94.800,C##-7
95.200,C##-7
95.400,F##7
95.800,F##7
96.000,B7
96.400,B7
97.000,D7
97.200,D7
98.200,D7
98.600,Gj7
99.000,Gj7
99.200,A#7
99.600,A#7
100.200,D#bj7
100.400,D#bj7
101.400,D#bj7
101.600,D#bj7
102.600,D#bj7
102.800,D#bj7
103.600,D#bj7
103.800,A-7
104.200,A-7
104.800,D7
105.000,D7
106.000,D7
106.200,D7
107.200,Gj7
107.400,Gj7
108.400,Gj7
108.600,Gj7
109.600,A#7
109.800,A#7
110.800,A#7
111.000,A#7
112.000,D#bj7
112.200,D#bj7
113.200,D#bj7
113.400,D#bj7
114.400,F##7
114.600,F##7
115.600,F##7
115.800,F##7
116.400,B7
116.600,B7
117.000,B7
117.200,B7
117.600,F-7
117.800,F-7
118.200,A#7
118.400,A#7
118.800,D#bj7
119.000,D#bj7
119.400,D#bj7
119.600,D#bj7
120.000,A-7
120.200,A-7
121.200,D7
121.400,D7
122.400,D7
122.600,D7
123.600,Gj7
123.800,Gj7
124.800,Gj7
125.000,Gj7
126.000,Gj7
126.200,Gj7
127.200,Gj7
127.400,Gj7
128.400,C##-7
128.600,C##-7
129.600,C##-7
129.800,C##-7
130.800,F##7
131.000,F##7
132.000,F##7
132.200,F##7
133.200,B7
133.400,B7
134.400,B7
134.600,B7
135.600,B7
135.800,B7
136.800,B7
137.000,B7
138.000,F-7
138.200,F-7
139.200,F-7
139.400,F-7
140.200,A#7
140.400,A#7
141.400,A#7
141.600,A#7
142.600,D#bj7
142.800,D#bj7
143.800,D#bj7
144.000,D#bj7
145.000,D#bj7
145.200,D#bj7
146.200,D#bj7
146.400,D#bj7
147.400,C##-7
147.600,C##-7
148.200,C##-7
148.600,F##7
148.800,F##7
