time,chord
159.850,D7
160.860,G7
161.880,E-7
162.900,A-7
163.890,D-7
164.910,G7
165.940,Cj7
167.940,F#m7b5
168.950,B79b
169.930,E-7
170.940,A7
171.970,D-7
172.980,A7
173.970,D-7
174.640,Ab7
174.950,G7
175.960,D-7
176.940,G7
177.920,Cj7
178.930,Fj7
179.920,Bm7b5
180.930,E7
181.930,A-7
182.970,Eb7
183.970,D-7
185.010,G7
185.990,E-7
186.990,A-7
187.990,D-7
189.010,G7
190.040,Cj7
191.110,Cj7
192.160,D-7
193.140,G7
194.140,Cj7
195.130,Fj7
196.130,Bm7b5
197.150,E7
198.170,A-7
199.170,Eb7
200.200,D-7
201.220,G7
202.210,E-7
203.240,A-7
204.260,D-7
205.280,G7
206.300,E-7
207.270,A7
208.280,D-7
209.270,G7
210.300,Cj7
211.310,Fj7
212.320,Bm7b5
213.330,E7
214.360,A-7
215.360,Eb7
216.380,D-7
217.380,G7
218.410,E-7
219.440,A-7
220.470,D-7
221.490,G7
222.520,Cj7
223.540,Cj7
224.550,D7
225.560,G7
226.570,E-7
227.570,A-7
228.590,D-7
229.630,G7
230.630,Cj7
231.650,Fj7
232.640,F#m7b5
233.650,B79b
234.680,E-7
235.680,A7
236.700,D-7
237.710,D-7
238.730,D-7
239.740,G7
240.790,D-7
241.800,G7
242.850,Cj7
243.920,Fj7
244.930,Bm7b5
245.950,E7
246.990,A-7
248.010,Eb7
249.060,D-7
250.100,G7
251.110,E-7
252.140,A-7
253.190,D-7
254.210,G7
255.260,Cj7
256.330,Cj7
257.330,D-7
258.350,G7
259.380,Cj7
260.390,Fj7
261.410,Bm7b5
262.450,E7
263.460,A-7
264.490,Eb7
265.520,D-7
266.570,G7
267.590,E-7
268.600,A-7
269.610,D-7
270.640,G7
271.670,E-7
272.670,A7
273.710,D-7
274.730,G7
275.770,Cj7
276.780,Fj7
277.780,Bm7b5
278.790,E7
279.860,A-7
280.860,Eb7
281.890,D-7
282.920,G7
283.960,E-7
285.010,A-7
286.050,D-7
287.100,G7
288.150,Cj7
289.180,Cj7
289.180,A7
290.230,D7
291.260,G7
292.280,E-7
293.310,A-7
294.350,D-7
295.380,G7
296.390,Cj7
298.420,F#m7b5
299.440,B79b
300.480,E-7
301.500,A7
302.520,D-7
303.560,D-7
303.560,A7
304.600,D-7
305.630,G7
306.670,D-7
307.650,G7
308.650,Cj7
309.670,Fj7
310.680,Bm7b5
311.720,E7
312.750,A-7
313.800,Eb7
314.830,D-7
315.870,G7
316.900,E-7
317.970,A-7
319.010,D-7
320.070,G7
321.120,Cj7
322.160,Cj7
323.200,D-7
324.260,G7
325.321,Cj7
326.342,Fj7
327.342,Bm7b5
328.402,E7
329.391,A-7
330.437,Eb7
331.437,D-7
332.478,G7
333.440,E-7
334.460,A-7
335.480,D-7
336.500,G7
337.490,E-7
338.500,A7
339.530,D-7
340.550,G7
341.650,Cj7
342.730,Fj7
343.700,Bm7b5
344.700,E7
345.760,A-7
346.840,Eb7
347.900,D-7
348.960,G7
350.020,E-7
351.100,A-7
352.160,D-7
353.240,G7
354.310,Cj7
355.350,Cj7
356.010,A7
356.350,D7
357.380,G7
358.440,E-7
359.500,A-7
360.530,D-7
361.560,G7
362.570,Cj7
363.240,Fj7
364.270,F#m7b5
365.310,B79b
366.340,E-7
367.370,A7
368.390,D-7
369.110,A7
369.460,D-7
370.160,A7
370.490,D-7
371.220,Ab7
371.570,G7
372.590,D-7
373.620,G7
374.690,Cj7
375.720,Fj7
376.790,Bm7b5
377.860,E7
378.940,A-7
380.000,Eb7
381.040,D-7
382.100,G7
383.170,E-7
384.240,A-7
385.290,D-7
386.320,G7
387.370,Cj7
388.440,Cj7
423.180,D7
424.230,G7
425.270,E-7
426.310,A-7
427.360,D-7
428.420,G7
429.430,Cj7
431.560,F#m7b5
432.650,B79b
433.720,E-7
434.760,A7
435.820,D-7
436.870,D-7
436.870,A7
437.910,D-7
438.960,G7
440.050,D-7
441.180,G7
442.260,Cj7
443.300,Fj7
444.350,Bm7b5
445.400,E
446.490,A
447.550,B
448.650,D-7
449.680,G7
450.780,E-7
