time,chord
81.6,Fj7
81.6,Fj7
81.8,Fj7
81.8,Fj7
82.0,G-7
82.0,G-7
82.2,C7
82.2,C7
82.4,Fj7
82.4,Fj7
82.6,Fj7
82.6,Fj7
82.8,A#-7
82.8,A#-7
83.0,D#b7
83.0,D#b7
83.2,D#b7
83.2,D#b7
83.4,D7
83.4,D7
83.6,G-7
83.6,G-7
83.8,C7
83.8,C7
84.0,F
84.0,F
84.2,F
84.2,F
84.4,Gb-7
84.4,Gb-7
84.6,C#b7
84.6,C#b7
84.8,F#bj7
84.8,F#bj7
85.0,F#bj7
85.0,F#bj7
85.2,Gb-7
85.2,Gb-7
85.4,C#b7
85.4,C#b7
85.6,F#bj7
85.6,F#bj7
85.8,F#bj7
85.8,F#bj7
86.0,B7
86.0,B7
86.2,E7
86.2,E7
86.4,A#-7
86.4,A#-7
86.6,A7
86.6,A7
86.8,Gb-7
86.8,Gb-7
87.0,C#b7
87.0,C#b7
87.2,F#b
87.2,F#b
87.4,F#b
87.4,F#b
87.6,A-7
87.6,A-7
87.8,D7
87.8,D7
88.0,Gj7
88.0,Gj7
88.2,Gj7
88.2,Gj7
88.4,G-7
88.4,G-7
88.6,C7
88.6,C7
88.8,Fj7
88.8,Fj7
89.0,Fj7
89.0,Fj7
89.2,F-7
89.2,F-7
89.4,A#7
89.6,A#7
89.8,D#bj7
89.8,D#bj7
90.0,D#bj7
90.0,D#bj7
90.2,Gb-7
90.2,Gb-7
90.4,C#b7
90.4,C#b7
90.6,F#bj7
90.6,F#bj7
90.8,F#bj7
90.8,F#bj7
91.0,G-7
91.0,G-7
91.2,C7
91.2,C7
91.4,Fj7
91.4,Fj7
91.6,Fj7
91.6,Fj7
91.8,G-7
91.8,G-7
92.0,C7
92.0,C7
92.2,Fj7
92.2,Fj7
92.4,Fj7
92.4,Fj7
92.6,A#-7
92.6,A#-7
92.8,D#b7
92.8,D#b7
93.0,A-7
93.0,A-7
93.2,D7
93.2,D7
93.4,G-7
93.4,G-7
93.6,C7
93.6,C7
93.8,F
93.8,F
94.0,F
94.0,F
94.2,G-7
94.2,G-7
94.4,C7
94.4,C7
94.6,Fj7
94.6,Fj7
94.8,Fj7
94.8,Fj7
95.0,G-7
95.0,G-7
95.2,C7
95.2,C7
95.4,Fj7
95.4,Fj7
95.6,Fj7
95.6,Fj7
95.8,A#-7
95.8,A#-7
96.0,D#b7
96.0,D#b7
96.2,D#b7
96.2,D#b7
96.4,D7
96.4,D7
96.6,G-7
96.6,G-7
96.8,C7
96.8,C7
97.0,F
97.0,F
97.2,F
97.2,F
97.4,Gb-7
97.4,Gb-7
97.6,C#b7
97.6,C#b7
97.8,F#bj7
97.8,F#bj7
98.0,F#bj7
98.0,F#bj7
98.2,Gb-7
98.2,Gb-7
98.4,C#b7
98.4,C#b7
98.6,F#bj7
98.6,F#bj7
98.8,F#bj7
98.8,F#bj7
99.0,B7
99.2,B7
99.4,B7
99.6,B7
99.8,E7
99.8,E7
100.0,A#-7
100.0,A#-7
100.2,A7
100.2,A7
100.4,Gb-7
100.4,Gb-7
100.6,C#b7
100.6,C#b7
100.8,F#b
100.8,F#b
101.0,F#b
101.0,F#b
101.2,A-7
101.2,A-7
101.4,D7
101.4,D7
101.6,Gj7
101.6,Gj7
101.8,Gj7
101.8,Gj7
102.0,G-7
102.0,G-7
102.2,C7
102.2,C7
102.4,Fj7
102.4,Fj7
102.6,Fj7
102.6,Fj7
102.8,F-7
102.8,F-7
103.0,A#7
103.0,A#7
103.2,D#bj7
103.2,D#bj7
103.4,D#bj7
103.4,D#bj7
103.6,Gb-7
103.6,Gb-7
103.8,C#b7
103.8,C#b7
104.0,F#bj7
104.0,F#bj7
104.2,F#bj7
104.2,F#bj7
104.4,G-7
104.4,G-7
104.6,C7
104.6,C7
104.8,Fj7
104.8,Fj7
105.0,Fj7
105.0,Fj7
105.2,G-7
105.2,G-7
105.4,C7
105.4,C7
105.6,Fj7
105.6,Fj7
105.8,Fj7
105.8,Fj7
106.0,A#-7
106.0,A#-7
106.2,D#b7
106.2,D#b7
106.4,A-7
106.4,A-7
106.6,D7
106.6,D7
106.8,G-7
106.8,G-7
107.0,C7
107.0,C7
107.2,F
107.2,F
107.4,F
107.4,F
107.6,G-7
107.8,G-7
108.0,G-7
108.2,G-7
108.4,C7
108.6,C7
108.6,Fj7
108.8,Fj7
108.8,Fj7
109.0,Fj7
109.0,G-7
109.2,G-7
109.4,G-7
109.6,C7
109.8,C7
110.0,C7
110.2,C7
110.4,Fj7
110.6,Fj7
110.8,Fj7
111.0,Fj7
111.2,Fj7
111.4,Fj7
111.6,Fj7
111.8,Fj7
112.0,A#-7
112.2,A#-7
112.4,A#-7
112.6,A#-7
112.8,D#b7
113.0,D#b7
113.2,D#b7
113.4,D#b7
113.6,D#b7
113.8,D#b7
114.0,D#b7
114.2,D#b7
114.4,D7
114.6,D7
114.8,D7
115.0,D7
115.2,G-7
115.4,G-7
115.6,G-7
115.8,G-7
116.0,C7
116.2,C7
116.4,C7
116.6,C7
116.8,F
117.0,F
117.2,F
117.4,F
117.6,F
117.8,F
118.0,F
118.2,Gb-7
118.4,Gb-7
118.4,C#b7
118.6,C#b7
118.6,F#bj7
118.8,F#bj7
119.0,F#bj7
119.2,F#bj7
119.4,F#bj7
119.6,F#bj7
119.8,F#bj7
120.0,Gb-7
120.2,Gb-7
120.4,Gb-7
120.6,Gb-7
120.8,C#b7
121.0,C#b7
