time,chord
7.270,C:maj6
8.830,F:min7
9.580,Bb:7
10.330,C:7
11.110,Bb:7
11.870,A:7
13.390,D:7
14.910,G:7
16.430,E:min7
17.190,A:7
17.950,D:min7
18.710,G:7
19.450,C:maj6
20.990,F:min7
21.760,Bb:7
22.520,C:7
23.280,Bb:7
24.040,A:7
25.530,D:7
27.070,G:7
28.570,C:maj6
30.100,F#:hdim7
30.860,B:7(b9)
31.610,E:min7
33.140,F#:hdim7
33.890,B:7(b9)
34.640,E:min7
36.160,A:7
37.650,D:min7
39.160,E:hdim7
39.910,A:7
40.680,D:7
42.190,D:min7
42.940,G:7
43.680,C:maj6
45.230,F:min7
45.990,Bb:7
46.750,C:7
47.510,Bb:7
48.260,A:7
49.750,D:7
51.280,G:7
52.850,N
56.000,C:maj6
57.510,F:min7
58.290,Bb:7
59.050,C:7
59.800,Bb:7
60.560,A:7
62.070,D:7
63.600,G:7
65.130,E:min7
65.870,A:7
66.640,D:min7
67.390,G:7
68.140,C:maj6
69.670,F:min7
70.430,Bb:7
71.210,C:7
71.980,Bb:7
72.760,A:7
74.290,D:7
75.810,G:7
77.340,C:maj6
78.860,F#:hdim7
79.620,B:7(b9)
80.370,E:min7
81.880,F#:hdim7
82.650,B:7(b9)
83.410,E:min7
84.920,A:7
86.440,D:min7
87.970,E:hdim7
88.730,A:7
89.520,D:7
91.000,D:min7
91.760,G:7
92.530,C:maj6
94.040,F:min7
94.810,Bb:7
95.560,C:7
96.320,Bb:7
97.060,A:7
98.580,D:7
100.110,G:7
101.620,C:maj6
103.150,D:min7
103.890,G:7
104.660,C:maj6
106.170,F:min7
106.910,Bb:7
107.680,C:7
108.440,Bb:7
109.190,A:7
110.680,D:7
112.170,G:7
113.690,E:min7
114.460,A:7
115.210,D:min7
115.960,G:7
116.740,C:maj6
118.250,F:min7
118.980,Bb:7
119.730,C:7
120.480,Bb:7
121.220,A:7
122.710,D:7
124.190,G:7
125.710,C:maj6
127.190,F#:hdim7
127.930,B:7(b9)
128.710,E:min7
130.190,F#:hdim7
130.950,B:7(b9)
131.690,E:min7
133.170,A:7
134.670,D:min7
136.180,E:hdim7
136.930,A:7
137.660,D:7
139.170,D:min7
139.920,G:7
140.670,C:maj6
142.160,F:min7
142.930,Bb:7
143.680,C:7
144.450,Bb:7
145.210,A:7
146.690,D:7
148.180,G:7
149.670,C:maj6
151.170,D:min7
151.920,G:7
152.670,C:maj6
154.200,F:min7
154.970,Bb:7
155.690,C:7
156.440,Bb:7
157.170,A:7
158.650,D:7
160.140,G:7
161.640,E:min7
162.400,A:7
163.130,D:min7
163.860,G:7
164.610,C:maj6
166.090,F:min7
166.840,Bb:7
167.590,C:7
168.330,Bb:7
169.090,A:7
170.570,D:7
172.070,G:7
173.540,C:maj6
175.030,F#:hdim7
175.770,B:7(b9)
176.530,E:min7
178.020,F#:hdim7
178.770,B:7(b9)
179.490,E:min7
180.980,A:7
182.460,D:min7
183.940,E:hdim7
184.670,A:7
185.410,D:7
186.900,D:min7
187.670,G:7
188.420,C:maj6
189.910,F:min7
190.650,Bb:7
191.380,C:7
192.140,Bb:7
192.870,A:7
194.350,D:7
195.820,G:7
197.300,C:maj6
198.800,D:min7
199.520,G:7
200.260,C:maj6
201.750,F:min7
202.480,Bb:7
203.230,C:7
203.970,Bb:7
204.710,A:7
206.170,D:7
207.650,G:7
209.130,E:min7
209.880,A:7
210.620,D:min7
211.340,G:7
212.090,C:maj6
213.540,F:min7
214.290,Bb:7
215.010,C:7
215.750,Bb:7
216.470,A:7
217.940,D:7
219.420,G:7
220.880,C:maj6
222.350,F#:hdim7
223.100,B:7(b9)
223.840,E:min7
225.320,F#:hdim7
226.040,B:7(b9)
226.780,E:min7
228.250,A:7
229.710,D:min7
231.180,E:hdim7
231.910,A:7
232.640,D:7
234.100,D:min7
234.820,G:7
235.580,C:maj6
237.050,F:min7
237.800,Bb:7
238.520,C:7
239.280,Bb:7
240.010,A:7
241.490,D:7
242.960,G:7
244.500,C:maj6
245.940,D:min7
246.690,G:7
247.440,C:maj6
248.920,F:min7
249.650,Bb:7
250.380,C:7
251.110,Bb:7
251.840,A:7
253.290,D:7
254.720,N
258.980,C:maj6
260.450,F:min7
261.180,Bb:7
261.920,C:7
262.640,Bb:7
263.370,A:7
264.820,D:7
266.210,N
270.300,E:min7
271.740,F#:hdim7
272.470,B:7(b9)
273.170,E:min7
274.620,A:7
276.050,D:min7
277.440,N
281.620,C:maj6
283.060,F:min7
283.790,Bb:7
284.520,C:7
285.250,Bb:7
285.960,A:7
287.430,D:7
288.860,N
293.020,C:maj6
294.440,F:min7
295.150,Bb:7
295.850,C:7
296.590,Bb:7
297.300,A:7
298.750,D:7
300.170,G:7
301.620,E:min7
302.330,A:7
303.040,D:min7
303.770,G:7
304.480,C:maj6
305.920,F:min7
306.650,Bb:7
307.370,C:7
308.090,Bb:7
308.830,A:7
310.270,D:7
311.750,G:7
313.200,C:maj6
314.640,F#:hdim7
315.370,B:7(b9)
316.100,E:min7
317.580,F#:hdim7
318.300,B:7(b9)
319.030,E:min7
320.500,A:7
321.950,D:min7
323.430,E:hdim7
324.170,A:7
324.890,D:7
326.370,D:min7
327.120,G:7
327.860,C:maj6
329.350,F:min7
330.080,Bb:7
330.820,C:7
331.560,Bb:7
332.300,A:7
333.750,D:7
335.210,G:7
336.710,C:maj6
