time,chord
289.6,C-7
290.0,C-7
290.6,C-7
291.0,C-7
292.8,C-7
293.0,C-7
293.6,C-7
294.0,C-7
294.6,C-7
296.0,C-7
296.2,C-7
298.0,C-7
298.2,C-7
299.4,C-7
300.0,C-7
300.2,C-7
302.0,C-7
302.2,C-7
304.0,C-7
304.2,C-7
305.0,C-7
306.2,C-7
306.4,C-7
308.2,C-7
308.4,C-7
310.2,C-7
310.4,C-7
311.0,C-7
311.4,C-7
312.0,C-7
313.4,C-7
313.6,C-7
315.2,C-7
315.6,C-7
316.2,F-7
316.6,F-7
317.2,F-7
317.4,F-7
319.2,F-7
319.4,F-7
320.2,F-7
320.8,F-7
321.2,F-7
321.8,F-7
322.2,F-7
322.8,F-7
323.2,F-7
323.8,F-7
324.2,C-7
324.8,C-7
325.2,C-7
325.8,C-7
326.2,C-7
326.8,C-7
327.2,C-7
327.8,C-7
328.2,C-7
329.4,C-7
329.6,C-7
330.2,C-7
330.6,C-7
331.2,F#m7b5
331.4,F#m7b5
333.2,F#m7b5
333.4,F#m7b5
334.4,F#m7b5
334.8,F7913
335.4,F7913
335.8,F7913
336.4,Em7b5
336.8,Em7b5
337.4,Em7b5
338.8,A7alt
339.0,A7alt
340.2,A7alt
340.6,A7alt
341.2,C-7
341.6,C-7
342.8,C-7
343.0,C-7
343.6,C-7
344.0,C-7
344.6,C-7
345.0,C-7
345.6,C-7
346.0,C-7
346.6,C-7
346.8,C-7
348.6,C-7
349.2,C-7
349.6,C-7
350.2,C-7
350.6,C-7
351.2,C-7
352.0,C-7
352.2,C-7
353.2,C-7
353.6,C-7
354.8,C-7
355.0,C-7
355.8,C-7
356.4,C-7
356.6,C-7
357.4,C-7
357.8,C-7
358.4,C-7
358.8,C-7
359.4,C-7
359.8,C-7
360.4,C-7
360.8,C-7
361.4,C-7
361.8,C-7
362.4,C-7
362.8,C-7
363.4,C-7
363.8,C-7
364.4,F-7
364.8,F-7
365.4,F-7
365.8,F-7
366.4,F-7
366.8,F-7
367.4,F-7
367.8,F-7
369.0,F-7
369.2,F-7
370.8,F-7
371.6,F-7
371.8,F-7
372.4,F-7
373.0,C-7
373.4,C-7
374.4,C-7
374.6,C-7
375.8,C-7
376.4,C-7
376.8,C-7
377.4,C-7
377.8,C-7
379.0,C-7
379.4,C-7
380.0,C-7
380.4,C-7
381.0,F#m7b5
382.4,F#m7b5
382.8,F#m7b5
383.4,F7913
383.8,F7913
384.4,F7913
384.8,Em7b5
385.4,Em7b5
385.8,Em7b5
386.4,A7alt
386.8,A7alt
387.4,A7alt
387.8,C-7
388.4,C-7
388.8,C-7
389.4,C-7
389.8,C-7
391.6,C-7
391.8,C-7
393.2,C-7
393.8,C-7
394.2,C-7
394.8,C-7
395.6,C-7
395.8,C-7
397.6,C-7
397.8,C-7
399.6,C-7
399.8,C-7
400.4,C-7
401.2,C-7
401.4,C-7
402.6,C-7
404.0,C-7
404.2,C-7
406.0,C-7
406.2,C-7
407.4,C-7
407.8,C-7
408.4,C-7
408.8,C-7
409.4,C-7
409.8,C-7
410.4,C-7
410.8,C-7
411.4,C-7
411.8,C-7
412.4,C-7
412.8,C-7
413.4,C-7
413.8,C-7
414.4,C-7
414.8,C-7
415.4,C-7
415.8,C-7
416.4,F-7
416.8,F-7
417.4,F-7
417.8,F-7
418.4,F-7
418.8,F-7
420.0,F-7
420.2,F-7
422.0,F-7
422.2,F-7
423.6,F-7
424.2,F-7
424.6,F-7
425.2,F-7
426.6,C-7
426.8,C-7
428.6,C-7
429.0,C-7
429.6,C-7
430.0,C-7
430.6,C-7
431.4,C-7
431.6,C-7
432.2,C-7
432.6,C-7
433.2,C-7
433.6,C-7
434.2,C-7
434.6,F#m7b5
435.2,F#m7b5
436.0,F#m7b5
436.2,F#m7b5
437.0,F7913
437.4,F7913
438.0,F7913
438.2,F7913
440.0,Em7b5
440.2,Em7b5
442.0,Em7b5
442.2,Em7b5
444.0,Em7b5
444.2,Em7b5
445.4,A7alt
446.8,A7alt
447.0,A7alt
447.6,A7alt
448.2,C-7
448.6,C-7
449.2,C-7
449.6,C-7
450.2,C-7
450.6,C-7
451.2,C-7
451.6,C-7
452.2,C-7
452.6,C-7
453.2,C-7
453.6,C-7
