time,chord
26.8,Gb
27.0,Gb
27.2,Gb
27.4,Gb
27.6,F7
27.8,F7
28.0,F7
28.2,F7
28.4,A#7
28.6,A#7
28.8,A#7
29.0,A#7
29.2,A#7
29.4,A#7
29.6,A#7
29.8,A#7
30.0,A#-7
30.2,A#-7
30.4,A#-7
30.6,A#-7
30.8,D#b7
31.0,D#b7
31.2,D#b7
31.4,D#b7
31.6,Gb
31.8,Gb
32.0,Gb
32.2,Gb
32.4,Gb
32.8,D#b-7
33.0,D#b-7
33.2,D7
33.4,D7
33.6,C#b
33.8,C#b
34.0,C#b
34.2,C#b
34.4,C#b-7
34.6,C#b-7
34.8,C#b-7
35.4,C#b-7
35.6,C#b-7
36.2,C#b-7
36.4,C#b-7
37.0,Gb
37.2,Gb
37.8,Gb
38.0,Gb
38.6,Gb
38.8,Gb
39.4,Gb
39.6,Gb
40.2,F7
40.4,F7
41.0,F7
41.2,F7
41.8,F7
42.0,F7
42.6,F7
42.8,F7
43.4,A#7
43.6,A#7
44.2,A#7
44.4,A#7
45.0,A#7
45.2,A#7
45.4,A#7
45.6,A#7
45.8,A#7
46.0,A#7
46.2,A#-7
46.4,A#-7
46.6,A#-7
46.8,A#-7
47.0,D#b7
47.2,D#b7
47.4,D#b7
47.6,D#b7
47.8,Gb
48.0,Gb
48.2,Gb
48.4,Gb
48.6,F7
48.8,F7
49.0,F7
49.2,F7
49.4,A#7
49.6,A#7
49.8,A#7
50.0,A#7
50.2,A#7
50.4,A#7
50.6,A#7
50.8,A#7
51.4,C7
51.6,C7
52.2,C7
52.4,C7
53.0,C7
53.2,C7
53.8,C7
54.0,C7
54.2,C7
54.4,C7
54.6,C7
54.8,F-
55.0,F-
55.2,F-
55.4,F-
55.6,C79#
55.8,C79#
56.4,C79#
56.6,C79#
57.2,C79#
57.4,C79#
57.6,F-
57.8,F-
58.0,F-
58.2,F-
58.4,C7
58.6,C7
58.8,C7
59.0,C7
59.2,F-
59.4,F-
59.6,F-
59.8,F-
60.0,Gbo
60.2,Gbo
60.8,Gbo
61.0,Gbo
61.6,Gbo
61.8,Gbo
62.4,Gbo
62.6,Gb
62.8,Gb
63.0,F7
63.2,F7
63.4,A#-7
63.6,A#-7
63.8,D#b7
64.0,D#b7
64.2,Gb
64.4,Gb
64.6,Gb
64.8,Gb
65.0,A#-7
65.2,A#-7
65.6,A#-7
