time,chord
84.340,F:min7
87.410,Bb:min7
90.500,Eb:7
93.620,Ab:maj7
96.660,Db:maj7
99.780,G:7
102.870,C:maj7
105.950,C:maj7
109.020,C:min7
112.080,F:min7
115.190,Bb:7
118.280,Eb:maj7
121.410,Ab:maj7
124.470,D:7
127.580,G:maj7
130.690,G:maj7
133.790,A:min7
136.930,D:7
140.040,G:maj7
143.190,G:maj7
146.300,F#:min7
149.430,B:7
152.500,E:maj7
155.620,C:aug(b7)
158.770,F:min7
161.880,Bb:min7
165.060,Eb:7
168.200,Ab:maj7
171.340,Db:maj7
174.450,Gb:7
177.580,C:min7
180.740,B:dim7
183.880,Bb:min7
187.060,Eb:7
190.240,Ab:maj7
193.290,G:7
194.860,C:7
196.390,F:min7
199.550,Bb:min7
202.740,Eb:7
205.840,Ab:maj7
208.980,Db:maj7
212.150,G:7
215.290,C:maj7
218.470,C:maj7
221.750,C:min7
224.890,F:min7
228.130,Bb:7
231.300,Eb:maj7
234.510,Ab:maj7
237.670,D:7
240.850,G:maj7
244.060,G:maj7
247.230,A:min7
250.570,D:7
253.760,G:maj7
257.010,G:maj7
260.250,F#:min7
263.500,B:7
266.680,E:maj7
269.900,C:aug(b7)
273.090,F:min7
276.360,Bb:min7
279.640,Eb:7
282.900,Ab:maj7
286.180,Db:maj7
289.490,Gb:7
292.740,C:min7
295.960,B:dim7
299.170,Bb:min7
302.400,Eb:7
305.670,Ab:maj7
308.780,G:7
310.390,C:7
312.000,F:min7
315.270,Bb:min7
318.460,Eb:7
321.680,Ab:maj7
324.920,Db:maj7
328.200,G:7
331.500,C:maj7
334.820,C:maj7
338.090,C:min7
341.390,F:min7
344.720,Bb:7
348.030,Eb:maj7
351.350,Ab:maj7
354.620,D:7
357.910,G:maj7
361.160,G:maj7
364.390,A:min7
367.660,D:7
370.850,G:maj7
374.040,G:maj7
377.260,F#:min7
380.470,B:7
383.680,E:maj7
386.940,C:aug(b7)
390.120,F:min7
393.480,Bb:min7
396.730,Eb:7
400.010,Ab:maj7
403.280,Db:maj7
406.560,Gb:7
409.800,C:min7
413.050,B:dim7
416.210,Bb:min7
419.490,Eb:7
422.720,Ab:maj7
