time,chord
122.200,C79b
122.200,C79b
122.400,C79b
122.400,C79b
122.600,C79b
122.600,C79b
122.800,C79b
122.800,C79b
123.000,C79b
123.000,C79b
123.200,C79b
123.200,C79b
123.400,C79b
123.400,C79b
123.600,C79b
123.600,C79b
123.800,C79b
123.800,C79b
124.000,C79b
124.000,C79b
124.200,C79b
124.200,C79b
124.400,C79b
124.400,C79b
124.600,C79b
124.600,C79b
124.800,C79b
124.800,C79b
125.000,C79b
125.000,C79b
125.200,C79b
125.200,C79b
125.400,C79b
125.600,C79b
125.800,C79b
126.000,C79b
126.200,C79b
126.400,C79b
126.600,C79b
126.800,C79b
127.000,C79b
127.200,C79b
127.400,C79b
127.600,C79b
127.800,C79b
128.000,C79b
128.200,C79b
128.400,C79b
128.600,C79b
128.600,C79b
128.800,C79b
128.800,C79b
129.000,C79b
129.000,C79b
129.200,C79b
129.400,C79b
129.600,F-
129.800,F-
129.800,F-
130.000,F-
130.000,F-
130.200,F-
130.200,F-
130.400,F-
130.400,F-
130.600,F-
130.800,F-
131.000,F-
131.200,F-
131.400,F-
131.600,F-
131.800,F-
132.000,F-
132.200,F-
132.400,F-
132.600,F-
132.800,F-
133.000,F-
133.200,F-
133.400,C79b
133.600,C79b
133.800,C79b
134.000,C79b
134.200,C79b
134.400,C79b
134.600,C79b
134.800,C79b
135.000,C79b
135.200,C79b
135.400,C79b
135.600,C79b
135.800,C79b
135.800,C79b
136.000,C79b
136.000,C79b
136.200,C79b
136.200,C79b
136.400,C79b
136.400,C79b
136.600,C79b
136.600,C79b
136.800,C79b
136.800,C79b
137.000,C79b
137.000,C79b
137.200,C79b
137.200,C79b
137.400,C79b
137.400,C79b
137.600,C79b
137.600,C79b
137.800,C79b
137.800,C79b
138.000,C79b
138.000,C79b
138.200,C79b
138.200,C79b
138.400,C79b
138.400,C79b
138.600,C79b
138.600,C79b
138.800,C79b
138.800,C79b
139.000,C79b
139.000,C79b
139.200,C79b
139.200,C79b
139.400,C79b
139.400,C79b
139.600,C79b
139.600,C79b
139.800,C79b
140.000,C79b
140.200,F-
140.400,F-
140.600,F-
140.800,F-
141.000,F-
141.200,F-
141.400,F-
141.600,F-
141.800,F-
142.000,F-
142.200,F-
142.400,F-
142.600,F-
142.800,F-
143.000,F-
143.200,F-
143.400,F-
143.600,F-
143.800,F-
144.000,F-
144.200,F-
144.400,F-
144.600,F-
144.800,F-
145.000,F-
145.200,F-
145.400,F-
145.600,F-
145.800,F-
146.000,F-
146.200,F-
146.400,F-
146.600,F7
146.800,F7
147.000,F7
147.200,F7
147.400,F7
147.600,F7
147.800,F7
148.000,F7
148.200,F7
148.400,F7
148.400,F7
148.600,F7
148.600,F7
148.800,F7
148.800,F7
149.000,F7
149.000,F7
149.200,F7
149.200,F7
149.400,F7
149.400,A#7
149.600,A#7
149.600,A#7
149.800,A#7
149.800,A#7
150.000,A#7
150.000,A#7
150.200,A#7
150.200,A#7
150.400,A#7
150.400,A#7
150.600,A#7
150.600,A#7
150.800,A#7
150.800,A#7
151.000,A#7
151.200,A#7
151.400,D#b7
151.600,D#b7
151.800,D#b7
152.000,D#b7
152.200,D#b7
152.400,D#b7
152.600,D#b7
152.800,D#b7
153.000,D#b7
153.200,D#b7
153.400,D#b7
153.600,D#b7
153.800,D#b7
154.000,D#b7
154.200,D#b7
154.400,D#b7
154.600,D#b7
154.800,D#b7
155.000,D#b7
155.200,D#b7
155.400,D#b7
