time,chord
0.850,B:maj7
1.330,D:7
1.800,G:maj7
2.260,Bb:7
2.730,Eb:maj7
3.660,A:min7
4.120,D:7
4.580,G:maj7
5.040,Bb:7
5.510,Eb:maj7
5.960,F#:7
6.440,B:maj7
7.380,F:min7
7.830,Bb:7
8.310,Eb:maj7
9.240,A:min7
9.730,D:7
10.200,G:maj7
11.130,C#:min7
11.610,F#:7
12.110,B:maj7
13.050,F:min7
13.520,Bb:7
13.980,Eb:maj7
14.930,C#:min7
15.410,F#:7
15.870,B:maj7
16.360,D:7
16.830,G:maj7
17.310,Bb:7
17.780,Eb:maj7
18.720,A:min7
19.210,D:7
19.660,G:maj7
20.140,Bb:7
20.610,Eb:maj7
21.080,F#:7
21.550,B:maj7
22.500,F:min7
22.940,Bb:7
23.410,Eb:maj7
24.350,A:min7
24.820,D:7
25.270,G:maj7
26.220,C#:min7
26.680,F#:7
27.160,B:maj7
28.090,F:min7
28.550,Bb:7
29.000,Eb:maj7
29.940,C#:min7
30.430,F#:7
30.900,B:maj7
31.370,D:7
31.830,G:maj7
32.300,Bb:7
32.760,Eb:maj7
33.690,A:min7
34.150,D:7
34.610,G:maj7
35.060,Bb:7
35.520,Eb:maj7
35.980,F#:7
36.440,B:maj7
37.350,F:min7
37.800,Bb:7
38.250,Eb:maj7
39.150,A:min7
39.610,D:7
40.060,G:maj7
40.950,C#:min7
41.410,F#:7
41.860,B:maj7
42.770,F:min7
43.220,Bb:7
43.670,Eb:maj7
44.560,C#:min7
45.010,F#:7
45.460,B:maj7
45.930,D:7
46.370,G:maj7
46.820,Bb:7
47.270,Eb:maj7
48.160,A:min7
48.620,D:7
49.060,G:maj7
49.520,Bb:7
49.970,Eb:maj7
50.420,F#:7
50.860,B:maj7
51.750,F:min7
52.200,Bb:7
52.650,Eb:maj7
53.540,A:min7
53.990,D:7
54.440,G:maj7
55.340,C#:min7
55.780,F#:7
56.240,B:maj7
57.130,F:min7
57.580,Bb:7
58.020,Eb:maj7
58.890,C#:min7
59.350,F#:7
59.800,B:maj7
60.260,D:7
60.700,G:maj7
61.160,Bb:7
61.600,Eb:maj7
62.480,A:min7
62.930,D:7
63.360,G:maj7
63.800,Bb:7
64.260,Eb:maj7
64.700,F#:7
65.130,B:maj7
66.030,F:min7
