time,chord
0.965,F:min7
1.815,C:7(#9)
2.650,F:min7
3.490,F:7(b9)
4.335,Bb:min7
5.175,F:7(#9)
6.030,Bb:min7
6.865,Bb:min7
7.705,Db:maj7
8.560,D:min7
8.990,G:7
9.420,C:maj7
10.260,Db:min7
10.685,Gb:7
11.115,B:maj7
11.945,C:min7
12.370,F:7
12.800,Bb:maj7
13.640,Bb:maj7
14.465,Bb:min7
15.315,Eb:7
16.165,Ab:maj7
17.005,G:hdim7
17.425,C:7
17.840,F:min7
18.685,C:7(#9)
19.525,F:min7
20.380,F:7(b9)
21.215,Bb:min7
22.040,F:7(#9)
22.895,Bb:min7
23.735,Bb:min7
24.575,Db:maj7
25.430,D:hdim7
25.855,G:7
26.280,C:hdim7
26.695,Gb:7
27.105,F:7
27.525,B:7
27.955,Bb:min7
28.805,Eb:7
29.660,Ab:maj6
30.530,N
31.415,F:min7
32.280,C:7(#9)
33.125,F:min7
33.975,F:7(b9)
34.825,Bb:min7
35.665,F:7(#9)
36.510,Bb:min7
37.360,Bb:min7
38.200,Db:maj7
39.030,D:min7
39.445,G:7
39.860,C:maj7
40.685,Db:min7
41.095,Gb:7
41.510,B:maj7
42.335,C:min7
42.750,F:7
43.170,Bb:maj7
43.995,Bb:maj7
44.810,Bb:min7
45.645,Eb:7
46.470,Ab:maj7
47.295,G:hdim7
47.705,C:7
48.120,F:min7
48.960,C:7(#9)
49.805,F:min7
50.630,F:7(b9)
51.455,Bb:min7
52.265,F:7(#9)
53.080,Bb:min7
53.890,Bb:min7
54.690,Db:maj7
55.495,D:hdim7
55.910,G:7
56.330,C:hdim7
56.745,Gb:7
57.150,F:7
57.555,B:7
57.960,Bb:min7
58.780,Eb:7
59.600,Ab:maj6
60.410,G:hdim7
60.805,C:7(b9)
61.205,F:min7
62.030,C:7(#9)
62.860,F:min7
63.680,F:7(b9)
64.495,Bb:min7
65.325,F:7(#9)
66.130,Bb:min7
66.950,Bb:min7
67.755,Db:maj7
68.570,D:min7
68.980,G:7
69.390,C:maj7
70.195,Db:min7
70.610,Gb:7
71.020,B:maj7
71.830,C:min7
72.240,F:7
72.655,Bb:maj7
73.465,Bb:maj7
74.285,Bb:min7
75.105,Eb:7
75.935,Ab:maj7
76.740,G:hdim7
77.135,C:7
77.535,F:min7
78.345,C:7(#9)
79.180,F:min7
80.020,F:7(b9)
80.850,Bb:min7
81.670,F:7(#9)
82.495,Bb:min7
83.320,Bb:min7
84.155,Db:maj7
84.960,D:hdim7
85.360,G:7
85.765,C:hdim7
86.170,Gb:7
86.575,F:7
86.980,B:7
87.385,Bb:min7
88.195,Eb:7
88.995,Ab:maj6
89.785,G:hdim7
90.190,C:7(b9)
90.595,F:min7
91.420,C:7(#9)
92.240,F:min7
93.055,F:7(b9)
93.860,Bb:min7
94.665,F:7(#9)
95.475,Bb:min7
96.270,Bb:min7
97.055,Db:maj7
97.860,D:min7
98.275,G:7
98.685,C:maj7
99.490,Db:min7
99.900,Gb:7
100.310,B:maj7
101.125,C:min7
101.535,F:7
101.935,Bb:maj7
102.740,Bb:maj7
103.535,Bb:min7
104.340,Eb:7
105.145,Ab:maj7
105.965,G:hdim7
106.370,C:7
106.765,F:min7
107.575,C:7(#9)
108.390,F:min7
109.195,F:7(b9)
110.000,Bb:min7
110.810,F:7(#9)
111.625,Bb:min7
112.430,Bb:min7
113.210,Db:maj7
114.010,D:hdim7
114.420,G:7
114.825,C:hdim7
115.235,Gb:7
115.640,F:7
116.045,B:7
116.455,Bb:min7
117.250,Eb:7
118.045,Ab:maj6
118.845,G:hdim7
119.250,C:7(b9)
119.660,F:min7
120.505,C:7(#9)
121.325,F:min7
122.160,F:7(b9)
122.990,Bb:min7
123.795,F:7(#9)
124.600,Bb:min7
125.430,Bb:min7
126.235,Db:maj7
127.045,D:min7
127.450,G:7
127.855,C:maj7
128.665,Db:min7
129.075,Gb:7
129.485,B:maj7
130.305,C:min7
130.715,F:7
131.120,Bb:maj7
131.925,Bb:maj7
132.735,Bb:min7
133.545,Eb:7
134.350,Ab:maj7
135.165,G:hdim7
135.565,C:7
135.965,F:min7
136.760,C:7(#9)
137.570,F:min7
138.370,F:7(b9)
139.195,Bb:min7
140.000,F:7(#9)
140.825,Bb:min7
141.640,Bb:min7
142.450,Db:maj7
143.265,D:hdim7
143.670,G:7
144.075,C:hdim7
144.480,Gb:7
144.890,F:7
145.305,B:7
145.705,Bb:min7
146.515,Eb:7
