time,chord
30.980,A6
34.940,G-7
36.890,C7
38.850,Fj7
42.930,Bm7b5
44.890,E7
46.760,A-7
48.720,F#m7b5
50.730,Bm7b5
52.730,E7
54.700,A6
58.700,B-7
60.680,E7
62.690,A6
66.660,G-7
68.690,C7
70.580,Fj7
74.630,Bm7b5
76.590,E7
78.660,A-7
80.640,F#m7b5
82.640,Bm7b5
84.650,E7
86.650,A6
90.840,E-7
92.920,A7
95.030,D6
99.080,C-7
101.110,F7
103.150,A#j7
107.200,Em7b5
109.250,A7
111.410,D-7
113.420,Bm7b5
115.400,Em7b5
117.420,A7
119.530,D-7
123.680,Bm7b5
125.860,E7
127.830,A6
131.850,G-7
133.860,F#7
135.920,Fj7
139.970,Bm7b5
142.000,E7
144.070,A-7
146.090,F#m7b5
148.120,Bm7b5
150.210,E7
152.240,A6
156.380,A6
160.170,A6
161.200,A6
165.270,G-7
167.260,C7
169.270,Fj7
173.280,Bm7b5
175.310,E7
177.310,A-7
179.320,F#m7b5
181.360,Bm7b5
183.380,E7
185.430,A6
189.530,B-7
191.580,E7
193.670,A6
197.650,G-7
199.670,C7
201.670,Fj7
205.710,Bm7b5
207.700,E7
209.780,A-7
211.810,F#m7b5
213.800,Bm7b5
215.840,E7
217.870,A6
221.970,E-7
224.020,A7
226.050,D6
230.140,C-7
232.170,F7
234.200,A#j7
238.190,Em7b5
240.180,A7
242.250,D-7
244.210,Bm7b5
246.310,Em7b5
248.340,A7
250.390,D-7
254.540,Bm7b5
