time,chord
97.4,D:sus4(b7)
97.6,D:sus4(b7)
98.0,D:sus4(b7)
98.2,D:sus4(b7)
98.6,D:sus4(b7)
98.8,D:sus4(b7)
99.8,D:sus4(b7)
100.2,D:sus4(b7)
100.4,D:sus4(b7)
100.8,D:sus4(b7)
101.0,D:sus4(b7)
101.4,D:sus4(b7)
101.6,D:sus4(b7)
102.0,D:sus4(b7)
102.2,D:sus4(b7)
103.2,D:sus4(b7)
104.0,F:sus4(b7)
104.2,F:sus4(b7)
105.2,F:sus4(b7)
105.4,F:sus4(b7)
105.8,F:sus4(b7)
106.2,F:sus4(b7)
106.4,F:sus4(b7)
106.8,F:sus4(b7)
107.0,F:sus4(b7)
107.4,F:sus4(b7)
107.6,F:sus4(b7)
108.0,F:sus4(b7)
108.2,F:sus4(b7)
108.6,F:sus4(b7)
108.8,F:sus4(b7)
109.2,F:sus4(b7)
109.4,F:sus4(b7)
109.8,F:sus4(b7)
110.4,D:sus4(b7)
110.6,D:sus4(b7)
111.6,D:sus4(b7)
111.8,D:sus4(b7)
112.2,D:sus4(b7)
113.2,D:sus4(b7)
113.4,D:sus4(b7)
113.8,D:sus4(b7)
114.2,D:sus4(b7)
114.4,D:sus4(b7)
114.8,D:sus4(b7)
115.0,D:sus4(b7)
115.4,D:sus4(b7)
115.6,D:sus4(b7)
116.0,D:sus4(b7)
116.2,D:sus4(b7)
116.6,D:sus4(b7)
116.8,D:sus4(b7)
117.2,D:sus4(b7)
117.8,F:sus4(b7)
118.0,F:sus4(b7)
119.0,F:sus4(b7)
119.2,F:sus4(b7)
119.6,F:sus4(b7)
120.2,F:sus4(b7)
120.4,F:sus4(b7)
120.8,F:sus4(b7)
121.0,F:sus4(b7)
121.4,F:sus4(b7)
121.6,F:sus4(b7)
122.0,F:sus4(b7)
122.2,F:sus4(b7)
122.6,F:sus4(b7)
122.8,F:sus4(b7)
123.2,F:sus4(b7)
123.4,F:sus4(b7)
123.8,F:sus4(b7)
124.0,F:sus4(b7)
124.4,D#:sus4(b7)
124.8,D#:sus4(b7)
125.0,D#:sus4(b7)
125.4,D#:sus4(b7)
125.6,D#:sus4(b7)
126.0,D#:sus4(b7)
126.2,D#:sus4(b7)
126.6,D#:sus4(b7)
127.2,D#:sus4(b7)
127.4,D#:sus4(b7)
128.4,D#:sus4(b7)
128.6,D#:sus4(b7)
129.0,D#:sus4(b7)
129.2,D#:sus4(b7)
129.6,D#:sus4(b7)
129.8,D#:sus4(b7)
130.2,D#:sus4(b7)
130.8,C#:sus4(b7)
131.0,C#:sus4(b7)
132.0,C#:sus4(b7)
132.2,C#:sus4(b7)
133.2,C#:sus4(b7)
133.4,C#:sus4(b7)
133.8,C#:sus4(b7)
134.0,C#:sus4(b7)
134.4,C#:sus4(b7)
134.6,C#:sus4(b7)
135.0,C#:sus4(b7)
135.2,C#:sus4(b7)
135.6,C#:sus4(b7)
135.8,C#:sus4(b7)
136.2,C#:sus4(b7)
136.4,C#:sus4(b7)
136.8,C#:sus4(b7)
137.0,C#:sus4(b7)
137.4,C#:sus4(b7)
138.0,D:sus4(b7)
138.2,D:sus4(b7)
139.2,D:sus4(b7)
139.4,D:sus4(b7)
140.4,D:sus4(b7)
140.6,D:sus4(b7)
141.0,D:sus4(b7)
