time,chord
1.730,C-7
3.100,C-7
4.490,C-7
5.870,C-7
7.260,C-7
8.620,C-7
10.010,C-7
11.400,C-7
12.780,C-7
14.150,C-7
15.540,C-7
16.910,C-7
18.290,C-7
19.650,C-7
21.030,C-7
22.410,C-7
23.810,C#-7
25.160,C#-7
26.540,C#-7
27.910,C#-7
29.300,C#-7
30.650,C#-7
32.010,C#-7
33.380,C#-7
34.770,C-7
36.120,C-7
37.500,C-7
38.860,C-7
40.230,C-7
41.590,C-7
42.960,C-7
44.340,C-7
45.710,C-7
47.080,C-7
48.460,C-7
49.810,C-7
51.170,C-7
52.510,C-7
53.840,C-7
55.180,C-7
56.530,C-7
57.870,C-7
59.200,C-7
60.530,C-7
61.860,C-7
63.200,C-7
64.530,C-7
65.860,C-7
67.200,C#-7
68.520,C#-7
69.840,C#-7
71.170,C#-7
72.490,C#-7
73.820,C#-7
75.140,C#-7
76.470,C#-7
77.800,C-7
79.130,C-7
80.440,C-7
81.770,C-7
83.070,C-7
84.390,C-7
85.680,C-7
87.000,C-7
88.290,C-7
89.620,C-7
90.950,C-7
92.270,C-7
93.590,C-7
94.880,C-7
96.190,C-7
97.500,C-7
98.810,C-7
100.130,C-7
101.430,C-7
102.730,C-7
104.010,C-7
105.320,C-7
106.610,C-7
107.890,C-7
109.170,C#-7
110.460,C#-7
111.770,C#-7
113.070,C#-7
114.350,C#-7
115.640,C#-7
116.930,C#-7
118.240,C#-7
119.560,C-7
120.890,C-7
122.170,C-7
123.450,C-7
124.750,C-7
126.020,C-7
127.310,C-7
128.620,C-7
129.891,C-7
131.150,C-7
132.430,C-7
133.695,C-7
134.960,C-7
136.225,C-7
137.495,C-7
138.765,C-7
140.040,C-7
141.310,C-7
142.595,C-7
143.875,C-7
145.150,C-7
146.410,C-7
147.690,C-7
148.965,C-7
150.230,C#-7
151.505,C#-7
152.785,C#-7
154.040,C#-7
155.305,C#-7
156.555,C#-7
157.810,C#-7
159.065,C#-7
160.350,C-7
161.640,C-7
162.920,C-7
164.190,C-7
165.460,C-7
166.750,C-7
168.030,C-7
169.320,C-7
170.605,C-7
171.900,C-7
173.190,C-7
174.475,C-7
175.745,C-7
177.015,C-7
178.275,C-7
179.550,C-7
180.810,C-7
182.065,C-7
183.330,C-7
184.605,C-7
185.870,C-7
187.130,C-7
188.405,C-7
189.675,C-7
190.965,C#-7
192.230,C#-7
193.510,C#-7
194.775,C#-7
196.050,C#-7
197.330,C#-7
198.590,C#-7
199.865,C#-7
201.140,C-7
202.405,C-7
203.680,C-7
204.950,C-7
206.230,C-7
207.510,C-7
208.780,C-7
210.065,C-7
211.360,C-7
212.655,C-7
213.945,C-7
215.240,C-7
216.525,C-7
217.830,C-7
219.120,C-7
220.405,C-7
221.700,C-7
222.980,C-7
224.285,C-7
225.570,C-7
226.855,C-7
228.150,C-7
229.435,C-7
230.725,C-7
232.015,C#-7
233.305,C#-7
234.585,C#-7
235.880,C#-7
237.160,C#-7
238.450,C#-7
239.735,C#-7
241.020,C#-7
242.300,C-7
243.595,C-7
244.885,C-7
246.155,C-7
247.440,C-7
248.725,C-7
250.000,C-7
251.280,C-7
252.550,C-7
253.830,C-7
255.115,C-7
256.385,C-7
257.665,C-7
258.930,C-7
260.205,C-7
261.480,C-7
262.750,C-7
264.020,C-7
265.295,C-7
266.565,C-7
267.820,C-7
269.080,C-7
270.345,C-7
271.620,C-7
272.885,C#-7
274.155,C#-7
275.430,C#-7
276.705,C#-7
277.965,C#-7
279.230,C#-7
280.500,C#-7
281.760,C#-7
283.030,C-7
284.300,C-7
285.570,C-7
286.840,C-7
288.105,C-7
289.390,C-7
290.670,C-7
291.955,C-7
293.240,C-7
294.510,C-7
295.790,C-7
297.065,C-7
298.330,C-7
299.595,C-7
300.855,C-7
302.110,C-7
303.355,C-7
304.610,C-7
305.865,C-7
307.115,C-7
308.380,C-7
309.640,C-7
310.900,C-7
312.160,C-7
313.415,C#-7
314.690,C#-7
315.960,C#-7
317.220,C#-7
318.475,C#-7
319.730,C#-7
320.995,C#-7
322.245,C#-7
323.505,C-7
324.770,C-7
326.045,C-7
327.310,C-7
328.555,C-7
329.810,C-7
331.055,C-7
332.330,C-7
333.600,C-7
334.895,C-7
336.175,C-7
337.475,C-7
338.740,C-7
340.030,C-7
341.310,C-7
342.580,C-7
343.840,C-7
345.115,C-7
346.380,C-7
347.650,C-7
348.915,C-7
350.200,C-7
351.465,C-7
352.735,C-7
354.020,C-7
355.285,C-7
356.560,C-7
357.840,C-7
359.110,C-7
360.390,C-7
361.665,C-7
362.945,C-7
364.220,C-7
365.495,C-7
366.780,C-7
368.060,C-7
369.340,C-7
370.610,C-7
371.875,C-7
373.130,C-7
374.405,C#-7
375.690,C#-7
376.960,C#-7
378.220,C#-7
379.490,C#-7
380.745,C#-7
382.000,C#-7
383.260,C#-7
384.510,C-7
385.775,C-7
387.030,C-7
388.280,C-7
389.535,C-7
390.785,C-7
392.040,C-7
393.285,C-7
394.535,C-7
395.800,C-7
397.055,C-7
398.315,C-7
399.565,C-7
400.810,C-7
402.075,C-7
403.345,C-7
404.605,C-7
405.860,C-7
407.110,C-7
408.365,C-7
409.615,C-7
410.865,C-7
412.115,C-7
413.365,C-7
414.630,C#-7
415.895,C#-7
417.150,C#-7
418.400,C#-7
419.645,C#-7
420.915,C#-7
422.170,C#-7
423.425,C#-7
424.680,C-7
425.945,C-7
427.190,C-7
428.450,C-7
429.710,C-7
430.965,C-7
432.230,C-7
433.495,C-7
434.765,C-7
436.015,C-7
437.255,C-7
438.480,C-7
439.690,C-7
440.900,C-7
442.110,C-7
443.330,C-7
444.550,C-7
445.765,C-7
447.000,C-7
448.215,C-7
449.445,C-7
450.675,C-7
451.900,C-7
453.110,C-7
454.310,C#-7
455.550,C#-7
456.775,C#-7
458.005,C#-7
459.235,C#-7
460.455,C#-7
461.685,C#-7
462.895,C#-7
464.135,C-7
465.360,C-7
466.580,C-7
467.805,C-7
469.030,C-7
470.250,C-7
471.475,C-7
472.690,C-7
473.910,C-7
475.130,C-7
476.355,C-7
477.580,C-7
478.795,C-7
480.015,C-7
481.235,C-7
482.450,C-7
483.680,C-7
484.905,C-7
486.125,C-7
487.345,C-7
488.570,C-7
489.800,C-7
491.040,C-7
492.280,C-7
493.505,C#-7
494.745,C#-7
495.980,C#-7
497.215,C#-7
498.430,C#-7
499.660,C#-7
500.885,C#-7
502.105,C#-7
503.340,C-7
504.565,C-7
505.790,C-7
507.000,C-7
508.210,C-7
509.410,C-7
510.620,C-7
511.855,C-7
513.110,C-7
514.410,C-7
515.690,C-7
516.960,C-7
518.240,C-7
519.535,C-7
520.820,C-7
522.120,C-7
523.410,C-7
524.705,C-7
525.990,C-7
527.290,C-7
528.590,C-7
529.885,C-7
531.185,C-7
532.485,C-7
533.795,C#-7
535.105,C#-7
536.390,C#-7
537.665,C#-7
538.955,C#-7
540.240,C#-7
541.535,C#-7
542.840,C#-7
544.150,C-7
545.465,C-7
546.750,C-7
548.025,C-7
549.315,C-7
550.605,C-7
551.890,C-7
553.180,C-7
554.470,C-7
