time,chord
19.870,A#:min
21.030,F:7
22.210,A#:min
23.390,F:7
24.550,A#:min
25.710,F:7
26.870,A#:min
28.070,A#:7
29.230,D#:min
31.600,D#:min
33.920,F:7
35.110,C:7
36.310,F:7
38.710,A#:min
41.070,A#:min
43.450,A#:min
47.040,G#:7
48.230,C#:maj7
49.420,F#:7
50.590,Eb:min7
51.790,Ab:7
53.000,Db:maj7
55.370,F:7
57.780,A#:min
58.950,F:7
60.160,A#:min
61.340,F:7
62.520,A#:min
63.740,F:7
64.930,A#:min
67.320,D#:min
69.720,D#:min
72.080,F:7
73.250,C:7
74.460,F:7
76.850,A#:min
79.250,A#:min
81.660,A#:min
85.260,G#:7
86.480,C#:maj7
87.670,F#:7
88.870,C:hdim7
90.060,F:7
91.260,A#:min
93.690,F:7
96.080,A#:min
97.310,F:7
98.500,A#:min
99.690,F:7
100.910,A#:min
102.110,F:7
103.300,A#:min
104.530,A#:7
105.730,D#:min
108.140,D#:min
109.340,E:dim
110.490,F:7
111.690,C:7
112.880,F:7
115.310,A#:min
117.750,A#:min
120.110,A#:min
123.760,G#:7
124.970,Db:maj7
127.360,Eb:min7
128.590,Ab:7
129.800,Db:maj7
132.260,Bb:min7
133.470,F:7
134.700,A#:min
135.930,F:7
137.140,A#:min
138.330,F:7
139.560,A#:min
140.780,F:7
142.020,A#:min
143.270,A#:7
144.490,D#:min
146.890,D#:min
149.300,F:7
150.520,C:7
151.770,F:7
154.240,A#:min
156.690,A#:min
159.100,A#:min
162.690,G#:7
163.940,Db:maj7
166.410,Eb:min7
167.650,Ab:7
168.860,Db:maj7
