time,chord
94.0,Gb
94.0,Gb
94.2,Gb
94.2,Gb
94.4,F7
94.4,F7
94.6,F7
94.6,F7
94.8,A#7
94.8,A#7
95.0,A#7
95.0,A#7
95.2,A#7
95.2,A#7
95.4,A#7
95.4,A#7
95.6,A#-7
95.6,A#-7
95.8,A#-7
95.8,A#-7
96.0,D#b7
96.0,D#b7
96.2,D#b7
96.2,D#b7
96.4,Gb
96.4,Gb
96.6,Gb
96.6,Gb
96.8,D#b-7
96.8,D#b-7
97.0,D7
97.0,D7
97.2,C#b
97.2,C#b
97.4,C#b
97.4,C#b
97.6,C#b-7
97.6,C#b-7
97.8,C#b-7
97.8,C#b-7
98.0,Gb
98.0,Gb
98.2,Gb
98.2,Gb
98.4,F7
98.4,F7
98.6,F7
98.6,F7
98.8,A#7
98.8,A#7
99.0,A#7
99.0,A#7
99.2,A#7
99.2,A#7
99.4,A#7
99.4,A#7
99.6,A#-7
99.6,A#-7
99.8,A#-7
99.8,A#-7
100.0,D#b7
100.0,D#b7
100.2,D#b7
100.2,D#b7
100.4,Gb
100.4,Gb
100.6,Gb
100.8,Gb
101.0,Gb
101.2,Gb
101.4,F7
101.6,F7
101.8,F7
102.0,F7
102.2,F7
102.4,F7
102.6,F7
102.8,F7
103.0,A#7
103.2,A#7
103.4,A#7
103.6,A#7
103.8,A#7
104.0,A#7
104.2,A#7
104.4,A#7
104.6,A#7
104.8,A#7
105.0,A#7
105.2,A#7
105.4,A#7
105.6,A#7
105.8,A#7
106.0,A#7
106.2,C7
106.4,C7
106.6,C7
106.8,C7
107.0,C7
107.2,C7
107.4,C7
107.6,C7
107.8,C7
108.0,C7
108.2,C7
108.4,C7
108.6,C7
108.8,C7
109.0,C7
109.2,C7
109.4,F-
109.6,F-
109.8,F-
110.0,F-
110.2,F-
110.4,F-
110.6,F-
110.6,C79#
110.8,C79#
110.8,C79#
111.0,C79#
111.0,F-
111.2,F-
111.2,F-
111.4,F-
111.4,C7
111.6,C7
111.6,C7
111.8,C7
111.8,F-
112.0,F-
112.0,F-
112.2,F-
112.4,F-
112.6,Gbo
112.8,Gbo
113.0,Gbo
113.2,Gbo
113.4,Gbo
113.6,Gbo
113.8,Gbo
114.0,Gbo
114.2,Gb
114.4,Gb
114.6,Gb
114.8,Gb
115.0,F7
115.2,F7
115.2,A#-7
115.4,A#-7
115.4,D#b7
115.6,D#b7
115.6,Gb
115.8,Gb
115.8,Gb
116.0,Gb
116.2,Gb
116.4,A#-7
116.6,A#-7
116.8,A#-7
117.0,A#-7
117.2,D#b7
117.4,D#b7
117.6,NC
117.8,NC
118.0,Gb
118.2,Gb
118.4,Gb
118.6,Gb
118.8,Gb
119.0,Gb
119.2,Gb
119.4,F7
119.6,F7
119.6,F7
119.8,F7
120.0,F7
120.2,A#7
120.4,A#7
120.6,A#7
120.8,A#7
121.0,A#7
121.2,A#7
121.4,A#7
121.6,A#7
121.8,A#7
122.0,A#7
122.2,A#7
122.4,A#7
122.6,A#7
122.8,A#7
123.0,A#7
123.2,A#7
123.4,A#-7
123.6,A#-7
123.8,A#-7
124.0,A#-7
124.2,A#-7
124.4,A#-7
124.6,A#-7
124.8,A#-7
125.0,D#b7
125.2,D#b7
125.4,D#b7
125.6,D#b7
125.8,D#b7
126.0,D#b7
126.2,D#b7
126.4,D#b7
126.6,Gb
126.8,Gb
127.0,Gb
127.2,Gb
127.4,Gb
127.6,Gb
127.8,Gb
128.0,Gb
128.2,D#b-7
128.4,D#b-7
128.6,D#b-7
128.8,D#b-7
129.0,D7
129.2,D7
129.4,D7
129.6,D7
129.8,C#b
130.0,C#b
130.2,C#b
130.4,C#b
130.6,C#b
130.8,C#b
131.0,C#b-7
131.0,C#b-7
131.2,C#b-7
131.2,C#b-7
131.4,Gb
131.4,Gb
131.6,Gb
131.6,Gb
131.8,F7
131.8,F7
132.0,F7
132.0,F7
132.2,A#7
132.2,A#7
132.4,A#7
132.4,A#7
132.6,A#7
132.6,A#7
132.8,A#7
132.8,A#7
133.0,A#-7
133.0,A#-7
133.2,A#-7
133.2,A#-7
133.4,D#b7
133.4,D#b7
133.6,D#b7
133.6,D#b7
133.8,Gb
133.8,Gb
134.0,Gb
134.0,Gb
134.2,F7
134.2,F7
134.4,F7
134.4,F7
134.6,A#7
134.6,A#7
134.8,A#7
134.8,A#7
135.0,A#7
135.0,A#7
135.2,A#7
135.2,A#7
135.4,C7
135.6,C7
135.6,C7
135.8,C7
135.8,C7
136.0,C7
136.0,C7
136.2,C7
136.2,F-
136.4,F-
136.4,F-
136.6,F-
136.6,C79#
136.8,C79#
136.8,C79#
137.0,C79#
137.0,F-
137.2,F-
137.2,F-
137.4,F-
137.4,C7
137.6,C7
137.6,C7
137.8,C7
137.8,F-
138.0,F-
138.0,F-
138.2,F-
138.2,Gbo
138.4,Gbo
138.4,Gbo
138.6,Gbo
138.6,Gb
138.8,Gb
138.8,F7
139.0,F7
139.0,A#-7
139.2,A#-7
139.2,D#b7
139.4,D#b7
139.4,Gb
139.6,Gb
139.6,Gb
139.8,Gb
140.0,Gb
140.2,A#-7
140.4,A#-7
140.6,A#-7
140.8,A#-7
141.0,D#b7
141.2,NC
141.2,Gb
141.4,Gb
141.4,Gb
141.6,Gb
141.6,F7
141.8,F7
141.8,F7
142.0,F7
142.0,A#7
142.2,A#7
142.2,A#7
142.4,A#7
142.4,A#7
142.6,A#7
142.8,A#7
143.0,A#7
143.2,A#7
143.4,A#7
143.6,A#7
143.8,A#-7
144.0,A#-7
144.2,A#-7
144.4,A#-7
144.6,A#-7
144.8,A#-7
145.0,A#-7
145.2,A#-7
145.4,D#b7
145.6,D#b7
145.8,D#b7
146.0,D#b7
146.2,D#b7
146.4,D#b7
146.6,D#b7
146.8,D#b7
147.0,Gb
147.2,Gb
147.4,Gb
147.6,Gb
147.8,Gb
148.0,Gb
148.0,D#b-7
148.2,D#b-7
148.2,D7
148.4,D7
148.6,D7
148.8,C#b
149.0,C#b
149.2,C#b
149.4,C#b
149.6,C#b
149.8,C#b
150.0,C#b
150.2,C#b
150.4,C#b-7
150.6,C#b-7
150.8,C#b-7
151.0,C#b-7
151.2,C#b-7
151.4,C#b-7
151.6,C#b-7
151.8,Gb
152.0,Gb
152.2,Gb
152.4,Gb
152.6,Gb
152.8,Gb
153.0,Gb
153.0,F7
153.2,F7
153.2,F7
153.4,F7
153.4,A#7
153.6,A#7
153.6,A#7
153.8,A#7
153.8,A#7
154.0,A#7
154.0,A#7
154.2,A#7
154.2,A#-7
154.4,A#-7
154.4,A#-7
154.6,A#-7
154.8,A#-7
155.0,D#b7
155.2,D#b7
155.4,D#b7
155.6,D#b7
155.8,D#b7
156.0,D#b7
156.2,D#b7
156.4,D#b7
156.6,Gb
156.8,Gb
157.0,Gb
157.2,Gb
157.4,Gb
157.6,Gb
157.8,Gb
158.0,Gb
158.2,F7
158.4,F7
158.6,F7
158.8,F7
159.0,F7
159.2,F7
159.4,F7
159.6,F7
159.8,A#7
159.8,A#7
160.0,A#7
160.0,A#7
160.2,A#7
160.2,A#7
160.4,A#7
160.4,A#7
160.6,C7
160.6,C7
160.8,C7
160.8,C7
161.0,C7
161.0,C7
161.2,C7
161.2,C7
161.4,F-
161.6,F-
161.8,F-
162.0,F-
162.2,F-
162.4,F-
162.6,C79#
162.8,C79#
162.8,C79#
163.0,C79#
163.2,C79#
163.4,F-
163.6,F-
163.8,F-
164.0,F-
164.2,F-
164.4,F-
164.6,F-
164.8,F-
165.0,C7
165.2,C7
165.4,C7
165.6,C7
165.8,C7
166.0,C7
