time,chord
10.800,C79b
11.000,C79b
11.000,C79b
11.200,C79b
11.200,C79b
11.400,C79b
11.400,C79b
11.600,C79b
11.600,C79b
11.800,C79b
11.800,C79b
12.000,C79b
12.000,C79b
12.200,C79b
12.200,C79b
12.400,C79b
12.400,C79b
12.600,C79b
12.600,C79b
12.800,C79b
13.000,C79b
13.200,C79b
13.400,C79b
13.600,C79b
13.800,C79b
14.000,C79b
14.200,C79b
14.400,C79b
14.600,C79b
14.800,C79b
15.000,C79b
15.200,C79b
15.400,C79b
15.600,C79b
15.800,C79b
16.000,C79b
16.200,C79b
16.400,C79b
16.600,C79b
16.600,C79b
16.800,C79b
16.800,C79b
17.000,C79b
17.000,C79b
17.200,C79b
17.200,C79b
17.400,C79b
17.400,C79b
17.600,C79b
17.600,C79b
17.800,C79b
17.800,C79b
18.000,C79b
18.000,C79b
18.200,C79b
18.200,C79b
18.400,C79b
18.400,F-
18.600,F-
18.600,F-
18.800,F-
18.800,F-
19.000,F-
19.000,F-
19.200,F-
19.200,F-
19.400,F-
19.400,F-
19.600,F-
19.600,F-
19.800,F-
20.000,F-
20.200,F-
20.400,F-
20.600,F-
20.800,F-
21.000,C79b
21.000,C79b
21.200,C79b
21.200,C79b
21.400,C79b
21.400,C79b
21.600,C79b
21.600,C79b
21.800,C79b
21.800,C79b
22.000,C79b
22.000,C79b
22.200,C79b
22.200,C79b
22.400,C79b
22.400,C79b
22.600,C79b
22.600,C79b
22.800,C79b
22.800,C79b
23.000,C79b
23.000,C79b
23.200,C79b
23.200,C79b
23.400,C79b
23.400,C79b
23.600,C79b
23.600,C79b
23.800,C79b
23.800,C79b
24.000,C79b
24.000,C79b
24.200,C79b
24.200,C79b
24.400,C79b
24.400,C79b
24.600,C79b
24.600,C79b
24.800,C79b
24.800,C79b
25.000,C79b
25.000,C79b
25.200,C79b
25.200,C79b
25.400,C79b
25.400,C79b
25.600,C79b
25.600,C79b
25.800,F-
25.800,F-
26.000,F-
26.000,F-
26.200,F-
26.200,F-
26.400,F-
26.400,F-
26.600,F-
26.600,F-
26.800,F-
26.800,F-
27.000,F-
27.000,F-
27.200,F-
27.200,F-
27.400,F7
27.400,F7
27.600,F7
27.600,F7
27.800,F7
27.800,F7
28.000,F7
28.000,F7
28.200,F7
28.200,F7
28.400,F7
28.400,F7
28.600,F7
28.600,F7
28.800,F7
28.800,F7
29.000,A#7
29.000,A#7
29.200,A#7
29.200,A#7
29.400,A#7
29.400,A#7
29.600,A#7
29.600,A#7
29.800,A#7
29.800,A#7
30.000,A#7
30.000,A#7
30.200,A#7
30.200,A#7
30.400,A#7
30.400,A#7
30.600,D#b7
30.600,D#b7
30.800,D#b7
30.800,D#b7
31.000,D#b7
31.000,D#b7
31.200,D#b7
31.200,D#b7
31.400,D#b7
31.400,D#b7
31.600,D#b7
31.800,D#b7
32.000,D#b7
32.200,D#b7
32.400,D#b7
32.600,D#b7
32.800,D#b7
33.000,D#b7
33.200,D#b7
33.400,D#b7
33.400,Gbj7
33.600,Gbj7
33.600,Gbj7
33.800,Gbj7
33.800,Gbj7
34.000,Gbj7
34.000,Gbj7
34.200,Gbj7
34.200,G7
34.400,G7
34.400,G7
34.600,G7
34.600,C#b7
34.800,C#b7
34.800,C#b7
35.000,C#b7
35.000,C79b
35.200,C79b
35.200,C79b
35.400,C79b
35.400,C79b
35.600,C79b
35.600,C79b
35.800,C79b
35.800,C79b
36.000,C79b
36.000,C79b
36.200,C79b
36.200,C79b
36.400,C79b
36.400,C79b
36.600,C79b
36.600,C79b
36.800,C79b
36.800,C79b
37.000,C79b
37.000,C79b
37.200,C79b
37.200,C79b
37.400,C79b
37.400,C79b
37.600,C79b
37.600,C79b
37.800,C79b
37.800,C79b
38.000,C79b
38.000,C79b
38.200,C79b
38.200,C79b
38.400,C79b
38.400,C79b
38.600,C79b
38.600,C79b
38.800,C79b
38.800,C79b
39.000,C79b
39.000,C79b
39.200,C79b
39.200,C79b
39.400,C79b
39.400,C79b
39.600,C79b
39.600,C79b
39.800,C79b
40.000,C79b
40.200,F-
40.400,F-
40.600,F-
40.600,F-
40.800,F-
40.800,F-
41.000,F-
41.000,F-
41.200,F-
41.400,F-
41.600,F-
41.800,F-
42.000,F-
42.200,F-
42.400,F-
42.600,F-
42.800,F-
43.000,F-
43.200,F-
43.400,F-
43.600,F-
43.800,F-
44.000,F-
44.200,F-
44.400,F-
44.600,F-
44.800,C79b
45.000,C79b
45.200,C79b
45.400,C79b
45.600,C79b
45.800,C79b
46.000,C79b
46.200,C79b
46.400,C79b
46.600,C79b
46.800,C79b
47.000,C79b
47.200,C79b
47.400,C79b
47.600,C79b
47.800,C79b
48.000,C79b
48.200,C79b
48.400,C79b
48.600,C79b
48.800,C79b
49.000,C79b
49.200,C79b
49.400,C79b
49.600,C79b
49.800,C79b
50.000,C79b
50.200,C79b
50.400,C79b
50.600,C79b
50.800,C79b
50.800,C79b
51.000,C79b
51.000,C79b
51.200,C79b
51.200,C79b
51.400,C79b
51.400,C79b
51.600,C79b
51.600,C79b
51.800,C79b
51.800,C79b
52.000,C79b
52.000,C79b
52.200,C79b
52.200,C79b
52.400,C79b
52.400,C79b
52.600,C79b
52.600,C79b
52.800,C79b
52.800,C79b
53.000,C79b
53.000,C79b
53.200,C79b
53.200,C79b
53.400,C79b
53.400,C79b
53.600,C79b
53.600,C79b
53.800,C79b
