time,chord
55.8,F-
56.0,F-
56.2,F-
56.8,F-
57.0,F-
57.6,F-
57.8,F-j7
58.0,F-j7
58.2,F-j7
58.4,F-j7
58.6,F-7
58.8,F-7
59.4,F-7
59.6,F-7
60.2,F-7
60.4,F-7
61.0,F-6
61.2,F-6
61.8,F-6
62.0,F-6
62.6,F-6
62.8,F-6
63.4,F-6
63.6,F-6
64.2,C#bj7
64.4,C#bj7
65.0,C#bj7
65.2,C#bj7
65.8,C#bj7
66.0,C#bj7
66.6,C#bj7
66.8,C#bj7
67.4,A#-7
67.6,A#-7
68.2,A#-7
68.4,A#-7
68.6,A#-7
68.8,A#-7
69.0,Gm7b5
69.2,Gm7b5
69.4,Gm7b5
69.6,Gm7b5
69.8,C79b
70.0,C79b
70.2,C79b
70.4,C79b
71.0,F-
71.2,F-
71.8,F-
72.0,F-
72.4,F-
72.6,F-
72.8,F-j7
73.0,F-j7
73.2,F-j7
73.4,F-j7
73.6,F-7
73.8,F-7
74.0,F-7
74.2,F-7
74.4,F-6
74.6,F-6
74.8,F-6
75.0,F-6
75.2,C#bj7
75.4,C#bj7
75.6,C#bj7
75.8,C#bj7
76.0,A#-7
76.2,A#-7
76.4,A#-7
77.0,A#-7
77.2,A#-7
77.8,A#-7
78.0,A#-7
78.6,A#-7
78.8,A#-7
79.4,A#-7
79.6,A#-7
80.2,A#-7
80.4,A#-7
81.0,A#-7
81.2,A#-7
81.6,D#b7
81.8,D#b7
82.0,D#b7
82.2,D#b7
82.4,Gbj7
82.6,Gbj7
82.8,Gbj7
83.4,A#-7
83.6,A#-7
84.2,A#-7
84.4,A#-7
84.8,C-7
85.0,C-7
85.2,A#-7
85.4,A#-7
86.0,Gbj7
86.2,Gbj7
86.8,Gbj7
87.0,Gbj7
87.6,A#-7
87.8,A#-7
88.0,C-7
88.2,C-7
88.4,A#-7
88.6,A#-7
88.8,Gbj7
89.0,Gbj7
89.2,C7
89.4,C7
89.6,F-7
89.8,F-7
90.0,D#b-7
90.2,D7
