time,chord
56.740,D:min7
57.640,D:min7
58.500,D:min7
59.390,D:min7
60.270,D:min7
61.150,D:min7
62.030,D:min7
62.900,D:min7
63.780,D:min7
64.640,D:min7
65.520,D:min7
66.400,D:min7
67.290,D:min7
68.170,D:min7
69.050,D:min7
69.920,D:min7
70.760,Eb:min7
71.630,Eb:min7
72.510,Eb:min7
73.370,Eb:min7
74.250,Eb:min7
75.097,Eb:min7
75.970,Eb:min7
76.830,Eb:min7
77.690,D:min7
78.560,D:min7
79.445,D:min7
80.305,D:min7
81.185,D:min7
82.060,D:min7
82.925,D:min7
83.790,D:min7
84.635,D:min7
85.465,D:min7
86.330,D:min7
87.205,D:min7
88.070,D:min7
88.945,D:min7
89.810,D:min7
90.665,D:min7
91.525,D:min7
92.375,D:min7
93.210,D:min7
94.065,D:min7
94.905,D:min7
95.760,D:min7
96.620,D:min7
97.485,D:min7
98.345,Eb:min7
99.215,Eb:min7
100.070,Eb:min7
100.910,Eb:min7
101.770,Eb:min7
102.630,Eb:min7
103.460,Eb:min7
104.315,Eb:min7
105.145,D:min7
106.000,D:min7
106.835,D:min7
107.680,D:min7
108.510,D:min7
109.375,D:min7
110.230,D:min7
111.060,D:min7
111.920,D:min7
112.785,D:min7
113.650,D:min7
114.500,D:min7
115.340,D:min7
116.200,D:min7
117.055,D:min7
117.905,D:min7
118.760,D:min7
119.615,D:min7
120.470,D:min7
121.325,D:min7
122.160,D:min7
122.995,D:min7
123.840,D:min7
124.685,D:min7
125.515,Eb:min7
126.380,Eb:min7
127.220,Eb:min7
128.050,Eb:min7
128.905,Eb:min7
129.740,Eb:min7
130.590,Eb:min7
131.435,Eb:min7
132.290,D:min7
133.130,D:min7
133.990,D:min7
134.830,D:min7
135.680,D:min7
136.510,D:min7
137.360,D:min7
138.195,D:min7
139.045,D:min7
139.920,D:min7
140.785,D:min7
141.645,D:min7
142.490,D:min7
143.325,D:min7
144.175,D:min7
145.000,D:min7
145.835,D:min7
146.665,D:min7
147.505,D:min7
148.350,D:min7
149.190,D:min7
150.010,D:min7
150.855,D:min7
151.690,D:min7
152.535,Eb:min7
153.390,Eb:min7
154.235,Eb:min7
155.060,Eb:min7
155.915,Eb:min7
156.750,Eb:min7
157.600,Eb:min7
158.440,Eb:min7
159.265,D:min7
160.115,D:min7
160.975,D:min7
161.840,D:min7
162.690,D:min7
163.540,D:min7
164.370,D:min7
165.195,D:min7
166.025,D:min7
166.860,D:min7
167.710,D:min7
168.555,D:min7
169.400,D:min7
170.245,D:min7
171.100,D:min7
171.945,D:min7
172.785,D:min7
173.640,D:min7
174.470,D:min7
175.325,D:min7
176.170,D:min7
176.995,D:min7
177.840,D:min7
178.700,D:min7
179.530,Eb:min7
180.375,Eb:min7
181.225,Eb:min7
182.060,Eb:min7
182.895,Eb:min7
183.740,Eb:min7
184.575,Eb:min7
185.425,Eb:min7
186.250,D:min7
187.095,D:min7
187.950,D:min7
188.780,D:min7
189.625,D:min7
190.475,D:min7
191.335,D:min7
192.175,D:min7
193.020,D:min7
193.870,D:min7
194.720,D:min7
195.565,D:min7
196.410,D:min7
197.260,D:min7
198.105,D:min7
198.945,D:min7
199.785,D:min7
200.620,D:min7
201.445,D:min7
202.280,D:min7
203.115,D:min7
203.955,D:min7
204.805,D:min7
205.650,D:min7
206.490,Eb:min7
207.335,Eb:min7
208.170,Eb:min7
209.020,Eb:min7
209.835,Eb:min7
210.675,Eb:min7
211.510,Eb:min7
212.355,Eb:min7
213.185,D:min7
214.015,D:min7
214.860,D:min7
215.695,D:min7
216.535,D:min7
217.370,D:min7
218.200,D:min7
219.025,D:min7
219.870,D:min7
220.710,D:min7
221.545,D:min7
222.395,D:min7
223.240,D:min7
224.070,D:min7
224.910,D:min7
225.745,D:min7
226.555,D:min7
227.385,D:min7
228.230,D:min7
229.065,D:min7
229.880,D:min7
230.725,D:min7
231.560,D:min7
232.385,D:min7
233.200,Eb:min7
234.040,Eb:min7
234.875,Eb:min7
235.715,Eb:min7
236.550,Eb:min7
237.370,Eb:min7
238.190,Eb:min7
239.025,Eb:min7
239.840,D:min7
240.670,D:min7
241.525,D:min7
242.360,D:min7
243.200,D:min7
244.035,D:min7
244.860,D:min7
245.690,D:min7
246.515,D:min7
247.335,D:min7
248.160,D:min7
248.985,D:min7
249.815,D:min7
250.660,D:min7
251.485,D:min7
252.320,D:min7
253.155,D:min7
253.980,D:min7
254.810,D:min7
255.650,D:min7
256.475,D:min7
257.290,D:min7
258.130,D:min7
258.965,D:min7
259.790,Eb:min7
260.605,Eb:min7
261.435,Eb:min7
262.280,Eb:min7
263.105,Eb:min7
263.930,Eb:min7
264.760,Eb:min7
265.580,Eb:min7
266.415,D:min7
267.260,D:min7
268.075,D:min7
268.900,D:min7
269.735,D:min7
270.555,D:min7
271.390,D:min7
272.200,D:min7
273.030,D:min7
273.860,D:min7
274.695,D:min7
275.525,D:min7
276.340,D:min7
277.160,D:min7
278.005,D:min7
278.820,D:min7
279.640,D:min7
280.450,D:min7
281.275,D:min7
282.100,D:min7
282.915,D:min7
283.740,D:min7
284.575,D:min7
285.400,D:min7
286.215,Eb:min7
287.035,Eb:min7
287.875,Eb:min7
288.700,Eb:min7
289.505,Eb:min7
290.340,Eb:min7
