time,chord
10.420,Gm7b5
11.680,C79b
12.920,F-7
14.170,F-7
15.400,Dm7b5
16.630,G79b
17.850,Cj7
19.100,Cj7
20.330,Gm7b5
21.570,C79b
22.820,F-7
24.090,F-7
25.330,Dm7b5
26.620,G79b
27.890,Cj7
29.140,Cj7
30.430,C-7
31.760,F79b
33.070,Bbj7
34.340,Bbj7
35.650,Ab79b
36.980,Ab79b
38.250,G79b
39.540,G79b
40.820,Gm7b5
42.120,C79b
43.400,F-7
44.720,F-7
45.990,Dm7b5
47.310,G79b
48.620,Cj7
49.930,Cj7
51.220,Gm7b5
52.550,C79b
53.870,F-7
55.190,F-7
56.500,Dm7b5
57.810,G79b
59.130,Cj7
60.440,Cj7
61.720,Gm7b5
63.040,C79b
64.330,F-7
65.590,F-7
66.860,Dm7b5
68.180,G79b
69.490,Cj7
70.770,Cj7
72.040,C-7
73.330,F79b
74.610,Bbj7
75.880,Bbj7
77.160,Ab79b
78.440,Ab79b
79.680,G79b
80.960,G79b
82.250,Gm7b5
83.520,C79b
84.820,F-7
86.110,F-7
87.370,Dm7b5
88.630,G79b
89.890,Cj7
91.140,Cj7
92.380,Gm7b5
93.680,C79b
94.960,F-7
96.230,F-7
97.460,Dm7b5
98.750,G79b
100.040,Cj7
101.300,Cj7
102.530,Gm7b5
103.790,C79b
105.070,F-7
106.340,F-7
107.610,Dm7b5
108.900,G79b
110.190,Cj7
111.500,Cj7
112.780,C-7
114.080,F79b
115.370,Bbj7
116.610,Bbj7
117.850,Ab79b
119.110,Ab79b
120.360,G79b
121.640,G79b
122.890,Gm7b5
124.140,C79b
125.390,F-7
126.670,F-7
127.940,Dm7b5
129.220,G79b
130.470,Cj7
131.750,Cj7
133.020,Gm7b5
134.310,C79b
135.570,F-7
136.810,F-7
138.050,Dm7b5
139.320,G79b
140.580,Cj7
141.870,Cj7
143.150,Gm7b5
144.410,C79b
145.680,F-7
146.950,F-7
148.240,Dm7b5
149.510,G79b
150.750,Cj7
151.990,Cj7
153.250,C-7
154.520,F79b
155.780,Bbj7
157.050,Bbj7
158.330,Ab79b
159.610,Ab79b
160.880,G79b
162.160,G79b
163.440,Gm7b5
164.720,C79b
165.990,F-7
167.280,F-7
168.540,Dm7b5
169.780,G79b
171.040,Cj7
172.330,Cj7
173.620,Gm7b5
174.890,C79b
176.180,F-7
177.430,F-7
178.740,Dm7b5
180.020,G79b
181.330,Cj7
182.620,Cj7
183.880,Gm7b5
185.170,C79b
186.420,F-7
187.660,F-7
188.940,Dm7b5
190.230,G79b
191.490,Cj7
192.760,Cj7
194.090,C-7
195.380,F79b
196.620,Bbj7
197.870,Bbj7
199.150,Ab79b
200.400,Ab79b
201.660,G79b
202.930,G79b
204.210,Gm7b5
205.510,C79b
206.800,F-7
208.030,F-7
209.320,Dm7b5
210.610,G79b
211.830,Cj7
213.060,Cj7
214.350,Gm7b5
215.620,C79b
216.890,F-7
218.130,F-7
219.380,Dm7b5
220.630,G79b
221.880,Cj7
223.140,Cj7
224.370,Gm7b5
225.630,C79b
226.900,F-7
228.180,F-7
229.440,Dm7b5
230.670,G79b
231.920,Cj7
233.190,Cj7
234.460,C-7
235.700,F79b
236.940,Bbj7
238.180,Bbj7
239.380,Ab79b
240.630,Ab79b
241.870,G79b
243.090,G79b
244.330,Gm7b5
245.570,C79b
246.820,F-7
248.040,F-7
249.280,Dm7b5
250.510,G79b
251.760,Cj7
252.990,Cj7
254.200,Gm7b5
255.450,C79b
256.680,F-7
257.920,F-7
259.180,Dm7b5
260.420,G79b
261.650,Cj7
262.890,Cj7
264.130,Gm7b5
265.360,C79b
266.590,F-7
267.810,F-7
269.010,Dm7b5
270.250,G79b
271.480,Cj7
272.720,Cj7
273.970,C-7
275.240,F79b
276.520,Bbj7
277.790,Bbj7
279.080,Ab79b
280.330,Ab79b
281.600,G79b
282.840,G79b
284.100,Gm7b5
285.370,C79b
286.600,F-7
287.850,F-7
289.130,Dm7b5
290.370,G79b
291.590,Cj7
292.850,Cj7
294.090,Gm7b5
295.350,C79b
296.590,F-7
297.870,F-7
299.170,Dm7b5
300.500,G79b
301.810,Cj7
303.070,Cj7
304.360,Gm7b5
305.640,C79b
306.910,F-7
308.180,F-7
309.460,Dm7b5
310.750,G79b
312.020,Cj7
313.280,Cj7
314.550,C-7
315.820,F79b
317.090,Bbj7
318.380,Bbj7
319.640,Ab79b
320.900,Ab79b
322.170,G79b
323.460,G79b
324.720,Gm7b5
326.000,C79b
327.280,F-7
328.560,F-7
329.810,Dm7b5
331.080,G79b
332.350,Cj7
333.630,Cj7
334.890,Gm7b5
336.200,C79b
337.480,F-7
338.770,F-7
