time,chord
189.8,C-7
189.8,C-7
190.0,C-7
190.0,C-7
190.2,F7
190.2,F7
190.4,F7
190.4,F7
190.6,A#6
190.6,A#6
190.8,A#6
190.8,A#6
191.0,D-7
191.0,D-7
191.2,G7
191.2,G7
191.4,C-7
191.4,C-7
191.6,C-7
191.6,C-7
191.8,F7
191.8,F7
192.0,F7
192.0,F7
192.2,A#6
192.2,A#6
192.4,A#6
192.4,A#6
192.6,D-7
192.6,D-7
192.8,G7
192.8,G7
193.0,C-7
193.0,C-7
193.2,C-7
193.2,C-7
193.4,F7
193.4,F7
193.6,F7
193.6,F7
193.8,A#6
193.8,A#6
194.0,A#6
194.0,A#6
194.2,D-7
194.2,D-7
194.4,G7
194.4,G7
194.6,C-7
194.6,C-7
194.8,C-7
194.8,C-7
195.0,F7
195.2,F7
195.2,F7
195.4,F7
195.6,F7
195.8,A#6
196.0,A#6
196.2,A#6
196.4,A#6
196.6,A#6
196.8,A#6
197.0,A#6
197.2,A#6
197.4,A#6
197.6,A#6
197.8,A#6
198.0,A#6
198.2,A#6
198.2,A#6
198.4,D7
198.4,D7
198.6,D7
198.6,D7
198.8,D7
199.0,D7
199.2,D7
199.4,D7
199.6,D7
199.8,D7
200.0,D7
200.2,G79
200.4,G79
200.6,G79
200.8,G79
201.0,G79
201.2,G79
201.4,G79
201.6,G79
201.8,G+7
202.0,G+7
202.2,G+7
202.4,G+7
202.6,G+7
202.8,G+7
203.0,G+7
203.2,G+7
203.4,C7
203.6,C7
203.8,C7
204.0,C7
204.2,C7
204.4,C7
204.6,C7
204.8,C7
205.0,C7
205.2,C7
205.4,C7
205.6,C7
205.8,C7
206.0,C7
206.2,C7
206.4,C7
206.6,F7
206.8,F7
207.0,F7
207.0,F7
207.2,F7
207.2,F7
207.4,F7
207.4,F7
207.6,F7
207.6,C-7
207.8,C-7
207.8,C-7
208.0,C-7
208.0,F7
208.2,F7
208.2,F7
208.4,F7
208.6,F7
208.8,A#6
209.0,A#6
209.2,A#6
209.4,A#6
209.6,A#6
209.8,A#6
209.8,D-7
210.0,D-7
210.0,G7
210.2,G7
210.2,C-7
210.4,C-7
210.4,C-7
210.6,C-7
210.8,C-7
211.0,F7
211.2,F7
211.4,F7
211.6,F7
211.8,F7
212.0,F7
212.2,F7
212.4,F7
212.6,A#6
212.8,A#6
213.0,A#6
213.2,A#6
213.4,A#6
213.6,A#6
213.8,A#6
214.0,D-7
214.2,D-7
214.2,G7
214.4,G7
214.4,C-7
214.6,C-7
214.6,C-7
214.8,C-7
214.8,F7
215.0,F7
215.0,F7
215.2,F7
215.2,A#6
215.4,A#6
215.4,A#6
215.6,A#6
215.6,D-7
215.8,D-7
215.8,G7
