time,chord
21.950,C:maj7
23.730,C:maj7
25.480,C:maj7
27.240,C:maj7
28.990,C:maj7
30.740,D#:dim
32.490,D:min7
34.240,G:7
36.000,D:min7
37.770,G:7
39.510,D:min7
41.260,G:7
43.030,D:min7
44.810,G:7
46.570,C:maj7
48.330,C:maj7
50.080,C:7
51.860,C:7
53.610,E:hdim7
55.390,A:7
57.170,D:min7
58.920,D:min7
60.680,F:min7
61.550,A#:7
62.420,D:min7
63.300,G:7
64.180,C:maj7
65.950,C:maj7
67.680,E:hdim7
69.450,A:7
71.190,D:min7
72.930,G:7
74.700,C:maj7
76.500,N
78.210,C:maj7
79.950,C:maj7
81.680,C:maj7
83.440,C:maj7
85.200,C:maj7
86.940,D#:dim
88.660,D:min7
90.400,G:7
92.180,D:min7
93.900,G:7
95.610,D:min7
97.350,G:7
99.090,D:min7
100.790,G:7
102.520,C:maj7
104.250,C:maj7
105.970,C:7
107.710,C:7
109.460,E:hdim7
111.160,A:7
112.870,D:min7
114.600,D:min7
116.330,F:min7
117.190,A#:7
118.050,D:min7
118.910,G:7
119.770,C:maj7
121.530,C:maj7
123.280,E:hdim7
125.020,A:7
126.730,D:min7
128.470,G:7
130.230,C:maj7
132.000,C:maj7
133.740,C:maj7
135.470,C:maj7
137.210,C:maj7
138.940,C:maj7
140.680,C:maj7
142.450,D#:dim
144.170,D:min7
145.910,G:7
147.640,D:min7
149.370,G:7
151.080,D:min7
152.800,G:7
154.510,D:min7
156.250,G:7
157.940,C:maj7
159.660,C:maj7
161.410,C:7
163.130,C:7
164.840,E:hdim7
166.530,A:7
168.270,D:min7
169.970,D:min7
171.700,F:min7
172.560,A#:7
173.420,D:min7
174.270,G:7
175.170,C:maj7
176.930,C:maj7
178.660,E:hdim7
180.380,A:7
182.140,D:min7
183.850,G:7
185.600,C:maj7
