time,chord
61.0,D#bj7
61.2,D#bj7
61.2,D#bj7
61.4,D#bj7
61.4,D#bj7
61.6,D#bj7
61.6,D#bj7
61.8,D#bj7
61.8,D#b-7
62.0,D#b-7
62.0,D#b-7
62.2,D#b-7
62.2,D#b-7
62.4,D#b-7
62.4,D#b-7
62.6,D#b-7
62.6,F7/Eb
62.8,F7/Eb
62.8,F7/Eb
63.0,F7/Eb
63.0,F7/Eb
63.2,F7/Eb
63.4,F7/Eb
63.6,E/Eb
63.8,E/Eb
64.0,E/Eb
64.2,E/Eb
64.4,D#bj7
64.6,D#bj7
64.8,D#bj7
65.0,D#bj7
65.0,D#bj7
65.2,D#bj7
65.4,D#bj7
65.6,D#bj7
65.8,D#bj7
66.0,D#bj7
66.2,D#bj7
66.4,D#bj7
66.6,D#bj7
66.8,F-7
67.0,F-7
67.2,F-7
67.4,F-7
67.6,F-7
67.8,F-7
68.0,F-7
68.2,F-7
68.4,A#7
68.6,A#7
68.8,A#7
69.0,A#7
69.2,A#7
69.4,A#7
69.6,A#7
69.8,A#7
70.0,D#bj7
70.2,D#bj7
70.4,D#bj7
70.6,D#bj7
70.8,D#bj7
71.0,D#bj7
71.2,D#bj7
71.4,D#bj7
71.6,D#bj7
71.8,D#bj7
72.0,D#bj7
72.2,D#bj7
72.4,D#bj7
72.6,D#bj7
72.8,D#bj7
73.0,D#bj7
73.2,Gb-7
73.4,Gb-7
73.6,Gb-7
73.8,Gb-7
74.0,Gb-7
74.2,Gb-7
74.4,Gb-7
74.6,Gb-7
74.8,D7
75.0,D7
75.2,D7
75.4,D7
75.6,D7
75.8,D7
76.0,D7
76.2,D7
76.4,F#bj7
76.6,F#bj7
76.8,F#bj7
77.0,F#bj7
77.2,F#bj7
77.4,F#bj7
77.6,F#bj7
77.8,F#bj7
78.0,F#bj7
78.2,F#bj7
78.4,F#bj7
78.4,F#bj7
78.6,F#bj7
78.6,D#bj7
78.8,D#bj7
78.8,D#bj7
79.0,D#bj7
79.2,D#bj7
79.4,D#bj7
79.6,D#bj7
79.8,D#bj7
80.0,D#bj7
80.2,D#bj7
80.4,D#bj7
80.6,D#bj7
80.8,D#bj7
81.0,D#b-7
81.2,D#b-7
81.4,D#b-7
81.6,D#b-7
81.8,D#b-7
82.0,D#b-7
82.2,D#b-7
82.4,D#b-7
82.6,D#b-7
82.8,D#b-7
83.0,D#b-7
83.2,D#b-7
83.4,D#b-7
83.4,F7/Eb
83.6,F7/Eb
83.6,F7/Eb
83.8,F7/Eb
83.8,F7/Eb
84.0,F7/Eb
84.2,F7/Eb
84.4,E/Eb
84.6,E/Eb
84.8,E/Eb
85.0,E/Eb
85.2,D#bj7
85.4,D#bj7
85.6,D#bj7
85.8,D#bj7
86.0,D#bj7
86.2,D#bj7
86.4,D#bj7
86.6,D#bj7
86.8,D#bj7
87.0,D#bj7
87.2,D#bj7
87.4,D#bj7
87.6,D#bj7
87.8,D#bj7
88.0,D#bj7
88.2,D#bj7
88.4,F-7
88.6,F-7
88.8,F-7
89.0,F-7
89.2,F-/Eb
89.4,F-/Eb
89.6,F-/Eb
89.8,F-/Eb
90.0,Dm7b5
90.2,Dm7b5
90.4,Dm7b5
90.6,Dm7b5
90.8,G79b
91.0,G79b
91.2,G79b
91.4,G79b
91.6,C-7
91.8,C-7
92.0,C-7
92.2,C-7
92.4,C-/Bb
92.6,C-/Bb
92.8,C-/Bb
93.0,C-/Bb
93.2,Am7b5
93.4,Am7b5
93.6,Am7b5
93.6,D7
93.8,D7
93.8,G-7
94.0,G-7
94.0,C7
94.2,C7
94.2,F-7
94.4,F-7
94.4,A#7
94.6,A#7
94.8,A#7
95.0,D#bj7
95.0,D#bj7
95.2,D#bj7
95.4,D#bj7
95.6,D#bj7
95.8,D#bj7
96.0,F-7
96.2,F-7
96.4,F-7
96.6,F-7
96.8,A#7
97.0,A#7
97.0,D#bj7
97.2,D#bj7
97.2,D#bj7
97.4,D#bj7
97.4,D#bj7
97.6,D#bj7
97.6,D#bj7
97.8,D#bj7
98.0,D#bj7
98.2,D#b-7
98.4,D#b-7
98.6,D#b-7
98.8,D#b-7
99.0,D#b-7
99.2,D#b-7
99.4,D#b-7
99.6,D#b-7
99.8,D#b-7
100.0,D#b-7
100.2,D#b-7
100.4,D#b-7
100.6,D#b-7
100.8,D#b-7
101.0,D#b-7
101.2,D#b-7
101.4,F7/Eb
101.6,F7/Eb
101.8,F7/Eb
102.0,F7/Eb
102.2,F7/Eb
102.4,F7/Eb
102.6,F7/Eb
102.8,F7/Eb
103.0,F7/Eb
103.2,F7/Eb
103.4,F7/Eb
103.6,F7/Eb
103.8,E/Eb
104.0,E/Eb
104.2,E/Eb
104.4,E/Eb
104.6,D#bj7
104.8,D#bj7
105.0,D#bj7
105.2,D#bj7
105.4,D#bj7
105.6,D#bj7
105.8,D#bj7
106.0,D#bj7
106.2,D#bj7
106.4,D#bj7
106.6,D#bj7
106.8,D#bj7
107.0,D#bj7
107.2,D#bj7
107.4,D#bj7
107.6,D#bj7
107.8,F-7
108.0,F-7
108.2,F-7
108.4,F-7
108.6,F-7
108.8,F-7
109.0,F-7
109.2,F-7
109.4,A#7
109.6,A#7
109.8,A#7
110.0,A#7
110.2,A#7
110.4,A#7
110.6,A#7
110.8,A#7
111.0,D#bj7
111.2,D#bj7
111.4,D#bj7
111.6,D#bj7
111.8,D#bj7
112.0,D#bj7
112.2,D#bj7
112.4,D#bj7
112.6,D#bj7
112.8,D#bj7
113.0,D#bj7
113.2,D#bj7
113.4,D#bj7
113.6,D#bj7
113.8,D#bj7
114.0,D#bj7
114.2,Gb-7
114.4,Gb-7
114.6,Gb-7
114.8,Gb-7
115.0,Gb-7
115.2,Gb-7
115.4,Gb-7
115.6,Gb-7
115.8,D7
116.0,D7
116.2,D7
116.4,D7
116.6,D7
116.8,D7
117.0,D7
117.2,D7
117.4,F#bj7
117.6,F#bj7
117.8,F#bj7
118.0,F#bj7
118.2,F#bj7
118.4,F#bj7
118.6,F#bj7
118.8,F#bj7
119.0,F#bj7
119.2,F#bj7
119.4,F#bj7
119.6,F#bj7
119.8,F#bj7
120.0,F#bj7
120.2,D#bj7
120.4,D#bj7
120.6,D#bj7
120.6,D#bj7
120.8,D#bj7
120.8,D#bj7
121.0,D#bj7
121.0,D#bj7
121.2,D#bj7
121.4,D#bj7
121.6,D#b-7
121.8,D#b-7
122.0,D#b-7
122.2,D#b-7
122.4,D#b-7
122.6,D#b-7
122.8,D#b-7
123.0,D#b-7
123.0,D#b-7
123.2,D#b-7
123.2,D#b-7
123.4,F7/Eb
123.4,F7/Eb
123.6,F7/Eb
123.6,F7/Eb
123.8,F7/Eb
123.8,F7/Eb
124.0,E/Eb
124.2,E/Eb
124.4,E/Eb
124.6,E/Eb
124.8,D#bj7
125.0,D#bj7
125.2,D#bj7
125.4,D#bj7
125.6,D#bj7
125.6,D#bj7
125.8,D#bj7
125.8,D#bj7
126.0,D#bj7
126.2,D#bj7
126.4,F-7
126.6,F-7
126.8,F-/Eb
126.8,F-/Eb
127.0,Dm7b5
127.0,Dm7b5
127.2,G79b
127.2,G79b
127.4,C-7
127.4,C-7
127.6,C-/Bb
127.6,C-/Bb
127.8,Am7b5
127.8,Am7b5
128.0,D7
128.0,D7
128.2,G-7
128.2,G-7
128.4,C7
128.4,C7
128.6,F-7
128.6,F-7
128.8,A#7
128.8,A#7
129.0,D#bj7
129.2,D#bj7
129.2,D#bj7
129.4,D#bj7
129.4,F-7
129.6,F-7
129.6,A#7
129.8,A#7
129.8,D#bj7
130.0,D#bj7
130.0,D#bj7
130.2,D#bj7
130.2,D#bj7
130.4,D#bj7
130.4,D#bj7
130.6,D#bj7
130.6,D#b-7
130.8,D#b-7
130.8,D#b-7
131.0,D#b-7
131.0,D#b-7
131.2,D#b-7
131.4,D#b-7
131.6,D#b-7
131.8,D#b-7
132.0,D#b-7
132.2,D#b-7
132.4,F7/Eb
132.6,F7/Eb
132.8,F7/Eb
133.0,F7/Eb
133.2,F7/Eb
133.4,F7/Eb
133.6,F7/Eb
133.8,F7/Eb
134.0,F7/Eb
134.2,F7/Eb
134.4,F7/Eb
134.6,F7/Eb
134.8,E/Eb
135.0,E/Eb
135.2,E/Eb
135.4,E/Eb
135.6,D#bj7
135.8,D#bj7
136.0,D#bj7
136.2,D#bj7
136.4,D#bj7
136.6,D#bj7
136.8,D#bj7
137.0,D#bj7
137.2,D#bj7
137.4,D#bj7
137.6,D#bj7
137.8,D#bj7
138.0,D#bj7
138.2,D#bj7
138.4,D#bj7
138.6,D#bj7
138.8,F-7
139.0,F-7
139.2,F-7
139.2,F-7
139.4,F-7
139.4,A#7
139.6,A#7
139.6,A#7
139.8,A#7
140.0,A#7
140.2,D#bj7
140.4,D#bj7
140.6,D#bj7
140.8,D#bj7
141.0,D#bj7
141.2,D#bj7
141.4,D#bj7
141.6,D#bj7
141.8,D#bj7
142.0,D#bj7
142.2,D#bj7
142.4,D#bj7
142.6,D#bj7
142.8,D#bj7
143.0,D#bj7
143.2,Gb-7
143.4,Gb-7
143.6,Gb-7
143.8,Gb-7
143.8,Gb-7
144.0,D7
144.0,D7
144.2,D7
144.2,D7
144.4,F#bj7
144.4,F#bj7
144.6,F#bj7
144.6,F#bj7
144.8,F#bj7
144.8,F#bj7
145.0,F#bj7
145.0,F#bj7
145.2,D#bj7
145.4,D#bj7
145.4,D#bj7
145.6,D#bj7
145.6,D#bj7
145.8,D#bj7
145.8,D#bj7
146.0,D#bj7
146.2,D#bj7
146.4,D#b-7
146.6,D#b-7
146.8,D#b-7
147.0,D#b-7
147.2,D#b-7
147.4,D#b-7
147.6,D#b-7
147.8,D#b-7
148.0,D#b-7
148.2,D#b-7
148.4,D#b-7
148.6,D#b-7
148.8,D#b-7
149.0,D#b-7
149.2,D#b-7
149.4,D#b-7
149.6,F7/Eb
149.8,F7/Eb
150.0,F7/Eb
150.2,F7/Eb
150.4,F7/Eb
150.4,F7/Eb
150.6,F7/Eb
150.8,F7/Eb
151.0,E/Eb
151.2,E/Eb
151.4,E/Eb
151.6,E/Eb
151.8,D#bj7
152.0,D#bj7
152.2,D#bj7
152.4,D#bj7
152.6,D#bj7
152.8,D#bj7
153.0,D#bj7
153.2,D#bj7
153.4,D#bj7
153.6,D#bj7
153.8,D#bj7
154.0,D#bj7
154.2,D#bj7
154.4,D#bj7
154.6,D#bj7
154.8,D#bj7
155.0,F-7
155.2,F-7
155.4,F-7
155.6,F-7
155.8,F-/Eb
156.0,F-/Eb
156.2,F-/Eb
156.4,F-/Eb
156.6,Dm7b5
156.8,Dm7b5
157.0,Dm7b5
157.2,Dm7b5
157.4,G79b
157.6,G79b
157.8,G79b
158.0,G79b
158.2,C-7
158.4,C-7
158.6,C-7
158.8,C-7
159.0,C-/Bb
159.2,C-/Bb
159.4,C-/Bb
159.6,Am7b5
159.6,Am7b5
159.8,D7
160.0,D7
160.2,D7
160.4,D7
160.6,G-7
160.8,G-7
161.0,G-7
161.2,G-7
161.4,C7
161.6,C7
161.8,C7
162.0,C7
162.2,F-7
162.4,F-7
162.6,F-7
162.8,F-7
163.0,A#7
163.2,A#7
163.4,A#7
163.6,A#7
163.8,D#bj7
164.0,D#bj7
164.2,D#bj7
164.4,D#bj7
164.6,D#bj7
164.8,D#bj7
165.0,D#bj7
165.2,D#bj7
165.4,F-7
165.4,F-7
165.6,A#7
165.6,A#7
