time,chord
53.0,C69
53.4,C69
53.6,C69
54.0,C69
54.2,E-7
54.6,E-7
54.8,A7
55.2,A7
55.8,D-7
56.0,D-7
56.6,D-7
57.0,G7
57.2,G7
57.6,C69
57.8,C69
58.2,C69
58.4,C69
58.8,C69
59.0,C69
59.4,C69
59.6,C69
60.0,E-7
60.2,E-7
60.6,A7
60.8,A7
61.2,D-7
61.4,D-7
61.8,G7
62.0,G7
63.0,G7
63.2,G7
63.8,C69
64.2,C69
64.4,C69
64.8,C69
65.4,Em7b5
65.6,Em7b5
66.2,Em7b5
66.6,Em7b5
66.8,Em7b5
67.2,A79#
67.6,A79#
68.2,A79#
68.4,A79#
69.4,A79#
69.6,A79#
70.2,D-7
70.6,D-7
70.8,D-7
71.2,D-7
71.8,G7
72.0,G7
73.0,G7
73.2,G7
74.2,G7
74.4,G7
75.4,G7
75.6,G7
76.6,C69
76.8,C69
77.4,C69
78.0,C7
78.2,C7
79.2,C7
79.4,C7
80.2,Fj7
80.4,Fj7
80.8,Fj7
81.2,F#o
81.8,F#o
82.0,F#o
83.0,C/G
83.2,C/G
84.2,C/G
84.6,G7
85.0,G7
85.2,C79
85.6,C79
85.8,C79
86.2,C79
86.8,C69
87.0,C69
88.0,C69
88.2,C69
89.0,C69
89.2,C69
89.6,E-7
89.8,E-7
90.2,A7
90.4,A7
90.8,D-7
91.0,D-7
91.4,G7
91.6,G7
92.0,C69
92.2,C69
92.6,C69
92.8,C69
93.2,C69
93.8,C69
94.0,C69
94.4,C69
94.6,C69
95.0,E-7
95.2,E-7
95.6,A7
95.8,A7
96.2,D-7
96.4,D-7
97.4,D-7
97.6,D-7
98.0,G7
98.4,G7
98.6,C69
99.0,C69
99.2,C69
99.6,C69
100.2,Em7b5
100.4,Em7b5
101.0,Em7b5
101.4,Em7b5
101.6,Em7b5
102.0,A79#
102.2,A79#
102.6,A79#
102.8,A79#
103.2,D-7
103.4,D-7
104.4,D-7
104.6,D-7
105.6,D-7
106.0,D-7
106.6,G7
106.8,G7
107.8,G7
108.0,G7
109.0,G7
109.2,G7
110.2,G7
110.4,G7
111.4,C69
111.8,C69
112.2,C7
112.4,C7
112.8,Fj7
113.0,Fj7
114.0,Fj7
114.2,Fj7
115.2,F#o
115.6,F#o
116.0,C/G
116.2,C/G
116.6,G7
116.8,G7
117.2,C79
117.4,C79
117.8,C79
118.0,C79
118.6,C69
119.0,C69
119.2,C69
119.6,C69
120.2,E-7
120.4,E-7
121.4,E-7
121.6,E-7
122.6,A7
123.6,A7
123.8,A7
124.8,D-7
125.0,D-7
125.4,G7
125.6,G7
126.0,C69
126.2,C69
126.6,C69
126.8,C69
127.2,C69
127.4,C69
127.8,C69
128.4,C69
128.6,C69
129.6,E-7
129.8,E-7
130.8,E-7
131.0,E-7
132.0,A7
132.2,A7
133.2,A7
133.4,A7
134.4,D-7
134.6,D-7
135.6,D-7
135.8,D-7
136.8,G7
137.0,G7
138.0,G7
138.2,G7
139.2,C69
139.4,C69
140.4,C69
140.6,C69
141.6,C69
141.8,C69
142.8,C69
143.0,C69
144.0,Em7b5
144.2,Em7b5
145.2,Em7b5
145.4,Em7b5
146.4,Em7b5
146.6,Em7b5
147.6,Em7b5
147.8,Em7b5
148.8,A79#
149.2,A79#
149.4,A79#
149.8,A79#
150.4,D-7
150.8,D-7
151.0,D-7
151.4,D-7
151.6,G7
152.0,G7
152.2,G7
152.6,G7
153.2,C69
153.6,C69
154.2,C7
154.4,C7
155.4,C7
155.6,C7
156.4,Fj7
156.6,Fj7
157.0,F#o
157.2,F#o
157.6,C/G
157.8,C/G
158.2,G7
158.4,G7
158.8,C79
159.0,C79
159.4,C79
159.6,C79
