time,chord
0.2,C-7
0.2,C-7
0.4,C-7
0.4,C-7
0.6,F7
0.6,F7
0.8,F7
0.8,F7
1.0,A#6
1.0,A#6
1.2,A#6
1.2,A#6
1.4,D-7
1.4,D-7
1.6,G7
1.6,G7
1.8,C-7
1.8,C-7
2.0,C-7
2.0,C-7
2.2,F7
2.2,F7
2.4,F7
2.4,F7
2.6,A#6
2.6,A#6
2.8,A#6
2.8,A#6
3.0,D-7
3.0,D-7
3.2,G7
3.2,G7
3.4,C-7
3.4,C-7
3.6,C-7
3.6,C-7
3.8,F7
3.8,F7
4.0,F7
4.0,F7
4.2,A#6
4.2,A#6
4.4,A#6
4.4,A#6
4.6,D-7
4.6,D-7
4.8,G7
4.8,G7
5.0,C-7
5.0,C-7
5.2,C-7
5.2,C-7
5.4,F7
5.4,F7
5.6,F7
5.6,F7
5.8,A#6
5.8,A#6
6.0,A#6
6.0,A#6
6.2,A#6
6.2,A#6
6.4,A#6
6.4,A#6
6.6,D7
6.6,D7
6.8,D7
6.8,D7
7.0,D7
7.0,D7
7.2,D7
7.2,D7
7.4,G79
7.4,G79
7.6,G79
7.6,G79
7.8,G+7
7.8,G+7
8.0,G+7
8.0,G+7
8.2,C7
8.2,C7
8.4,C7
8.4,C7
8.6,C7
8.6,C7
8.8,C7
8.8,C7
9.0,F7
9.0,F7
9.2,F7
9.2,F7
9.4,F7
9.4,F7
9.6,F7
9.6,F7
9.8,C-7
9.8,C-7
10.0,C-7
10.0,C-7
10.2,F7
10.2,F7
10.4,F7
10.4,F7
10.6,A#6
10.6,A#6
10.8,A#6
10.8,A#6
11.0,D-7
11.0,D-7
11.2,G7
11.2,G7
11.4,C-7
11.4,C-7
11.6,C-7
11.6,C-7
11.8,F7
11.8,F7
12.0,F7
12.0,F7
12.2,A#6
12.2,A#6
12.4,A#6
12.4,A#6
12.6,D-7
12.6,D-7
12.8,G7
12.8,G7
13.0,C-7
13.0,C-7
13.2,C-7
13.2,C-7
13.4,F7
13.4,F7
13.6,F7
13.6,F7
13.8,A#6
13.8,A#6
14.0,A#6
14.0,A#6
14.2,D-7
14.2,D-7
14.4,G7
14.4,G7
14.6,C-7
14.6,C-7
14.8,C-7
14.8,C-7
15.0,F7
15.0,F7
15.2,F7
15.2,F7
15.4,A#6
15.4,A#6
15.6,A#6
15.6,A#6
15.8,D-7
15.8,D-7
16.0,G7
16.0,G7
16.2,C-7
16.2,C-7
16.4,C-7
16.4,C-7
16.6,F7
16.6,F7
16.8,F7
16.8,F7
17.0,A#6
17.0,A#6
17.2,A#6
17.2,A#6
17.4,D-7
17.4,D-7
17.6,G7
17.6,G7
17.8,C-7
17.8,C-7
18.0,C-7
18.0,C-7
18.2,F7
18.2,F7
18.4,F7
18.4,F7
18.6,A#6
18.6,A#6
18.8,A#6
18.8,A#6
19.0,A#6
19.0,A#6
19.2,A#6
19.2,A#6
19.4,D7
19.4,D7
19.6,D7
19.6,D7
19.8,D7
19.8,D7
20.0,D7
20.0,D7
20.2,G79
20.2,G79
20.4,G79
20.4,G79
20.6,G+7
20.6,G+7
20.8,G+7
20.8,G+7
21.0,C7
21.0,C7
21.2,C7
21.2,C7
21.4,C7
21.4,C7
21.6,C7
21.6,C7
21.8,F7
21.8,F7
22.0,F7
22.0,F7
22.2,F7
22.2,F7
22.4,F7
22.4,F7
22.6,C-7
22.6,C-7
22.8,C-7
22.8,C-7
23.0,F7
23.0,F7
23.2,F7
23.2,F7
23.4,A#6
23.4,A#6
23.6,A#6
23.6,A#6
23.8,D-7
23.8,D-7
24.0,G7
24.0,G7
24.2,C-7
24.2,C-7
24.4,C-7
24.4,C-7
24.6,F7
24.6,F7
24.8,F7
24.8,F7
25.0,A#6
25.0,A#6
25.2,A#6
25.2,A#6
25.4,D-7
25.4,D-7
25.6,G7
25.6,G7
