time,chord
0.930,G:7
3.320,C:7
5.690,G:7
8.050,G:7
10.350,C:7
12.690,C:7
15.040,G:7
18.510,E:7
19.660,A:min7
22.010,D:7
24.330,G:7
26.650,D:7
28.970,G:7
31.310,C:7
33.670,G:7
36.010,G:7
38.350,C:7
40.690,C:7
43.030,G:7
46.490,E:7
47.650,A:min7
49.990,D:7
52.310,G:7
57.000,G:7
59.330,C:7
61.650,G:7
63.960,G:7
66.300,C:7
68.630,C:7
70.950,G:7
73.210,B:min7
74.390,E:7
75.570,A:min7
77.910,D:7
80.230,G:7
82.560,D:7
84.910,G:7
87.230,C:7
89.510,G:7
91.770,G:7
94.040,C:7
96.340,C:7
98.570,G:7
100.800,B:min7
101.910,E:7
103.020,A:min7
105.240,D:7
107.530,G:7
109.790,D:7
112.080,G:7
114.380,C:7
116.660,G:7
118.920,G:7
121.200,C:7
123.440,C:7
125.700,G:7
127.980,B:min7
129.160,E:7
130.310,A:min7
132.610,D:7
134.890,G:7
137.180,D:7
139.470,G:7
141.720,C:7
144.010,G:7
146.230,G:7
148.500,C:7
150.750,C:7
153.000,G:7
155.230,B:min7
156.340,E:7
157.500,A:min7
159.790,D:7
162.070,G:7
164.440,D:7
166.720,G:7
169.060,C:7
171.390,G:7
173.700,G:7
176.010,C:7
178.330,C:7
180.670,G:7
182.980,B:min7
184.150,E:7
185.350,A:min7
187.650,D:7
189.950,G:7
192.300,D:7
194.710,G:7
197.110,C:7
199.500,G:7
201.880,G:7
204.280,C:7
206.650,C:7
209.040,G:7
211.410,B:min7
212.600,E:7
213.780,A:min7
216.160,D:7
218.500,G:7
220.880,D:7
223.300,G:7
225.670,C:7
228.080,G:7
230.450,G:7
232.840,C:7
235.180,C:7
237.580,G:7
239.960,B:min7
241.150,E:7
242.340,A:min7
244.750,D:7
247.150,G:7
249.510,D:7
251.940,G:7
254.350,C:7
256.730,G:7
259.130,G:7
261.580,C:7
263.980,C:7
266.370,G:7
268.780,B:min7
269.970,E:7
271.140,A:min7
273.530,D:7
275.910,G:7
278.270,D:7
280.690,G:7
283.110,C:7
285.490,G:7
287.870,G:7
290.170,C:7
292.540,C:7
294.840,G:7
297.200,B:min7
298.380,E:7
299.580,A:min7
301.960,D:7
304.340,G:7
306.730,D:7
309.110,G:7
311.510,C:7
313.860,G:7
316.210,G:7
318.540,C:7
320.870,C:7
323.170,G:7
326.640,E:7
327.780,A:min7
330.090,D:7
332.400,G:7
