time,chord
17.8,Cj7
17.8,Cj7
18.0,A-7
18.0,A-7
18.2,D-7
18.2,D-7
18.4,G7
18.4,G7
18.6,E7
18.6,E7
18.8,Am7b5
18.8,Am7b5
19.0,D-7
19.0,D-7
19.2,Gsus7
19.4,Gsus7
19.6,Gsus7
19.8,Gsus7
20.0,Cj7
20.2,Cj7
20.4,Cj7
20.6,Cj7
20.8,A-7
21.0,A-7
21.2,A-7
21.4,A-7
21.6,D-7
21.8,D-7
22.0,D-7
22.2,D-7
22.4,G7
22.6,G7
22.6,E7
22.8,E7
22.8,A7
23.0,A7
23.2,A7
23.4,D-7
23.6,D-7
23.8,D-7
24.0,D-7
24.2,Gsus7
24.4,Gsus7
24.6,Gsus7
24.8,Gsus7
25.0,Cj7
25.2,Cj7
25.4,Cj7
25.4,A-7
25.6,A-7
25.6,D-7
25.8,D-7
25.8,G7
26.0,G7
26.0,E7
26.2,E7
26.4,E7
26.6,Am7b5
26.8,Am7b5
27.0,Am7b5
27.2,Am7b5
27.4,D7
27.6,D7
27.8,D7
28.0,D7
28.2,Gsus7
28.4,Gsus7
28.6,Gsus7
28.8,Cj7
28.8,Cj7
29.0,A-7
29.0,A-7
29.2,D-7
29.2,D-7
29.4,G7
29.4,G7
29.6,C6
29.6,C6
29.8,A#7
29.8,A#7
30.0,Cj7
30.2,Cj7
30.4,Cj7
30.4,Cj7
30.6,Cj7
30.6,E-7
30.8,E-7
30.8,A7
31.0,A7
31.0,E-7
31.2,E-7
31.4,E-7
31.6,A7
31.8,A7
32.0,A7
32.2,A7
32.4,Dj7
32.6,Dj7
32.6,Gj7
32.8,Gj7
32.8,Dj7
33.0,Dj7
33.0,Dj7
33.2,Dj7
33.2,D-7
33.4,D-7
33.6,D-7
33.8,G7
34.0,G7
34.2,G7
34.4,D-7
34.6,D-7
34.8,D-7
35.0,G7
35.2,G7
35.4,G7
35.6,G7
35.8,E-7
36.0,E-7
36.2,E-7
36.4,E-7
36.6,A7
36.8,A7
37.0,A7
37.2,A7
37.4,D7
37.6,D7
37.8,D7
37.8,Gsus7
38.0,Gsus7
38.0,Cj7
38.2,Cj7
38.2,A-7
38.4,A-7
38.6,A-7
38.8,D-7
39.0,D-7
39.2,D-7
39.4,D-7
39.6,G7
39.8,G7
40.0,G7
40.2,G7
40.4,E7
40.6,E7
40.8,E7
41.0,E7
41.2,A7
41.4,A7
41.6,D7
41.6,D7
41.8,Gsus7
41.8,Gsus7
42.0,Cj7
42.0,Cj7
42.2,A79b
42.4,A79b
42.6,A79b
42.8,A79b
43.0,D-7
43.2,D-7
43.4,D-7
43.6,D-7
43.8,G7
44.0,G7
44.2,G7
44.4,G7
44.6,C6
44.8,C6
44.8,C6
45.0,C6
45.0,D-7
45.2,D-7
45.4,D-7
45.6,G7
45.8,G7
46.0,G7
46.2,G7
46.4,Cj7
46.6,Cj7
46.8,Cj7
47.0,Cj7
47.2,A-7
47.4,A-7
47.4,D-7
47.6,D-7
47.6,G7
47.8,G7
47.8,E7
48.0,E7
48.2,E7
48.4,Am7b5
48.6,Am7b5
48.6,D-7
48.8,D-7
48.8,Gsus7
49.0,Gsus7
49.2,Gsus7
49.4,Cj7
49.6,Cj7
49.8,Cj7
50.0,Cj7
50.2,A-7
50.4,A-7
50.6,A-7
50.8,A-7
51.0,D-7
51.2,D-7
51.4,D-7
51.6,D-7
51.8,G7
52.0,G7
52.2,G7
52.4,G7
52.6,E7
52.8,E7
53.0,E7
53.2,E7
53.4,A7
53.6,A7
53.8,A7
54.0,A7
54.2,D-7
54.4,D-7
54.6,D-7
54.8,D-7
55.0,Gsus7
55.2,Gsus7
55.4,Gsus7
55.6,Gsus7
55.8,Cj7
56.0,Cj7
56.2,Cj7
56.4,Cj7
56.6,A-7
56.8,A-7
57.0,A-7
57.2,A-7
57.4,D-7
57.6,D-7
57.8,D-7
58.0,D-7
58.2,G7
58.4,G7
58.4,E7
58.6,E7
58.6,Am7b5
58.8,Am7b5
59.0,Am7b5
59.2,D7
59.4,D7
59.6,D7
59.8,D7
60.0,Gsus7
60.2,Gsus7
60.4,Gsus7
60.6,Gsus7
60.8,Cj7
60.8,Cj7
61.0,A-7
61.2,A-7
61.4,A-7
61.6,A-7
61.8,D-7
62.0,D-7
62.2,D-7
62.4,D-7
62.6,G7
62.8,G7
63.0,G7
63.2,G7
63.4,C6
63.6,C6
63.8,C6
64.0,C6
64.2,A#7
64.4,A#7
64.6,A#7
64.8,A#7
65.0,Cj7
65.0,Cj7
65.2,Cj7
65.2,Cj7
65.4,E-7
65.4,E-7
65.6,A7
65.6,A7
65.8,E-7
65.8,E-7
66.0,A7
66.0,A7
66.2,Dj7
66.4,Dj7
66.6,Dj7
66.8,Gj7
67.0,Gj7
67.0,Dj7
67.2,Dj7
67.2,Dj7
67.4,Dj7
67.4,D-7
67.6,D-7
67.8,D-7
68.0,G7
68.2,G7
68.4,G7
68.6,G7
68.8,D-7
69.0,D-7
69.2,D-7
69.4,D-7
69.6,G7
69.8,G7
70.0,G7
70.0,E-7
70.2,E-7
70.4,E-7
70.6,A7
70.8,A7
71.0,A7
71.2,D7
71.4,D7
71.6,D7
71.8,D7
72.0,Gsus7
72.2,Gsus7
72.4,Gsus7
72.6,Gsus7
72.8,Cj7
73.0,Cj7
73.2,Cj7
73.4,Cj7
73.6,A-7
73.8,A-7
74.0,A-7
74.2,A-7
74.4,D-7
74.6,D-7
74.6,G7
74.8,G7
74.8,E7
75.0,E7
75.0,A7
75.2,A7
75.2,D7
75.4,D7
75.4,Gsus7
75.6,Gsus7
75.6,Cj7
75.8,Cj7
75.8,A79b
76.0,A79b
76.0,D-7
76.2,D-7
76.2,G7
76.4,G7
76.4,C6
76.6,C6
76.6,C6
76.8,C6
76.8,D-7
77.0,D-7
77.0,G7
77.2,G7
77.2,Cj7
77.4,Cj7
77.4,A-7
77.6,A-7
77.8,A-7
78.0,D-7
78.2,D-7
78.4,G7
78.6,G7
78.8,G7
79.0,G7
79.2,E7
79.4,E7
79.6,E7
79.8,E7
80.0,Am7b5
80.2,Am7b5
80.4,Am7b5
80.6,Am7b5
80.8,D-7
81.0,D-7
81.2,D-7
81.4,D-7
81.6,Gsus7
81.8,Gsus7
82.0,Gsus7
82.2,Gsus7
82.4,Cj7
82.6,Cj7
82.8,Cj7
83.0,Cj7
83.2,A-7
83.4,A-7
83.6,A-7
83.8,A-7
84.0,D-7
84.0,D-7
84.2,G7
84.2,G7
84.4,E7
84.6,E7
84.8,E7
85.0,E7
85.2,A7
85.4,A7
85.6,A7
85.8,A7
86.0,D-7
86.2,D-7
86.4,D-7
86.6,Gsus7
86.8,Gsus7
87.0,Gsus7
87.2,Gsus7
87.4,Cj7
87.6,Cj7
87.8,Cj7
88.0,Cj7
88.2,A-7
88.4,A-7
88.6,A-7
88.8,A-7
89.0,D-7
89.2,D-7
89.4,D-7
89.6,D-7
89.8,G7
90.0,G7
90.2,G7
90.4,E7
90.6,E7
90.8,E7
91.0,Am7b5
91.2,Am7b5
91.2,D7
91.4,D7
91.4,Gsus7
91.6,Gsus7
91.6,Cj7
91.8,Cj7
91.8,A-7
92.0,A-7
92.0,D-7
92.2,D-7
92.2,G7
92.4,G7
92.4,C6
92.6,C6
92.6,A#7
92.8,A#7
92.8,Cj7
93.0,Cj7
93.0,Cj7
93.2,Cj7
93.4,Cj7
93.6,E-7
93.8,E-7
94.0,A7
94.0,A7
94.2,E-7
94.2,E-7
94.4,A7
94.4,A7
94.6,Dj7
94.6,Dj7
94.8,Gj7
94.8,Gj7
95.0,Dj7
95.2,Dj7
95.2,Dj7
95.4,Dj7
95.4,D-7
95.6,D-7
95.8,D-7
96.0,G7
96.2,G7
96.4,G7
96.6,G7
96.8,D-7
97.0,D-7
97.2,D-7
97.4,D-7
97.6,G7
97.8,G7
98.0,G7
98.2,G7
98.4,E-7
98.6,E-7
98.8,E-7
99.0,E-7
99.2,A7
99.4,A7
99.6,A7
99.8,A7
100.0,D7
100.2,D7
100.4,D7
100.6,D7
100.8,Gsus7
101.0,Gsus7
101.2,Gsus7
101.2,Cj7
101.4,Cj7
101.4,A-7
101.6,A-7
101.6,D-7
101.8,D-7
102.0,D-7
102.2,G7
102.4,G7
102.6,G7
102.8,E7
103.0,E7
103.2,E7
103.4,E7
103.6,A7
103.8,A7
104.0,A7
104.2,A7
104.4,D7
104.6,D7
104.8,D7
105.0,D7
105.2,Gsus7
105.4,Gsus7
105.6,Gsus7
105.8,Gsus7
106.0,Cj7
106.2,Cj7
106.4,A79b
106.4,A79b
106.6,D-7
106.6,D-7
106.8,G7
106.8,G7
107.0,C6
107.0,C6
107.2,C6
107.2,C6
107.4,D-7
107.4,D-7
107.6,G7
107.6,G7
