time,chord
113.2,F-7
113.2,F-7
113.4,F-7
113.4,F-7
113.6,C79#
113.6,C79#
113.8,C79#
113.8,C79#
114.0,F-7
114.0,F-7
114.2,F-7
114.2,F-7
114.4,F79b
114.4,F79b
114.6,F79b
114.6,F79b
114.8,A#-7
114.8,A#-7
115.0,A#-7
115.0,A#-7
115.2,F79#
115.2,F79#
115.4,F79#
115.4,F79#
115.6,A#-7
115.6,A#-7
115.8,A#-7
115.8,A#-7
116.0,A#-7
116.0,A#-7
116.2,A#-7
116.2,A#-7
116.4,C#bj7
116.4,C#bj7
116.6,C#bj7
116.6,C#bj7
116.8,D-7
116.8,D-7
117.0,G7
117.0,G7
117.2,Cj7
117.2,Cj7
117.4,Cj7
117.4,Cj7
117.6,C#b-7
117.6,C#b-7
117.8,F#b7
117.8,F#b7
118.0,B7
118.0,B7
118.2,B7
118.2,B7
118.4,C-7
118.4,C-7
118.6,F7
118.6,F7
118.8,A#j7
118.8,A#j7
119.0,A#j7
119.0,A#j7
119.2,A#j7
119.2,A#j7
119.4,A#j7
119.4,A#j7
119.6,A#-7
119.6,A#-7
119.8,A#-7
120.0,A#-7
120.2,A#-7
120.4,A#-7
120.6,D#b7
120.8,D#b7
121.0,D#b7
121.2,D#b7
121.4,D#b7
121.6,D#b7
121.8,D#b7
122.0,D#b7
122.2,Gbj7
122.4,Gbj7
122.6,Gbj7
122.8,Gbj7
123.0,Gbj7
123.2,Gbj7
123.4,Gbj7
123.6,Gbj7
123.8,Gm7b5
124.0,Gm7b5
124.2,Gm7b5
124.4,Gm7b5
124.6,C7
124.8,C7
125.0,C7
125.2,C7
125.4,F-7
125.6,F-7
125.8,F-7
126.0,F-7
126.2,F-7
126.4,F-7
126.6,F-7
126.8,F-7
127.0,C79#
127.2,C79#
127.4,C79#
127.4,C79#
127.6,F-7
127.6,F-7
127.8,F-7
127.8,F-7
128.0,F79b
128.0,F79b
128.2,F79b
128.2,F79b
128.4,A#-7
128.6,A#-7
128.8,A#-7
129.0,A#-7
129.2,A#-7
129.4,A#-7
129.4,F79#
129.6,F79#
129.6,F79#
129.8,F79#
130.0,F79#
130.2,A#-7
130.2,A#-7
130.4,A#-7
130.4,A#-7
130.6,A#-7
130.6,A#-7
130.8,A#-7
130.8,A#-7
131.0,C#bj7
131.0,C#bj7
131.2,C#bj7
131.2,C#bj7
131.4,Dm7b5
131.4,Dm7b5
131.6,G7
131.6,G7
131.8,Cm7b5
132.0,Cm7b5
132.2,Cm7b5
132.4,F#b7
132.6,F#b7
132.8,F#b7
133.0,F7
133.2,F7
133.4,F7
133.6,F7
133.8,B
134.0,B
134.2,B
134.4,B
134.6,A#-7
134.8,A#-7
135.0,A#-7
135.2,A#-7
135.2,A#-7
135.4,D#b7
135.4,D#b7
135.6,D#b7
135.6,D#b7
135.8,Gb6
135.8,Gb6
136.0,Gb6
136.0,Gb6
136.2,Gm7b5
136.2,Gm7b5
136.4,C79b
136.4,C79b
136.6,F-7
136.6,F-7
136.8,F-7
136.8,F-7
137.0,C79#
137.0,C79#
137.2,C79#
137.2,C79#
137.4,F-7
137.4,F-7
137.6,F-7
137.6,F-7
137.8,F79b
137.8,F79b
138.0,F79b
138.0,F79b
138.2,A#-7
138.2,A#-7
138.4,A#-7
138.4,A#-7
138.6,F79#
138.6,F79#
138.8,F79#
138.8,F79#
139.0,A#-7
139.0,A#-7
139.2,A#-7
139.2,A#-7
139.4,A#-7
139.4,A#-7
139.6,A#-7
139.6,A#-7
139.8,C#bj7
139.8,C#bj7
140.0,C#bj7
140.2,C#bj7
140.4,C#bj7
140.6,C#bj7
140.8,D-7
141.0,D-7
141.2,D-7
141.4,D-7
141.6,G7
141.8,G7
142.0,G7
142.2,G7
142.4,Cj7
142.6,Cj7
142.8,Cj7
143.0,Cj7
143.2,Cj7
143.4,Cj7
143.6,Cj7
143.8,Cj7
144.0,C#b-7
144.2,C#b-7
144.4,C#b-7
144.6,C#b-7
144.8,F#b7
145.0,F#b7
145.2,F#b7
145.4,F#b7
145.6,B7
145.8,B7
146.0,B7
146.2,B7
146.4,B7
146.6,B7
146.8,B7
147.0,B7
147.2,C-7
147.4,C-7
147.6,C-7
147.8,C-7
148.0,F7
148.2,F7
148.4,F7
148.6,F7
148.8,A#j7
149.0,A#j7
149.2,A#j7
149.4,A#j7
149.6,A#j7
149.8,A#j7
150.0,A#j7
150.2,A#j7
150.4,A#j7
150.6,A#j7
150.8,A#j7
151.0,A#j7
151.2,A#j7
151.4,A#j7
151.6,A#j7
151.8,A#j7
152.0,A#-7
152.2,A#-7
152.4,A#-7
152.6,A#-7
152.8,A#-7
153.0,A#-7
153.2,A#-7
153.4,A#-7
153.6,D#b7
153.8,D#b7
154.0,D#b7
154.2,D#b7
154.4,D#b7
154.6,D#b7
154.8,D#b7
155.0,D#b7
155.2,Gbj7
155.4,Gbj7
155.6,Gbj7
155.8,Gbj7
156.0,Gbj7
156.2,Gbj7
156.2,Gm7b5
156.4,Gm7b5
156.6,Gm7b5
156.8,C7
156.8,C7
157.0,F-7
157.0,F-7
157.2,F-7
157.2,F-7
157.4,C79#
157.4,C79#
157.6,C79#
157.6,C79#
157.8,F-7
158.0,F-7
158.0,F-7
158.2,F-7
158.2,F79b
158.4,F79b
158.6,F79b
158.8,F79b
159.0,F79b
159.2,F79b
159.4,F79b
159.6,A#-7
159.8,A#-7
160.0,A#-7
160.2,A#-7
160.4,A#-7
160.6,A#-7
160.8,A#-7
161.0,A#-7
161.2,F79#
161.4,F79#
161.4,F79#
161.6,F79#
161.8,F79#
162.0,A#-7
162.0,A#-7
162.2,A#-7
162.2,A#-7
162.4,A#-7
162.4,A#-7
162.6,A#-7
162.6,A#-7
162.8,C#bj7
162.8,C#bj7
163.0,C#bj7
163.0,C#bj7
163.2,Dm7b5
163.2,Dm7b5
163.4,G7
163.4,G7
163.6,Cm7b5
163.8,Cm7b5
164.0,Cm7b5
164.2,Cm7b5
164.4,F#b7
164.6,F#b7
164.8,F#b7
165.0,F7
165.0,F7
165.2,B
165.4,B
165.6,B
165.8,B
166.0,A#-7
166.2,A#-7
166.4,A#-7
166.6,A#-7
166.8,A#-7
167.0,A#-7
167.2,A#-7
167.4,A#-7
167.6,D#b7
167.8,D#b7
168.0,D#b7
168.2,D#b7
168.4,D#b7
168.6,D#b7
168.8,D#b7
169.0,D#b7
169.2,Gb6
169.4,Gb6
169.6,Gb6
169.8,Gb6
170.0,Gb6
170.2,Gb6
170.4,Gb6
170.6,Gb6
170.8,Gm7b5
171.0,Gm7b5
171.2,Gm7b5
171.4,Gm7b5
171.6,C79b
171.8,C79b
172.0,C79b
172.2,C79b
172.4,F-7
172.6,F-7
172.8,F-7
173.0,F-7
173.2,F-7
173.4,F-7
173.6,F-7
173.8,F-7
174.0,C79#
174.2,C79#
174.4,C79#
174.6,C79#
174.8,C79#
175.0,C79#
175.2,C79#
175.4,C79#
175.6,F-7
175.8,F-7
176.0,F-7
176.2,F-7
176.4,F-7
176.6,F-7
176.8,F-7
177.0,F79b
177.2,F79b
177.2,F79b
177.4,F79b
177.4,A#-7
177.6,A#-7
177.6,A#-7
177.8,A#-7
177.8,F79#
178.0,F79#
178.0,F79#
178.2,F79#
178.2,A#-7
178.4,A#-7
178.4,A#-7
178.6,A#-7
178.6,A#-7
178.8,A#-7
178.8,A#-7
179.0,A#-7
179.0,C#bj7
179.2,C#bj7
179.2,C#bj7
179.4,C#bj7
179.4,D-7
179.6,D-7
179.6,G7
179.8,G7
180.0,G7
180.2,Cj7
180.4,Cj7
180.6,Cj7
180.8,Cj7
181.0,Cj7
181.2,Cj7
181.2,C#b-7
181.4,C#b-7
181.4,F#b7
181.6,F#b7
181.8,F#b7
182.0,B7
182.2,B7
182.4,B7
182.6,B7
182.8,B7
182.8,C-7
183.0,C-7
183.0,F7
183.2,F7
183.2,A#j7
183.4,A#j7
183.4,A#j7
183.6,A#j7
183.6,A#j7
183.8,A#j7
183.8,A#j7
184.0,A#j7
184.0,A#-7
184.2,A#-7
184.2,A#-7
184.4,A#-7
184.4,D#b7
184.6,D#b7
184.6,D#b7
184.8,D#b7
184.8,Gbj7
185.0,Gbj7
185.0,Gbj7
185.2,Gbj7
185.2,Gm7b5
185.4,Gm7b5
185.4,C7
185.6,C7
185.6,F-7
185.8,F-7
185.8,F-7
186.0,F-7
186.2,F-7
186.4,C79#
186.6,C79#
186.8,C79#
187.0,C79#
187.2,C79#
187.4,C79#
187.6,C79#
187.8,C79#
188.0,F-7
188.0,F-7
188.2,F-7
188.2,F-7
188.4,F79b
188.4,F79b
188.6,F79b
188.6,F79b
188.8,A#-7
189.0,A#-7
189.2,A#-7
189.4,A#-7
189.6,A#-7
189.8,A#-7
190.0,A#-7
190.0,F79#
190.2,F79#
190.2,F79#
190.4,F79#
190.4,A#-7
190.6,A#-7
190.6,A#-7
190.8,A#-7
190.8,A#-7
191.0,A#-7
191.0,A#-7
191.2,A#-7
191.2,C#bj7
191.4,C#bj7
191.4,C#bj7
191.6,C#bj7
191.6,Dm7b5
191.8,Dm7b5
191.8,G7
192.0,G7
192.2,G7
192.4,Cm7b5
192.6,Cm7b5
192.6,F#b7
192.8,F#b7
193.0,F#b7
193.2,F7
193.4,F7
193.6,F7
193.8,F7
194.0,B
194.2,B
194.4,B
194.6,B
194.8,A#-7
194.8,A#-7
195.0,A#-7
195.0,A#-7
195.2,D#b7
195.2,D#b7
195.4,D#b7
195.4,D#b7
195.6,Gb6
195.6,Gb6
195.8,Gb6
195.8,Gb6
196.0,Gm7b5
196.0,Gm7b5
196.2,C79b
196.2,C79b
