time,chord
14.340,C:maj6
18.470,F#:hdim7
20.590,B:7
22.690,D:min7
29.750,A:7(b9)
30.720,D:min7
34.790,F:min6
36.830,A#:9
38.770,C:maj7
42.860,C:maj6
44.890,B:hdim7
45.900,E:7
46.890,A:min
48.890,A:minmaj7
50.920,F#:hdim7
52.930,B:7
54.950,E:min7
58.990,E:min7
60.990,A:7
63.000,D:min7
65.050,B:hdim7
66.080,E:7
67.060,A:min7
69.080,D:9
71.080,G:sus4
74.960,G:7/5
78.880,C:maj6
82.880,F#:hdim7
84.900,B:7
86.960,D:min7
92.920,G:7
94.830,D:min7
98.870,A#:9
102.860,C:maj7
106.910,G:min7
108.940,C:7(#5)
110.930,F:maj7
114.990,B:hdim7
116.990,E:7
118.990,A:min
121.030,A:min/7
122.990,D:7
127.000,E:min7
129.040,A:7(b9)
130.960,D:hdim7
132.970,G:7
134.960,C:maj6
140.910,D:min7
141.930,G:7
142.930,C:maj6
146.920,F#:hdim7
148.910,B:7
150.900,D:min7
157.860,A:7(b9)
158.860,D:min7
162.770,A#:9
164.740,G:7
166.730,C:maj7
170.740,C:maj6
172.730,B:hdim7
173.750,E:7
174.710,A:min
176.760,A:minmaj7
178.740,A:min7
180.770,B:7
182.760,E:min7
188.770,C:min6
190.750,B:min7
192.780,E:7(#5)
194.770,A:min7
196.690,D:9
198.670,G:sus4
202.650,G:7
204.610,C#:9(#11)
206.600,C:maj6
210.720,F#:hdim7
212.740,B:7
214.810,D:min7
221.900,A:7(b9)
222.930,D:min7
226.940,A#:9
228.990,G:7
231.020,C:maj7
236.970,C:7(#5)
