time,chord
4.660,D:min
8.010,D:minmaj7
11.320,D:min7
14.670,D:min6
18.030,Bb:maj7
21.240,G:min7
24.560,E:hdim7
27.810,A:7(b9)
31.120,D:min
34.450,D:minmaj7
37.810,D:min7
41.140,D:min6
44.420,Bb:maj7
47.620,G:min7
50.810,G:hdim7
54.130,C:7(b9)
57.510,F:maj7
59.230,G:min7
60.930,A:min7
62.480,G:min7
64.120,F:maj7
65.770,G:min7
67.450,A:min7
69.030,G:min7
70.650,F:maj7
72.330,A:7
74.000,D:min
75.600,C:min7
76.430,B:7
77.240,Bb:maj7
80.470,E:hdim7
82.170,A:7(b9)
83.810,D:min
87.100,D:minmaj7
90.500,D:min7
93.850,D:min6
97.120,Bb:maj7
100.370,E:hdim7
102.040,A:7(b9)
103.640,D:min
106.920,C:min7
108.510,B:7
110.190,Bb:maj7
113.370,G:min7
114.980,C:7(b9)
116.620,F:maj
119.940,E:hdim7
121.580,A:7(b9)
123.290,D:min
126.580,D:minmaj7
129.850,D:min7
133.180,D:min6
136.480,Bb:maj7
139.730,G:min7
143.090,E:hdim7
146.450,A:7(b9)
149.820,D:min
153.230,D:minmaj7
156.620,D:min7
160.010,D:min6
163.440,Bb:maj7
166.840,G:min7
170.250,G:hdim7
173.670,C:7(b9)
177.110,F:maj7
178.850,G:min7
180.510,A:min7
182.230,G:min7
184.020,F:maj7
185.790,G:min7
187.530,A:min7
189.230,G:min7
190.940,F:maj7
192.640,A:7
194.390,D:min
196.160,C:min7
197.050,B:7
197.950,Bb:maj7
201.360,E:hdim7
203.100,A:7(b9)
204.880,D:min
208.390,D:minmaj7
211.920,D:min7
215.500,D:min6
219.010,Bb:maj7
222.570,E:hdim7
224.380,A:7(b9)
226.090,D:min
229.550,C:min7
231.310,B:7
233.140,Bb:maj7
236.720,G:min7
238.500,C:7(b9)
240.260,F:maj
243.800,E:hdim7
245.540,A:7(b9)
247.350,D:min
250.910,D:minmaj7
254.480,D:min7
257.990,D:min6
261.500,Bb:maj7
265.080,G:min7
268.600,E:hdim7
272.130,A:7(b9)
275.710,D:min
279.290,D:minmaj7
282.790,D:min7
286.320,D:min6
289.840,Bb:maj7
293.280,G:min7
296.720,G:hdim7
300.250,C:7(b9)
303.760,F:maj7
305.690,G:min7
307.630,A:min7
309.630,G:min7
311.710,F:maj7
313.840,G:min7
315.970,A:min7
318.060,G:min7
320.180,F:maj7
322.060,A:7
324.150,D:min
326.260,C:min7
327.290,B:7
328.360,Bb:maj7
332.100,E:hdim7
