time,chord
2.340,C#j7
4.620,C#j7
6.850,A#7
9.090,A#7
11.360,D#7
13.610,G#7
15.860,C#
18.040,G#7
20.270,C#j7
22.530,C#j7
24.700,A#7
26.940,A#7
29.140,D#7
31.370,G#7
33.590,C#
35.800,C#7
38.030,F#
40.220,F#-
42.370,C#j7
44.530,C#7
46.710,F#6
48.860,Gm7b5
49.950,C79b
51.060,F-7
52.180,Eo7
53.280,D#-7
54.370,G#7
55.470,C#j7
57.680,C#j7
59.850,A#7
62.080,A#7
64.280,D#7
66.480,G#7
68.700,C#
70.870,C#
71.960,G#7
73.060,C#j7
75.270,C#j7
77.450,A#7
79.660,A#7
81.820,D#7
83.990,G#7
86.170,C#
88.370,G#7
90.560,C#j7
92.730,C#j7
94.920,A#7
97.110,A#7
99.290,D#7
101.470,G#7
103.640,C#
105.810,C#7
107.960,F#
110.120,F#-
112.320,C#j7
114.470,C#7
116.650,F#6
118.770,Gm7b5
119.870,C79b
120.980,F-7
122.030,Eo7
123.130,D#-7
124.250,G#7
125.340,C#j7
127.540,C#j7
129.730,A#7
131.870,A#7
134.080,D#7
136.290,G#7
138.510,C#
140.820,C#
143.150,C#j7
