time,chord
0.2,A#-7
0.2,A#-7
0.4,A#-7
0.4,A#-7
0.6,F#b7
0.6,F7
0.8,E7
0.8,D#b7
1.0,Gbj7
1.0,Gbj7
1.2,Gbj7
1.2,Gbj7
1.4,Gb7
1.4,G7
1.6,F#b7
1.8,F#b7
2.0,F7
2.2,F7
2.4,A#7
2.6,A#7
2.8,A#7
3.0,A#7
3.2,A#7
3.4,A#7
3.6,A#7
3.6,A#-7
3.8,A#-7
4.0,A#-7
4.2,D#b7
4.4,D#b7
4.6,D#b7
4.8,D#b7
5.0,Gbj7
5.0,Gbj7
5.2,Gbj7
5.2,Gbj7
5.4,Gb7
5.4,Gb7
5.6,F79b
5.6,F79b
5.8,A#-7
5.8,A#-7
6.0,A#-7
6.0,A#-7
6.2,F#b7
6.2,F7
6.4,E7
6.4,D#b7
6.6,Gbj7
6.6,Gbj7
6.8,Gbj7
6.8,Gbj7
7.0,Gb7
7.0,G7
7.2,F#b7
7.4,F#b7
7.6,F7
7.8,A#7
8.0,A#7
8.2,A#7
8.4,A#7
8.6,A#7
8.8,A#7
9.0,A#7
9.2,A#7
9.4,A#-7
9.6,A#-7
9.8,A#-7
10.0,A#-7
10.2,D#b7
10.4,D#b7
10.6,D#b7
10.8,D#b7
11.0,Gbj7
11.2,Gbj7
11.4,Gbj7
11.6,Gbj7
11.8,Gbj7
12.0,Gbj7
12.2,Gbj7
12.4,Gbj7
12.6,Gb7911#
12.8,Gb7911#
13.0,Gb7911#
13.2,D79b
13.2,D79b
13.4,Gj7
13.4,Gj7
13.6,E-7
13.8,E-7
14.0,E-7
14.2,E-7
14.4,A-7
14.6,A-7
14.8,A-7
15.0,A-7
15.2,D7
15.4,D7
15.6,D7
15.8,D7
16.0,G7
16.2,G7
16.4,G7
16.6,G7
16.8,G#o7
17.0,G#o7
17.2,G#o7
17.4,G#o7
17.6,A-7
17.8,A-7
18.0,A-7
18.2,A-7
18.4,D7
18.6,D7
18.8,D7
19.0,Gj7
19.2,Gj7
19.2,E-7
19.4,E-7
19.4,A-7
19.6,A-7
19.6,D7
19.8,D7
20.0,D7
20.2,G7
20.4,G7
20.6,G7
20.8,G7
21.0,C-7
21.2,C-7
21.4,C-7
21.6,C-7
21.8,D#b7
22.0,D#b7
22.2,D#b7
22.4,Cm7b5
22.6,F79b
22.6,A#-7
22.8,A#-7
22.8,A#-7
23.0,A#-7
23.0,F#b7
23.2,F7
23.2,E7
23.4,D#b7
23.4,Gbj7
23.6,Gbj7
23.6,Gbj7
23.8,Gbj7
23.8,Gb7
24.0,G7
24.0,F#b7
24.2,F7
24.2,A#7
24.4,A#7
24.4,A#7
24.6,A#7
24.6,A#-7
24.8,A#-7
24.8,D#b7
25.0,D#b7
25.2,D#b7
25.4,Gbj7
25.6,Gbj7
25.8,Gbj7
26.0,Gbj7
26.2,Gbj7
26.4,Gbj7
26.6,Gbj7
26.8,Gbj7
27.0,Gb7
27.2,Gb7
27.4,Gb7
27.6,F79b
27.8,F79b
27.8,Gj7
28.0,Gj7
28.0,B7
28.2,B7
28.4,B7
28.6,A-7
28.8,F7
29.0,D7
29.2,D7
29.4,D#b7
29.6,D#b7
29.8,G7
30.0,G7
30.2,G7
30.4,G7
30.6,G#o7
30.8,G#o7
31.0,G#o7
31.2,G#o7
31.4,A-7
31.6,A-7
31.8,G7
32.0,D7
32.0,F7
32.2,Gj7
32.2,Gj7
32.4,E-7
32.4,E-7
32.6,A-7
32.6,A-7
32.8,D7
32.8,D7
33.0,G7
33.0,G7
33.2,C-7
33.2,C-7
33.4,D#b7
33.4,D#b7
33.6,Cm7b5
33.8,Cm7b5
34.0,F79b
34.2,F79b
34.4,A#-7
34.6,A#-7
34.8,A#-7
35.0,A#-7
35.2,A#-7
35.4,A#-7
35.6,A#-7
35.8,F#b7
36.0,F7
36.2,F7
