time,chord
4.730,Bb:maj7
5.690,Bb:maj7
6.645,F:min7
7.605,Bb:7
8.560,Eb:maj7
9.515,Eb:maj7
10.475,Ab:7
11.425,Ab:7
12.370,Bb:maj7
13.315,G:min7
14.265,C:7
15.230,C:7
16.180,C:min7
17.145,B:dim
18.100,C:min7
19.065,F:aug(b7)
20.025,Bb:maj7
21.010,Bb:maj7
21.975,F:min7
22.920,Bb:7
23.880,Eb:maj7
24.840,Eb:maj7
25.805,Ab:7
26.755,Ab:7
27.715,Bb:maj7
28.670,G:min7
29.630,C:7
30.595,C:7
31.550,C:min7
32.505,F:7
33.475,Bb:maj6
34.425,Bb:maj6
35.385,C#:min7
36.350,F#:7
37.305,B:maj7
38.270,B:maj7
39.230,B:min7
40.200,E:7
41.160,A:maj7
42.115,A:maj7
43.075,A:min7
44.060,D:7
45.010,G:maj7
45.980,G:maj7
46.950,G:min7
47.915,C:7
48.880,C:min7
49.845,F:aug(b7)
50.810,Bb:maj7
51.760,Bb:maj7
52.720,F:min7
53.690,Bb:7
54.655,Eb:maj7
55.615,Eb:maj7
56.575,Ab:7
57.550,Ab:7
58.510,Bb:maj7
59.485,G:min7
60.460,C:7
61.435,C:7
62.385,C:min7
63.355,F:7
64.325,Bb:maj6
65.290,Bb:maj6
66.270,Bb:maj7
67.245,Bb:maj7
68.215,F:min7
69.190,Bb:7
70.145,Eb:maj7
71.105,Eb:maj7
72.045,Ab:7
73.010,Ab:7
73.975,Bb:maj7
74.940,G:min7
75.900,C:7
76.865,C:7
77.815,C:min7
78.780,B:dim
79.735,C:min7
80.685,F:aug(b7)
81.650,Bb:maj7
82.605,Bb:maj7
83.575,F:min7
84.545,Bb:7
85.500,Eb:maj7
86.460,Eb:maj7
87.415,Ab:7
88.370,Ab:7
89.335,Bb:maj7
90.300,G:min7
91.270,C:7
92.225,C:7
93.200,C:min7
94.145,F:7
95.095,Bb:maj6
96.050,Bb:maj6
97.005,C#:min7
97.980,F#:7
98.955,B:maj7
99.925,B:maj7
100.895,B:min7
101.865,E:7
102.840,A:maj7
103.810,A:maj7
104.770,A:min7
105.745,D:7
106.710,G:maj7
107.675,G:maj7
108.635,G:min7
109.590,C:7
110.560,C:min7
111.505,F:aug(b7)
112.455,Bb:maj7
113.415,Bb:maj7
114.385,F:min7
115.355,Bb:7
116.305,Eb:maj7
117.265,Eb:maj7
118.230,Ab:7
119.190,Ab:7
120.160,Bb:maj7
121.125,G:min7
122.095,C:7
123.050,C:7
124.020,C:min7
124.985,F:7
125.950,Bb:maj6
126.925,Bb:maj6
127.905,Bb:maj7
128.865,Bb:maj7
129.820,F:min7
130.785,Bb:7
131.730,Eb:maj7
132.695,Eb:maj7
133.655,Ab:7
134.610,Ab:7
135.570,Bb:maj7
136.535,G:min7
137.510,C:7
138.475,C:7
139.445,C:min7
140.400,B:dim
141.360,C:min7
142.320,F:aug(b7)
143.285,Bb:maj7
144.245,Bb:maj7
145.215,F:min7
146.185,Bb:7
147.145,Eb:maj7
148.100,Eb:maj7
149.050,Ab:7
150.020,Ab:7
150.990,Bb:maj7
151.955,G:min7
152.905,C:7
153.870,C:7
154.830,C:min7
155.775,F:7
156.730,Bb:maj6
157.690,Bb:maj6
158.655,C#:min7
159.625,F#:7
160.600,B:maj7
161.565,B:maj7
162.505,B:min7
163.480,E:7
164.430,A:maj7
165.380,A:maj7
166.340,A:min7
167.310,D:7
168.255,G:maj7
169.225,G:maj7
170.180,G:min7
171.135,C:7
172.080,C:min7
173.055,F:aug(b7)
174.020,Bb:maj7
174.975,Bb:maj7
175.935,F:min7
176.900,Bb:7
177.860,Eb:maj7
178.820,Eb:maj7
179.770,Ab:7
180.735,Ab:7
181.685,Bb:maj7
182.640,G:min7
183.600,C:7
184.555,C:7
185.520,C:min7
186.490,F:7
187.445,Bb:maj6
188.415,Bb:maj6
