time,chord
4.600,Cj7
4.800,D-7
4.800,D##o
5.000,E-7
5.000,E-7
5.200,E-7
5.200,E-7
5.400,E-7
5.600,E-7
5.800,A7
6.000,A7
6.200,A7
6.400,A7
6.600,A7
6.800,A7
7.000,A7
7.200,A7
7.400,A7
7.600,A7
7.600,A7
7.800,A7
8.000,A7
8.200,D-7
8.400,D-7
8.600,D-7
8.800,D-7
9.000,D-7
9.200,D-7
9.400,D-7
9.600,D-7
9.800,G7
10.000,G7
10.200,G7
10.400,G7
10.600,G7
10.800,G7
11.000,G7
11.200,G7
11.400,C
11.600,C
11.800,C
12.000,C
12.200,C
12.400,C
12.600,C
12.800,C
13.000,G7
13.200,G7
13.400,G7
13.600,G7
13.800,G7
14.000,G7
14.200,G7
14.400,G7
14.600,Cj7
14.800,Cj7
15.000,D-7
15.200,D-7
15.400,D##o
15.600,D##o
15.800,E-7
16.000,E-7
16.200,E-7
16.400,E-7
16.600,E-7
16.600,E-7
16.800,E-7
16.800,A7
17.000,A7
17.000,A7
17.200,A7
17.200,A7
17.400,A7
17.400,A7
17.600,A7
17.600,D-7
17.800,D-7
17.800,D-7
18.000,D-7
18.000,G7
18.200,G7
18.200,G7
18.400,G7
18.600,G7
18.800,C
19.000,C
19.200,C
19.200,C
19.400,C
19.400,C7
19.600,C7
19.600,C7
19.800,C7
20.000,C7
20.200,F
20.200,F
20.400,F
20.400,F
20.600,F-
20.600,F-
20.800,F-
20.800,F-
21.000,E-7
21.000,E-7
21.200,C
21.200,C
21.400,C7
21.400,C7
21.600,C7
21.800,C7
22.000,C7
22.200,C7
22.400,F6
22.600,F6
22.800,F6
23.000,F6
23.200,F6
23.400,F6
23.600,F6
23.800,F6
24.000,F##m7b5
24.200,F##m7b5
24.400,F##m7b5
24.600,F##m7b5
24.800,B9b
25.000,B9b
25.200,B9b
25.400,B9b
25.600,E-7
25.800,E-7
26.000,E-7
26.200,D7
26.200,D7
26.400,D-7
26.400,D-7
26.600,D-7
26.600,D-7
26.800,Cj7
26.800,D-7
27.000,D##o
27.200,D##o
27.400,E-7
27.600,E-7
27.600,E-7
27.800,E-7
27.800,E-7
28.000,A7
28.000,A7
28.200,A7
28.200,A7
28.400,A7
28.400,A7
28.600,A7
28.600,A7
28.800,D-
28.800,D-
29.000,D-
29.000,D-
29.200,G7
29.200,G7
29.400,G7
29.400,G7
29.600,C
29.800,C
30.000,C
30.200,C
30.400,C
30.600,C
30.800,C
31.000,C
31.200,C
31.400,C
31.600,C
31.800,G7
32.000,G7
32.200,G7
32.400,NC
32.600,NC
32.800,NC
33.000,NC
33.200,NC
33.200,NC
33.400,NC
33.400,NC
33.600,NC
33.800,NC
34.000,Cj7
34.200,Cj7
34.400,D-7
34.600,D-7
34.800,D##o
35.000,D##o
35.200,E-7
35.400,E-7
35.600,E-7
35.800,E-7
36.000,E-7
36.200,E-7
36.400,E-7
36.400,A7
36.600,A7
36.600,A7
36.800,A7
36.800,A7
37.000,A7
37.000,A7
37.200,A7
37.200,D-7
37.400,D-7
37.400,D-7
37.600,D-7
37.800,D-7
38.000,G7
38.200,G7
38.400,G7
38.600,G7
38.800,G7
39.000,G7
39.200,G7
39.400,G7
39.600,C
39.800,C
40.000,C
40.000,C
40.200,C
40.400,C
40.600,G7
40.800,G7
41.000,G7
41.200,G7
41.400,G7
41.600,G7
41.800,G7
42.000,G7
42.200,Cj7
42.400,Cj7
42.600,D-7
42.800,D-7
43.000,D##o
43.200,D##o
43.400,E-7
43.600,E-7
43.800,E-7
44.000,E-7
44.200,E-7
44.400,E-7
44.600,E-7
44.800,E-7
45.000,E-7
45.200,E-7
45.400,A7
45.600,A7
45.600,A7
45.800,A7
45.800,A7
46.000,A7
46.000,A7
46.200,A7
46.400,A7
46.600,D-7
46.800,D-7
47.000,D-7
47.200,D-7
47.400,D-7
47.600,D-7
47.800,D-7
48.000,D-7
48.200,G7
48.400,G7
48.600,G7
48.800,G7
49.000,G7
49.200,G7
49.400,G7
49.600,G7
49.800,C
50.000,C
50.200,C
50.400,C
50.600,C
50.800,C
50.800,C7
51.000,C7
51.000,C7
51.200,C7
51.200,F
51.400,F
51.400,F
51.600,F
51.800,F
52.000,F-
52.200,F-
52.400,F-
52.600,F-
52.800,F-
53.000,F-
53.200,F-
53.400,F-
53.600,E-7
53.800,E-7
54.000,E-7
54.200,E-7
54.400,C
54.600,C
54.800,C
55.000,C
55.200,C7
55.400,C7
55.600,C7
55.800,C7
56.000,C7
56.200,C7
56.400,C7
56.600,C7
56.800,F6
57.000,F6
57.200,F6
57.200,F6
57.400,F6
57.400,F##m7b5
57.600,F##m7b5
57.800,F##m7b5
58.000,B9b
58.200,B9b
58.400,B9b
58.600,B9b
58.800,E-7
59.000,E-7
59.200,E-7
59.400,D7
59.400,D7
59.600,D-7
59.600,D-7
59.800,D-7
59.800,D-7
60.000,Cj7
60.200,Cj7
60.400,D-7
60.600,D-7
60.800,D##o
61.000,D##o
61.200,E-7
61.400,E-7
61.600,E-7
61.800,E-7
62.000,E-7
62.200,E-7
62.400,E-7
62.600,E-7
62.800,E-7
63.000,E-7
63.200,A7
63.400,A7
63.600,A7
63.800,A7
64.000,A7
64.200,A7
64.400,A7
64.600,A7
64.800,A7
65.000,A7
65.200,A7
65.400,A7
65.600,A7
65.800,A7
66.000,A7
66.200,A7
66.400,D-
66.600,D-
66.800,D-
67.000,D-
67.200,D-
67.400,D-
67.600,D-
67.600,G7
67.800,G7
68.000,G7
68.200,G7
68.400,G7
68.600,G7
68.800,G7
69.000,C
69.200,C
69.400,C
69.600,C
69.800,C
70.000,C
70.200,C
70.400,C
70.600,C
70.800,C
71.000,C
71.200,C
71.400,G7
71.600,G7
71.800,G7
72.000,G7
72.200,NC
72.400,NC
72.600,NC
72.800,NC
73.000,NC
73.200,NC
73.400,NC
73.600,NC
73.800,NC
74.000,NC
74.200,NC
74.200,NC
74.400,NC
74.600,NC
74.800,Cj7
75.000,Cj7
75.200,D-7
75.400,D-7
75.600,D##o
75.800,D##o
76.000,E-7
76.200,E-7
76.400,E-7
76.600,E-7
76.800,E-7
77.000,E-7
77.200,E-7
77.400,E-7
77.600,E-7
77.800,E-7
78.000,A7
78.200,A7
78.400,A7
78.600,A7
78.800,A7
79.000,A7
79.200,A7
79.200,A7
79.400,A7
79.400,A7
79.600,D-7
79.600,D-7
79.800,D-7
79.800,D-7
80.000,G7
80.000,G7
80.200,G7
80.200,G7
80.400,C
80.400,C
80.600,C
80.600,C
80.800,G7
81.000,G7
81.200,G7
81.400,G7
81.600,G7
81.800,G7
82.000,G7
82.200,G7
82.400,Cj7
82.600,Cj7
82.800,D-7
83.000,D-7
83.200,D##o
83.400,D##o
83.600,E-7
83.800,E-7
84.000,E-7
84.200,E-7
84.400,E-7
84.400,E-7
84.600,E-7
84.800,E-7
85.000,A7
85.200,A7
85.400,A7
85.600,A7
85.800,A7
86.000,A7
86.200,A7
86.400,A7
86.600,A7
86.800,A7
86.800,A7
87.000,A7
87.200,A7
87.400,D-7
87.600,D-7
87.800,D-7
88.000,D-7
88.200,D-7
88.400,D-7
88.600,G7
88.800,G7
89.000,G7
89.200,G7
89.400,G7
89.600,G7
89.800,G7
90.000,G7
90.200,C
90.400,C
90.600,C
90.800,C
91.000,C
91.200,C
91.400,C
91.600,C
91.800,C7
91.800,C7
92.000,C7
92.200,C7
92.400,C7
92.600,C7
92.800,F
93.000,F
93.200,F
93.400,F
93.600,F
93.800,F
94.000,F
94.200,F
94.400,F-
94.600,F-
94.800,F-
95.000,F-
95.200,F-
95.400,F-
95.600,F-
95.800,F-
96.000,E-7
96.200,E-7
96.400,E-7
96.600,E-7
96.800,C
97.000,C
97.200,C
97.200,C7
97.400,C7
97.400,C7
97.600,C7
97.800,C7
98.000,F6
98.200,F6
98.400,F6
98.600,F6
98.800,F6
99.000,F6
99.200,F6
99.400,F##m7b5
99.600,F##m7b5
99.800,F##m7b5
100.000,F##m7b5
100.200,B9b
100.400,B9b
100.600,B9b
100.800,B9b
101.000,E-7
101.200,E-7
101.400,E-7
101.600,E-7
101.800,D7
102.000,D7
102.200,D7
102.400,D7
102.600,D-7
102.800,D-7
103.000,D-7
103.200,D-7
103.400,D-7
103.600,D-7
103.800,D-7
104.000,D-7
104.200,Cj7
104.400,Cj7
104.600,D-7
104.800,D-7
105.000,D##o
105.200,D##o
105.400,E-7
105.600,E-7
105.800,E-7
106.000,E-7
106.200,E-7
106.400,E-7
106.600,E-7
106.800,E-7
107.000,E-7
107.200,E-7
107.400,A7
107.600,A7
107.800,A7
108.000,A7
108.200,A7
108.400,A7
108.600,A7
108.800,A7
109.000,A7
109.200,A7
109.400,A7
109.600,A7
109.800,A7
110.000,A7
110.000,D-
110.200,D-
110.200,D-
110.400,D-
110.400,G7
110.600,G7
110.600,G7
110.800,G7
110.800,C
111.000,C
111.000,C
111.200,C
111.200,C
111.400,C
111.600,C
111.800,G7
112.000,G7
112.200,G7
112.400,G7
112.600,NC
112.600,NC
112.800,NC
112.800,NC
113.000,NC
113.000,NC
113.200,NC
113.200,NC
