time,chord
19.820,D-
21.000,D-
22.160,G-7
24.510,Em7b5
25.710,A7
26.880,D-
28.050,D-
29.220,F-7
30.390,A#7
31.560,D#j7
32.720,D#j7
33.880,Em7b5
35.030,A7
36.180,D-
37.370,Em7b5
37.930,A7
38.500,D-
39.690,D-
40.820,G-7
43.120,Em7b5
44.290,A7
45.460,D-
46.620,D-
47.750,F-7
48.910,A#7
50.040,D#j7
51.200,D#j7
52.330,Em7b5
53.450,A7
54.570,D-
56.840,C-7
58.000,F7
59.170,Bbj7
60.340,Bbj7
61.440,Em7b5
62.570,A7
63.720,D-
64.870,D-
65.990,C-7
67.140,F7
68.280,Bbj7
69.410,Bbj7
70.560,Bm7b5
71.710,E7
72.850,A-7
73.980,A7
75.090,D-
76.270,D-
77.400,G-7
79.660,Em7b5
80.810,A7
81.930,D-
83.060,D-
84.190,F-7
85.330,A#7
86.440,D#j7
87.570,D#j7
88.700,Em7b5
89.830,A7
90.940,D-
92.120,A7
93.240,D-
94.410,D-
95.540,G-7
97.810,Em7b5
98.910,A7
100.010,D-
101.170,D-
102.260,F-7
103.400,A#7
104.530,D#j7
105.620,D#j7
106.760,Em7b5
107.900,A7
108.970,D-
110.070,Em7b5
110.640,A7
111.190,D-
112.320,D-
113.420,G-7
115.620,Em7b5
116.750,A7
117.790,D-
118.920,D-
120.040,F-7
121.130,A#7
122.240,D#j7
123.330,D#j7
124.410,Em7b5
125.510,A7
126.590,D-
128.790,C-7
129.910,F7
130.970,Bbj7
132.070,Bbj7
133.150,Em7b5
134.250,A7
135.340,D-7
137.530,C-7
138.620,F7
139.700,Bbj7
141.890,Bm7b5
142.960,E7
144.000,A-7
145.090,A7
146.170,D-
147.300,D-
148.370,G-7
150.550,Em7b5
151.630,A7
152.730,D-
153.810,D-
154.880,F-7
155.950,A#7
157.050,D#j7
158.140,D#j7
159.210,Em7b5
160.290,A7
161.380,D-
163.010,A7
163.540,D-
164.630,D-
165.690,G-7
167.810,N.C.
172.080,F-7
173.170,A#7
174.210,D#j7
175.290,D#j7
176.370,N.C.
180.570,D-
181.670,D-
182.730,G-7
183.800,C7
184.890,N.C.
189.050,F-7
190.150,A#7
191.220,D#j7
192.280,D#j7
193.340,Em7b5
194.430,N.C.
197.590,C-7
198.730,F7
199.820,Bbj7
200.910,Bbj7
201.970,Em7b5
203.080,A7
204.160,D-
205.260,D-
206.320,C-7
207.420,F7
208.490,Bbj7
209.600,Bbj7
210.640,Bm7b5
211.720,E7
212.820,A-7
213.930,A7
214.460,A7
215.030,D-
216.130,D-
217.250,G-7
219.450,Em7b5
220.580,A7
221.670,D-
222.790,D-
223.880,F-7
224.990,A#7
226.050,D#j7
227.150,D#j7
228.250,Em7b5
229.360,A7
230.480,D-
232.680,Em7b5
233.780,A7
234.880,D-
237.100,Em7b5
238.260,A7
