time,chord
15.000,G:maj7
16.100,G:maj6
17.160,G:maj7
18.250,G:maj6
19.330,G:min7
20.420,G:min6
21.470,G:min7
22.540,G:min6
23.580,A:hdim7
24.690,D:7
25.780,B:hdim7
26.840,E:7
27.950,A:min7
29.020,D:7
30.100,G:maj7
31.180,G:maj7
32.240,C:min7
33.340,F:7
34.440,Bb:maj7
35.510,G:min7
36.600,C:min7
37.710,F:7
38.810,Bb:maj7
39.860,Bb:maj7
40.940,A:min7
42.030,D:7
43.140,G:maj7
44.230,G:maj7
45.300,F#:min7
46.380,B:7
47.460,E:maj7
48.550,A:min7
49.080,D:7
49.610,G:maj7
50.730,G:maj6
51.820,G:maj7
52.900,G:maj6
54.000,G:min7
55.090,G:min6
56.170,G:min7
57.270,G:min6
58.350,A:hdim7
59.460,D:7
60.570,B:hdim7
61.660,E:7
62.740,A:min7
63.850,D:7
64.940,G:maj7
66.050,G:maj7
67.120,G:maj7
68.240,G:maj6
69.340,G:maj7
70.470,G:maj6
71.590,G:min7
72.730,G:min6
73.850,G:min7
74.970,G:min6
76.100,A:hdim7
77.190,D:7
78.290,B:hdim7
79.410,E:7
80.480,A:min7
81.600,D:7
82.730,G:maj7
83.850,G:maj7
84.960,C:min7
86.080,F:7
87.190,Bb:maj7
88.290,G:min7
89.390,C:min7
90.470,F:7
91.570,Bb:maj7
92.680,Bb:maj7
93.750,A:min7
94.860,D:7
95.960,G:maj7
97.040,G:maj7
98.120,F#:min7
99.210,B:7
100.280,E:maj7
101.390,A:min7
101.930,D:7
102.490,G:maj7
103.590,G:maj6
104.700,G:maj7
105.820,G:maj6
106.940,G:min7
108.060,G:min6
109.170,G:min7
110.270,G:min6
111.380,A:hdim7
112.490,D:7
113.630,B:hdim7
114.760,E:7
115.880,A:min7
117.000,D:7
118.100,G:maj7
119.200,G:maj7
120.280,G:maj7
121.400,G:maj6
122.510,G:maj7
123.580,G:maj6
124.680,G:min7
125.800,G:min6
126.890,G:min7
127.990,G:min6
129.090,A:hdim7
130.220,D:7
131.320,B:hdim7
132.420,E:7
133.510,A:min7
134.630,D:7
135.740,G:maj7
136.820,G:maj7
137.940,C:min7
139.030,F:7
140.160,Bb:maj7
141.280,G:min7
142.400,C:min7
143.510,F:7
144.620,Bb:maj7
145.690,Bb:maj7
146.800,A:min7
147.920,D:7
149.040,G:maj7
150.160,G:maj7
151.270,F#:min7
152.380,B:7
