time,chord
30.910,G:min7
31.800,G:min7
32.680,G:min7
33.560,G:min7
34.430,G:min7
35.295,G:min7
36.160,G:min7
37.020,G:min7
37.880,G:min7
38.770,G:min7
39.630,G:min7
40.510,G:min7
41.375,G:min7
42.245,G:min7
43.095,G:min7
43.935,G:min7
44.780,A:min7
45.655,A:min7
46.540,A:min7
47.435,A:min7
48.310,A:min7
49.190,A:min7
50.060,A:min7
50.930,A:min7
51.780,A:min7
52.660,A:min7
53.555,A:min7
54.440,A:min7
55.315,A:min7
56.190,A:min7
57.045,A:min7
57.870,A:min7
58.690,G:min7
59.555,G:min7
60.400,G:min7
61.260,G:min7
62.105,G:min7
62.965,G:min7
63.800,G:min7
64.650,G:min7
65.485,G:min7
66.315,G:min7
67.150,G:min7
67.985,G:min7
68.825,G:min7
69.680,G:min7
70.545,G:min7
71.405,G:min7
72.209,G:min7
73.040,G:min7
73.890,G:min7
74.760,G:min7
75.620,G:min7
76.460,G:min7
77.320,G:min7
78.120,G:min7
78.970,A:min7
79.810,A:min7
80.670,A:min7
81.550,A:min7
82.390,A:min7
83.210,A:min7
84.050,A:min7
84.880,A:min7
85.710,A:min7
86.520,A:min7
87.360,A:min7
88.180,A:min7
88.990,A:min7
89.810,A:min7
90.620,A:min7
91.460,A:min7
92.270,G:min7
93.110,G:min7
93.940,G:min7
94.790,G:min7
95.620,G:min7
96.480,G:min7
97.330,G:min7
98.210,G:min7
99.050,G:min7
99.920,G:min7
100.780,G:min7
101.640,G:min7
102.470,G:min7
103.310,G:min7
104.130,G:min7
104.940,G:min7
105.770,G:min7
106.590,G:min7
107.390,G:min7
108.220,G:min7
109.040,G:min7
109.840,G:min7
110.670,G:min7
111.500,G:min7
112.300,A:min7
113.140,A:min7
113.950,A:min7
114.790,A:min7
115.600,A:min7
116.440,A:min7
117.250,A:min7
118.060,A:min7
118.870,A:min7
119.710,A:min7
120.510,A:min7
121.320,A:min7
122.130,A:min7
122.940,A:min7
123.750,A:min7
124.540,A:min7
125.360,G:min7
126.210,G:min7
127.020,G:min7
127.860,G:min7
128.680,G:min7
129.510,G:min7
130.340,G:min7
131.170,G:min7
145.340,A:min7
146.185,A:min7
147.030,A:min7
147.880,A:min7
148.730,A:min7
149.580,A:min7
150.405,A:min7
151.225,A:min7
152.040,A:min7
152.880,A:min7
153.715,A:min7
154.545,A:min7
155.385,A:min7
156.235,A:min7
157.070,A:min7
157.890,A:min7
158.705,G:min7
159.530,G:min7
160.340,G:min7
161.160,G:min7
161.975,G:min7
162.780,G:min7
163.585,G:min7
164.400,G:min7
165.230,G:min7
166.105,G:min7
166.955,G:min7
167.810,G:min7
168.665,G:min7
169.510,G:min7
170.340,G:min7
171.160,G:min7
171.955,G:min7
172.790,G:min7
173.625,G:min7
174.465,G:min7
175.305,G:min7
176.140,G:min7
176.965,G:min7
177.795,G:min7
178.625,A:min7
179.475,A:min7
180.310,A:min7
181.135,A:min7
181.960,A:min7
182.795,A:min7
183.615,A:min7
184.435,A:min7
185.265,A:min7
186.100,A:min7
186.935,A:min7
187.765,A:min7
188.585,A:min7
189.415,A:min7
190.230,A:min7
191.030,A:min7
191.850,G:min7
192.705,G:min7
193.550,G:min7
194.395,G:min7
195.215,G:min7
196.035,G:min7
196.855,G:min7
197.645,G:min7
198.450,G:min7
199.285,G:min7
200.130,G:min7
200.980,G:min7
201.810,G:min7
202.645,G:min7
203.455,G:min7
204.265,G:min7
205.075,G:min7
205.925,G:min7
206.780,G:min7
207.640,G:min7
208.495,G:min7
209.350,G:min7
210.205,G:min7
211.045,G:min7
211.885,G:min7
212.730,G:min7
213.580,G:min7
214.425,G:min7
215.255,G:min7
216.090,G:min7
216.945,G:min7
217.795,G:min7
