time,chord
133.800,A#j7
134.000,A#j7
134.000,G7
134.200,G7
134.400,G7
134.600,C-7
134.800,C-7
135.000,C-7
135.200,C-7
135.400,F7
135.600,F7
135.800,F7
136.000,F7
136.200,A#j7
136.200,A#j7
136.400,G7
136.400,G7
136.600,C-7
136.600,C-7
136.800,F7
136.800,F7
137.000,F-7
137.200,F-7
137.400,F-7
137.600,F-7
137.800,A#7
138.000,A#7
138.200,A#7
138.400,A#7
138.600,D#bj7
138.800,D#bj7
139.000,D#bj7
139.200,D#bj7
139.400,D#b-6
139.600,D#b-6
139.800,D#b-6
140.000,D#b-6
140.200,A#j7
140.400,A#j7
140.600,A#j7
140.800,A#j7
141.000,G7
141.200,G7
141.400,G7
141.600,G7
141.800,C-7
142.000,C-7
142.200,C-7
142.400,C-7
142.600,F7
142.800,F7
143.000,F7
143.200,F7
143.400,A#j7
143.600,A#j7
143.800,A#j7
144.000,A#j7
144.200,G7
144.400,G7
144.600,G7
144.800,G7
145.000,C-7
145.200,C-7
145.400,C-7
145.600,C-7
145.800,F7
146.000,F7
146.200,F7
146.400,F7
146.600,A#j7
146.800,A#j7
147.000,A#j7
147.200,A#j7
147.400,G7
147.600,G7
147.800,G7
147.800,C-7
148.000,C-7
148.000,F7
148.200,F7
148.400,F7
148.600,A#j7
148.800,A#j7
149.000,A#j7
149.200,A#j7
149.400,A#7
149.600,A#7
149.800,A#7
150.000,D#bj7
150.200,D#bj7
150.200,D#b-6
150.400,D#b-6
150.400,A#j7
150.600,A#j7
150.800,A#j7
151.000,F7
151.200,F7
151.400,F7
151.600,F7
151.800,B7
152.000,B7
152.200,B7
152.400,B7
152.600,B7
152.800,B7
153.000,B7
153.200,B7
153.400,D7
153.600,D7
153.800,D7
154.000,D7
154.200,D7
154.400,D7
154.600,D7
154.800,D7
155.000,D7
155.200,D7
155.400,D7
155.600,D7
155.800,D7
156.000,D7
156.200,D7
156.400,D7
156.600,G7
156.800,G7
157.000,G7
157.200,G7
157.400,G7
157.600,G7
157.800,G7
158.000,G7
158.200,G7
158.400,G7
158.600,G7
158.600,G7
158.800,G7
159.000,G7
159.200,C7
159.400,C7
159.600,C7
159.800,C7
160.000,C7
160.200,C7
160.400,C7
160.600,C7
160.800,C7
161.000,C7
161.200,C7
161.400,C7
161.600,C7
161.800,C7
162.000,C7
162.200,C7
162.400,F7
162.600,F7
162.600,F7
162.800,F7
162.800,F7
163.000,F7
163.200,F7
163.400,F7
163.600,F7
163.800,F7
164.000,F7
164.200,A#j7
164.400,A#j7
164.600,A#j7
164.800,A#j7
165.000,G7
165.200,G7
165.400,G7
165.600,G7
165.800,C-7
166.000,C-7
166.200,C-7
166.400,C-7
166.600,F7
166.800,F7
167.000,F7
167.200,F7
167.400,A#j7
167.600,A#j7
167.600,G7
167.800,G7
167.800,C-7
168.000,C-7
168.000,F7
168.200,F7
168.200,A#j7
168.400,A#j7
168.400,A#7
168.600,A#7
168.600,D#bj7
168.800,D#bj7
168.800,D#b-6
169.000,D#b-6
169.000,A#j7
169.200,A#j7
169.400,A#j7
169.600,F7
169.800,F7
170.000,F7
170.200,F7
170.400,A#j7
170.600,A#j7
170.800,A#j7
171.000,A#j7
171.200,A#j7
171.400,A#j7
171.600,A#j7
171.800,A#j7
172.000,A#j7
172.200,A#j7
172.400,A#j7
172.600,A#j7
172.800,G7
173.000,G7
173.000,C-7
173.200,C-7
173.200,F7
173.400,F7
173.600,F7
173.800,A#j7
174.000,A#j7
174.200,A#j7
174.400,A#j7
174.600,G7
174.800,G7
175.000,G7
175.200,G7
175.400,C-7
175.600,C-7
175.800,C-7
176.000,C-7
176.200,F7
176.400,F7
176.600,F7
176.800,F7
177.000,F-7
177.200,F-7
177.400,F-7
177.600,F-7
177.800,A#7
178.000,A#7
178.200,A#7
178.400,A#7
178.600,D#bj7
178.800,D#bj7
179.000,D#bj7
179.200,D#bj7
179.400,D#b-6
179.600,D#b-6
179.800,D#b-6
180.000,D#b-6
180.200,A#j7
180.400,A#j7
180.600,A#j7
180.600,G7
180.800,G7
181.000,G7
181.200,C-7
181.400,C-7
181.600,C-7
181.800,C-7
182.000,F7
182.200,F7
182.400,F7
182.600,A#j7
182.800,A#j7
182.800,G7
183.000,G7
183.000,C-7
183.200,C-7
183.400,C-7
183.600,F7
183.800,F7
184.000,F7
184.200,F7
184.400,A#j7
184.600,A#j7
184.800,A#j7
185.000,A#j7
185.200,G7
185.400,G7
185.600,G7
185.800,G7
186.000,C-7
186.200,C-7
186.400,C-7
186.600,C-7
186.800,F7
187.000,F7
187.200,F7
187.400,F7
187.600,A#j7
187.800,A#j7
188.000,A#j7
188.200,A#7
188.400,A#7
188.600,A#7
188.800,A#7
189.000,D#bj7
189.200,D#bj7
189.400,D#bj7
189.600,D#bj7
189.800,D#b-6
190.000,D#b-6
190.200,D#b-6
190.400,D#b-6
190.600,A#j7
190.800,A#j7
191.000,A#j7
191.200,A#j7
191.400,F7
191.600,F7
191.800,F7
191.800,B7
192.000,B7
192.000,B7
192.200,B7
192.400,B7
192.600,D7
192.800,D7
193.000,D7
193.200,D7
193.400,D7
193.600,D7
193.800,D7
194.000,D7
194.200,D7
194.400,D7
194.600,D7
194.800,D7
195.000,D7
195.200,D7
195.400,D7
195.600,D7
195.800,G7
196.000,G7
196.200,G7
196.400,G7
196.600,G7
196.800,G7
197.000,G7
197.200,G7
197.400,G7
197.600,G7
197.800,G7
198.000,G7
198.200,G7
198.400,G7
198.600,G7
198.800,G7
199.000,C7
199.200,C7
199.400,C7
199.400,C7
199.600,C7
199.600,C7
199.800,C7
199.800,C7
200.000,F7
200.000,F7
200.200,F7
200.200,F7
200.400,F7
200.400,F7
200.600,F7
200.600,F7
200.800,A#j7
200.800,A#j7
201.000,G7
201.000,G7
201.200,C-7
201.200,C-7
201.400,F7
201.400,F7
201.600,A#j7
201.600,A#j7
201.800,G7
201.800,G7
202.000,C-7
202.000,C-7
202.200,F7
202.200,F7
202.400,A#j7
202.400,A#j7
202.600,A#7
202.600,A#7
202.800,D#bj7
202.800,D#bj7
203.000,D#b-6
203.000,D#b-6
203.200,A#j7
203.200,A#j7
203.400,F7
203.400,F7
203.600,A#j7
203.600,A#j7
203.800,A#j7
203.800,A#j7
204.000,A#j7
204.000,A#j7
204.200,G7
204.200,G7
204.400,C-7
204.400,C-7
204.600,F7
204.600,F7
204.800,A#j7
204.800,A#j7
205.000,G7
205.000,G7
205.200,C-7
205.400,C-7
205.400,F7
205.600,F7
205.600,F-7
205.800,F-7
206.000,F-7
206.200,A#7
206.400,A#7
206.600,A#7
206.800,A#7
207.000,D#bj7
207.200,D#bj7
207.400,D#bj7
207.600,D#bj7
207.800,D#b-6
208.000,D#b-6
208.200,D#b-6
208.400,D#b-6
208.600,A#j7
208.800,A#j7
209.000,A#j7
209.200,A#j7
209.400,G7
209.600,G7
209.600,C-7
209.800,C-7
210.000,C-7
210.200,F7
210.400,F7
210.600,F7
210.800,F7
211.000,A#j7
211.200,A#j7
211.400,A#j7
211.600,A#j7
211.800,G7
212.000,G7
212.200,G7
212.400,C-7
212.600,C-7
212.800,C-7
213.000,F7
213.200,F7
213.400,F7
213.600,F7
213.800,A#j7
214.000,A#j7
214.200,A#j7
214.400,A#j7
214.600,G7
214.800,G7
