time,chord
155.800,F6
156.000,F6
156.200,F6
156.400,F6
156.600,F6
156.800,F6
157.000,F6
157.200,F6
157.800,C#b7
158.000,C#b7
158.600,C#b7
158.800,C#b7
159.400,C#b7
159.600,C#b7
160.200,D7
160.400,D7
161.000,D7
161.200,D7
161.800,D7
162.000,D7
162.400,D7
163.000,G-7
163.200,G-7
163.800,G-7
164.000,G-7
164.200,G-7
164.800,C7
165.000,C7
165.600,C7
165.800,C7
166.400,C7
167.000,C7
167.200,C7
167.800,F6
168.000,F6
168.600,F6
168.800,F6
169.400,F6
169.600,F6
170.200,F6
170.400,F6
171.000,G-7
171.200,G-7
171.800,G-7
172.000,G-7
172.600,C7
172.800,C7
173.400,C7
173.600,C7
174.200,F6
174.400,F6
175.000,F6
175.200,F6
175.800,F6
176.000,F6
176.600,F6
176.800,F6
177.400,F6
177.600,F6
177.800,F6
178.000,F6
178.200,C#b7
178.400,C#b7
178.600,C#b7
178.800,C#b7
179.000,D7
179.200,D7
179.400,D7
179.600,D7
179.800,G-7
180.000,G-7
180.600,G-7
180.800,G-7
181.400,G-7
181.600,G-7
182.200,G-7
182.400,G-7
183.000,C7
183.600,C7
183.800,C7
184.400,C7
184.600,C7
185.200,C7
185.400,C7
186.000,F6
186.200,F6
186.800,F6
187.000,F6
187.600,F6
187.800,F6
188.400,F6
188.600,F6
189.200,F6
189.400,F6
190.000,F6
190.200,F6
190.800,F6
191.000,F6
191.600,F6
191.800,F6
192.400,D#b7
192.600,D#b7
193.200,D#b7
193.400,D#b7
194.000,D#b7
194.200,D#b7
194.800,D#b7
195.000,D#b7
195.600,D#b7
195.800,D#b7
196.400,D#b7
196.600,D#b7
197.200,D#b7
197.400,D#b7
198.000,D#b7
198.200,D#b7
198.800,F6
199.000,F6
199.200,F6
199.400,F6
199.600,F6
199.800,F6
200.000,F6
200.200,F6
200.800,F6
201.400,C#b7
201.600,C#b7
202.200,C#b7
202.400,C#b7
203.000,C#b7
203.200,C#b7
203.800,C#b7
204.000,C#b7
204.600,C#b7
204.800,C#b7
205.400,C#b7
205.600,C#b7
206.200,C#b7
206.400,C#b7
207.000,C#b7
207.200,C#b7
207.800,F#b7
208.000,F#b7
208.600,F#b7
208.800,F#b7
209.400,F#b7
209.600,F#b7
210.200,F#b7
210.400,F#b7
211.000,G-7
211.200,G-7
211.800,G-7
212.000,G-7
212.600,C7
212.800,C7
213.000,F6
213.200,F6
213.400,F6
213.600,F6
213.800,F6
214.000,F6
214.200,F6
214.400,F6
214.600,C#b7
214.800,C#b7
215.000,C#b7
215.200,C#b7
215.400,D7
215.600,D7
215.800,D7
216.000,D7
216.200,G-7
216.400,G-7
216.600,G-7
216.800,G-7
217.000,C7
217.200,C7
217.400,C7
217.600,C7
217.800,F6
218.000,F6
218.200,F6
218.400,F6
218.600,F6
219.200,F6
219.400,F6
220.000,F6
220.200,F6
220.600,F6
220.800,F6
221.400,F6
221.600,F6
221.800,F6
222.000,F6
222.200,F6
222.400,F6
222.600,F6
222.800,F6
223.400,F6
223.600,F6
224.200,C#b7
224.400,C#b7
225.000,C#b7
225.200,C#b7
225.800,C#b7
226.000,C#b7
226.600,C#b7
226.800,C#b7
227.400,D7
227.600,D7
228.200,D7
228.400,D7
229.000,D7
229.200,D7
229.400,D7
229.600,G-7
229.800,G-7
