time,chord
191.2,G:hdim7
191.6,G:hdim7
192.0,G:hdim7
192.4,G:hdim7
193.8,C:aug(b7)
194.0,C:aug(b7)
195.4,C:aug(b7)
195.6,C:aug(b7)
197.0,C:aug(b7)
197.2,C:aug(b7)
198.6,C:aug(b7)
198.8,C:aug(b7)
200.2,F:hdim7
200.4,F:hdim7
201.8,F:hdim7
202.0,F:hdim7
202.6,F:hdim7
203.0,F:hdim7
204.0,A#:aug(b7)
204.4,A#:aug(b7)
204.6,A#:aug(b7)
206.0,A#:aug(b7)
206.2,A#:aug(b7)
207.6,A#:aug(b7)
207.8,A#:aug(b7)
209.2,D:hdim7
209.4,D:hdim7
210.8,D:hdim7
211.0,D:hdim7
212.4,D:hdim7
212.6,D:hdim7
214.0,D:hdim7
214.2,D:hdim7
215.6,G:aug(b7)
216.0,G:aug(b7)
216.4,G:aug(b7)
216.8,G:aug(b7)
217.2,C:maj7
217.6,C:maj7
218.0,C:maj7
218.4,C:maj7
218.8,C:maj7
219.2,C:maj7
219.4,C:maj7
220.8,C:maj7
221.0,C:maj7
222.4,C:maj7
222.6,C:maj7
224.0,G:hdim7
224.2,G:hdim7
225.0,G:hdim7
225.4,G:hdim7
225.8,G:hdim7
226.2,C:aug(b7)
226.6,C:aug(b7)
227.0,C:aug(b7)
227.4,C:aug(b7)
227.8,F:hdim7
228.0,F:hdim7
229.4,F:hdim7
229.6,F:hdim7
230.8,F:hdim7
231.2,F:hdim7
232.0,A#:aug(b7)
232.2,A#:aug(b7)
233.4,A#:aug(b7)
233.8,A#:aug(b7)
234.2,A#:aug(b7)
234.6,D:hdim7
234.8,D:hdim7
235.4,D:hdim7
235.8,D:hdim7
236.2,D:hdim7
236.6,G:aug(b7)
237.0,G:aug(b7)
237.4,G:aug(b7)
237.8,G:aug(b7)
238.6,C:maj7
238.8,C:maj7
240.2,C:maj7
240.4,C:maj7
241.8,C:maj7
242.0,C:maj7
242.6,C:maj7
243.0,C:maj7
243.2,C:maj7
244.6,C:maj7
244.8,C:maj7
246.2,C:maj7
246.4,C:maj7
247.8,C:maj7
248.0,C:maj7
249.4,C:min7
249.6,C:min7
251.0,C:min7
251.2,C:min7
252.6,C:min7
252.8,C:min7
254.2,C:min7
254.4,C:min7
255.8,F:7
256.0,F:7
257.4,F:7
257.6,F:7
258.2,F:7
258.6,F:7
259.0,A#:maj7
259.4,A#:maj7
259.8,A#:maj7
260.2,A#:maj7
260.6,A#:maj7
260.8,A#:maj7
262.2,A#:maj7
262.4,A#:maj7
263.8,A#:maj7
264.0,A#:maj7
265.4,A#:maj7
265.8,Gb:7
266.2,Gb:7
267.6,Gb:7
268.0,Gb:7
268.4,Gb:7
268.8,Gb:7
269.2,Gb:7
269.6,Gb:7
270.0,G:7
270.4,G:7
270.8,G:7
271.2,G:7
271.6,G:7
272.0,G:7
272.4,G:7
272.8,G:7
273.2,G:hdim7
273.6,G:hdim7
274.0,G:hdim7
274.4,G:hdim7
274.8,C:aug(b7)
275.2,C:aug(b7)
275.6,C:aug(b7)
276.6,C:aug(b7)
276.8,C:aug(b7)
278.2,F:hdim7
278.6,F:hdim7
279.0,F:hdim7
279.4,F:hdim7
280.2,A#:aug(b7)
280.4,A#:aug(b7)
281.8,A#:aug(b7)
282.0,A#:aug(b7)
283.4,A#:aug(b7)
283.6,A#:aug(b7)
285.0,A#:aug(b7)
285.8,D:hdim7
286.0,D:hdim7
287.4,D:hdim7
287.6,D:hdim7
288.0,D:hdim7
288.4,D:hdim7
289.8,G:aug(b7)
290.2,G:aug(b7)
290.6,G:aug(b7)
291.0,G:aug(b7)
291.4,C:maj7
291.8,C:maj7
292.8,C:maj7
293.0,C:maj7
294.4,C:maj7
294.8,C:maj7
295.2,C:maj7
295.6,C:maj7
296.0,C:maj7
297.2,G:hdim7
297.6,G:hdim7
298.0,G:hdim7
298.2,G:hdim7
299.0,G:hdim7
299.4,C:aug(b7)
299.8,C:aug(b7)
300.0,C:aug(b7)
301.4,C:aug(b7)
301.6,C:aug(b7)
303.0,C:aug(b7)
303.2,C:aug(b7)
304.4,F:hdim7
304.8,F:hdim7
305.2,F:hdim7
305.6,F:hdim7
305.8,F:hdim7
307.2,A#:aug(b7)
307.4,A#:aug(b7)
308.8,A#:aug(b7)
309.0,A#:aug(b7)
310.4,A#:aug(b7)
310.6,A#:aug(b7)
312.0,A#:aug(b7)
312.2,A#:aug(b7)
313.6,D:hdim7
313.8,D:hdim7
315.2,D:hdim7
315.4,D:hdim7
316.8,D:hdim7
317.0,D:hdim7
318.4,D:hdim7
318.6,D:hdim7
320.0,G:aug(b7)
320.4,G:aug(b7)
320.8,G:aug(b7)
321.2,G:aug(b7)
322.2,C:maj7
322.4,C:maj7
323.8,C:maj7
324.0,C:maj7
325.4,C:maj7
325.6,C:maj7
327.0,C:maj7
327.2,C:maj7
328.6,C:maj7
328.8,C:maj7
330.2,C:maj7
330.4,C:maj7
331.2,C:maj7
331.6,C:maj7
332.6,G:hdim7
332.8,G:hdim7
334.2,G:hdim7
334.4,G:hdim7
335.6,G:hdim7
335.8,G:hdim7
337.2,G:hdim7
337.4,G:hdim7
338.8,C:aug(b7)
339.0,C:aug(b7)
340.4,C:aug(b7)
340.6,C:aug(b7)
342.0,C:aug(b7)
342.2,C:aug(b7)
343.6,C:aug(b7)
343.8,C:aug(b7)
345.2,F:hdim7
345.4,F:hdim7
346.8,F:hdim7
347.0,F:hdim7
348.4,F:hdim7
348.6,F:hdim7
350.0,F:hdim7
350.2,F:hdim7
351.6,A#:aug(b7)
351.8,A#:aug(b7)
353.2,A#:aug(b7)
353.4,A#:aug(b7)
354.8,A#:aug(b7)
355.0,A#:aug(b7)
356.4,A#:aug(b7)
356.6,A#:aug(b7)
358.0,D:hdim7
358.2,D:hdim7
359.6,D:hdim7
359.8,D:hdim7
360.6,D:hdim7
361.0,D:hdim7
361.4,G:aug(b7)
361.6,G:aug(b7)
362.6,G:aug(b7)
363.0,G:aug(b7)
363.4,G:aug(b7)
363.8,C:maj7
364.2,C:maj7
365.6,C:maj7
366.0,C:maj7
366.4,C:maj7
366.8,C:maj7
367.2,C:maj7
367.4,C:maj7
368.8,C:maj7
369.0,C:maj7
370.4,C:min7
371.0,C:min7
371.4,C:min7
371.6,C:min7
373.0,C:min7
373.2,C:min7
374.4,F:7
374.6,F:7
376.0,F:7
376.2,F:7
377.6,F:7
377.8,F:7
378.4,F:7
378.6,F:7
380.0,A#:maj7
380.2,A#:maj7
381.6,A#:maj7
381.8,A#:maj7
383.2,A#:maj7
383.4,A#:maj7
384.8,A#:maj7
385.4,A#:maj7
385.8,A#:maj7
386.2,A#:maj7
387.2,A#:maj7
387.4,A#:maj7
388.8,Gb:7
389.0,Gb:7
390.4,Gb:7
390.6,Gb:7
392.0,Gb:7
392.2,Gb:7
393.6,Gb:7
393.8,Gb:7
394.6,Gb:7
394.8,Gb:7
396.2,Gb:7
396.4,Gb:7
397.8,Gb:7
398.0,Gb:7
399.4,Gb:7
399.6,Gb:7
401.0,G:7
401.2,G:7
402.6,G:7
402.8,G:7
404.2,G:7
404.4,G:7
405.8,G:7
406.0,G:7
407.4,G:7
407.6,G:7
409.0,G:7
409.2,G:7
410.6,G:7
410.8,G:7
412.2,G:7
412.4,G:7
413.8,G:hdim7
414.0,G:hdim7
415.4,G:hdim7
415.6,G:hdim7
417.0,G:hdim7
417.2,G:hdim7
418.6,G:hdim7
418.8,G:hdim7
420.2,C:aug(b7)
420.4,C:aug(b7)
421.8,C:aug(b7)
422.0,C:aug(b7)
423.2,C:aug(b7)
423.4,C:aug(b7)
424.8,C:aug(b7)
425.0,C:aug(b7)
426.4,F:hdim7
426.6,F:hdim7
428.0,F:hdim7
428.2,F:hdim7
429.2,F:hdim7
429.6,F:hdim7
430.4,A#:aug(b7)
430.6,A#:aug(b7)
432.0,A#:aug(b7)
432.2,A#:aug(b7)
433.6,A#:aug(b7)
433.8,A#:aug(b7)
435.2,A#:aug(b7)
435.4,A#:aug(b7)
436.8,D:hdim7
437.0,D:hdim7
438.4,D:hdim7
438.8,D:hdim7
439.0,D:hdim7
440.0,D:hdim7
440.4,G:aug(b7)
440.8,G:aug(b7)
441.2,G:aug(b7)
441.6,G:aug(b7)
442.4,C:maj7
442.6,C:maj7
444.0,C:maj7
444.2,C:maj7
445.6,C:maj7
446.0,C:maj7
446.4,C:maj7
446.8,C:maj7
447.2,C:maj7
447.6,C:maj7
448.0,G:hdim7
448.4,G:hdim7
448.8,G:hdim7
449.2,G:hdim7
449.6,C:aug(b7)
450.0,C:aug(b7)
450.4,C:aug(b7)
450.8,C:aug(b7)
451.2,F:hdim7
452.2,F:hdim7
452.4,F:hdim7
453.8,F:hdim7
454.0,F:hdim7
455.4,F:hdim7
455.6,F:hdim7
457.0,A#:aug(b7)
457.2,A#:aug(b7)
458.2,A#:aug(b7)
458.6,A#:aug(b7)
459.0,A#:aug(b7)
459.4,D:hdim7
459.8,D:hdim7
460.2,D:hdim7
460.6,D:hdim7
461.4,G:aug(b7)
461.6,G:aug(b7)
462.6,G:aug(b7)
463.0,G:aug(b7)
463.4,G:aug(b7)
463.8,C:maj7
464.2,C:maj7
464.6,C:maj7
465.0,C:maj7
465.4,C:maj7
465.8,C:maj7
466.2,C:maj7
467.6,C:maj7
467.8,C:maj7
469.2,G:hdim7
469.4,G:hdim7
470.8,G:hdim7
471.0,G:hdim7
472.4,G:hdim7
472.6,G:hdim7
474.0,G:hdim7
474.2,G:hdim7
475.6,C:aug(b7)
475.8,C:aug(b7)
477.2,C:aug(b7)
477.4,C:aug(b7)
478.8,C:aug(b7)
479.0,C:aug(b7)
480.4,C:aug(b7)
480.6,C:aug(b7)
482.0,F:hdim7
482.2,F:hdim7
483.2,F:hdim7
483.6,F:hdim7
484.0,F:hdim7
484.4,A#:aug(b7)
484.8,A#:aug(b7)
485.2,A#:aug(b7)
485.6,A#:aug(b7)
486.0,D:hdim7
486.4,D:hdim7
486.8,D:hdim7
487.6,D:hdim7
487.8,D:hdim7
489.2,G:aug(b7)
489.6,G:aug(b7)
490.0,G:aug(b7)
490.4,G:aug(b7)
490.8,C:maj7
491.2,C:maj7
491.6,C:maj7
492.0,C:maj7
492.4,C:maj7
492.8,C:maj7
493.2,C:maj7
493.6,C:maj7
494.0,C:min7
494.4,C:min7
494.8,C:min7
495.8,C:min7
496.0,C:min7
497.4,F:7
497.6,F:7
498.8,F:7
499.2,F:7
499.6,F:7
500.6,A#:maj7
501.0,A#:maj7
501.4,A#:maj7
501.8,A#:maj7
502.2,A#:maj7
502.6,A#:maj7
503.0,A#:maj7
503.4,A#:maj7
503.8,Gb:7
504.0,Gb:7
505.4,Gb:7
505.6,Gb:7
507.0,Gb:7
507.2,Gb:7
508.6,Gb:7
508.8,Gb:7
510.2,Gb:7
510.4,Gb:7
511.8,Gb:7
512.0,Gb:7
513.4,Gb:7
513.6,Gb:7
515.0,Gb:7
515.2,Gb:7
516.6,G:7
517.0,G:7
517.4,G:7
517.8,G:7
518.2,G:7
518.6,G:7
519.0,G:7
519.4,G:7
520.2,G:hdim7
520.4,G:hdim7
521.8,G:hdim7
522.0,G:hdim7
523.4,G:hdim7
523.6,G:hdim7
525.0,G:hdim7
525.2,G:hdim7
526.6,C:aug(b7)
526.8,C:aug(b7)
528.2,C:aug(b7)
528.4,C:aug(b7)
529.8,C:aug(b7)
530.0,C:aug(b7)
531.4,C:aug(b7)
531.6,C:aug(b7)
533.0,F:hdim7
