time,chord
7.520,A-7
9.150,D7
10.800,G6
12.440,B-7
13.250,E7
14.060,A-7
15.690,D7
17.300,G6
18.970,B-7
19.790,E7
20.580,A-7
22.200,D7
23.790,G6
25.410,B-7
26.210,E7
27.020,A-7
28.630,D7
30.220,G6
31.860,G6
33.460,B7
35.080,B7
36.680,E79
38.280,E+7
39.870,A7
41.460,A7
43.020,D7
44.620,D7
46.210,A-7
47.840,D7
49.440,G6
51.050,B-7
51.850,E7
52.680,A-7
54.280,D7
55.870,G6
59.080,D-7
60.690,G7
62.300,Cj7
65.490,D-7
67.090,G7
68.680,Cj7
71.830,D-7
73.410,G7
75.020,Cj7
78.170,D-7
79.750,G7
81.330,Cj7
84.460,E7
87.660,A7
90.840,D7
93.970,G7
97.160,D-7
98.740,G7
100.330,Cj7
103.420,D-7
104.990,G7
106.540,Cj7
109.690,C-7
111.300,F7
112.850,Bb6
115.980,C-7
117.550,F7
119.110,Bb6
122.220,C-7
123.820,F7
125.390,Bb6
126.980,D-7
127.770,G7
128.540,C-7
130.120,F7
131.660,Bb6
133.250,Bb6
134.870,NC
141.380,Bb
