time,chord
26.800,Gm7b5
27.000,Gm7b5
27.200,Gm7b5
27.400,Gm7b5
27.600,C+7
27.800,C+7
28.000,C+7
28.200,C+7
28.800,Fm7b5
29.000,Fm7b5
29.600,Fm7b5
29.800,Fm7b5
30.200,Fm7b5
30.400,Fm7b5
31.000,A#+7
31.200,A#+7
31.800,A#+7
32.000,A#+7
32.600,A#+7
32.800,A#+7
33.400,A#+7
33.600,A#+7
34.200,Dm7b5
34.400,Dm7b5
35.000,Dm7b5
35.200,Dm7b5
35.800,Dm7b5
36.000,Dm7b5
36.600,G+7
36.800,G+7
37.000,G+7
37.200,G+7
37.800,Cj7
38.000,Cj7
38.400,Cj7
38.600,Cj7
38.800,Cj7
39.000,Cj7
39.200,Cj7
39.400,Cj7
39.600,Cj7
40.200,Gm7b5
40.400,Gm7b5
41.000,Gm7b5
41.200,Gm7b5
41.800,Gm7b5
42.000,Gm7b5
42.600,Gm7b5
42.800,Gm7b5
43.400,C+7
43.600,C+7
44.200,C+7
44.400,C+7
44.800,C+7
45.400,C+7
45.600,C+7
46.200,Fm7b5
46.400,Fm7b5
47.000,Fm7b5
47.200,Fm7b5
47.800,Fm7b5
48.000,Fm7b5
48.200,A#+7
48.400,A#+7
48.600,A#+7
48.800,A#+7
49.000,Dm7b5
49.200,Dm7b5
49.400,Dm7b5
49.600,Dm7b5
50.200,G+7
50.400,G+7
51.000,G+7
51.400,G+7
51.600,G+7
51.800,Cj7
52.000,Cj7
52.200,Cj7
52.400,Cj7
52.600,Cj7
53.200,Cj7
53.400,Cj7
54.000,Cj7
54.200,Cj7
54.800,Cj7
55.000,Cj7
55.600,Cj7
55.800,Cj7
56.400,C-7
56.600,C-7
57.200,C-7
57.400,C-7
58.000,C-7
58.200,C-7
58.800,C-7
59.200,F7
59.400,F7
59.600,F7
59.800,F7
60.000,F7
60.600,A#j7
60.800,A#j7
61.400,A#j7
61.600,A#j7
62.200,A#j7
62.400,A#j7
63.000,A#j7
63.200,A#j7
63.800,A#j7
64.000,A#j7
64.600,A#j7
64.800,A#j7
65.400,A#j7
65.600,A#j7
66.200,A#j7
66.400,A#j7
67.000,Gb7
67.200,Gb7
67.800,Gb7
68.000,Gb7
68.600,Gb7
68.800,Gb7
69.400,Gb7
69.600,Gb7
70.200,Gb7
70.400,Gb7
71.000,Gb7
71.200,Gb7
71.800,Gb7
72.000,Gb7
72.600,Gb7
72.800,Gb7
73.400,G7
73.600,G7
74.200,G7
74.400,G7
75.000,G7
75.200,G7
75.800,G7
76.000,G7
76.600,G7
76.800,G7
77.000,G7
77.200,G7
77.400,Gm7b5
77.600,Gm7b5
77.800,Gm7b5
78.000,Gm7b5
78.200,C+7
78.400,C+7
78.600,C+7
78.800,C+7
79.000,Fm7b5
79.200,Fm7b5
79.400,Fm7b5
79.600,Fm7b5
80.200,A#+7
80.400,A#+7
81.000,A#+7
81.200,A#+7
81.800,A#+7
82.000,A#+7
82.600,A#+7
82.800,Dm7b5
83.000,Dm7b5
83.200,Dm7b5
83.400,Dm7b5
84.000,G+7
84.200,G+7
84.800,G+7
85.000,G+7
85.200,G+7
85.800,Cj7
86.000,Cj7
86.600,Cj7
86.800,Cj7
87.000,Cj7
87.200,Cj7
87.400,Cj7
87.600,Cj7
87.800,Cj7
88.000,Gm7b5
88.200,Gm7b5
88.400,Gm7b5
88.600,Gm7b5
88.800,Gm7b5
89.200,C+7
89.400,C+7
89.600,C+7
89.800,C+7
90.400,Fm7b5
90.600,Fm7b5
90.800,Fm7b5
91.000,Fm7b5
91.200,Fm7b5
91.800,A#+7
92.000,A#+7
92.400,A#+7
92.600,A#+7
92.800,A#+7
93.400,Dm7b5
93.600,Dm7b5
94.200,Dm7b5
94.400,Dm7b5
95.000,Dm7b5
95.200,Dm7b5
95.800,Dm7b5
96.000,Dm7b5
96.600,G+7
96.800,G+7
97.000,G+7
97.600,G+7
97.800,G+7
98.400,G+7
98.600,G+7
99.200,Cj7
99.400,Cj7
100.000,Cj7
100.200,Cj7
100.800,Cj7
101.000,Cj7
101.600,Cj7
101.800,Cj7
102.400,Cj7
102.600,Cj7
103.200,Cj7
103.400,Cj7
104.000,Cj7
104.200,Cj7
104.800,Cj7
105.000,Cj7
105.600,Gm7b5
105.800,Gm7b5
106.400,Gm7b5
106.600,Gm7b5
107.200,Gm7b5
107.800,Gm7b5
108.000,Gm7b5
108.600,C+7
108.800,C+7
109.400,C+7
109.600,C+7
110.200,C+7
110.400,C+7
111.000,C+7
111.200,C+7
111.800,Fm7b5
112.000,Fm7b5
112.600,Fm7b5
112.800,Fm7b5
113.400,Fm7b5
113.600,Fm7b5
114.200,Fm7b5
114.400,Fm7b5
115.000,A#+7
115.200,A#+7
115.800,A#+7
116.000,A#+7
116.600,A#+7
116.800,A#+7
117.400,A#+7
117.600,Dm7b5
117.800,Dm7b5
118.000,Dm7b5
118.200,Dm7b5
118.800,G+7
119.000,G+7
119.600,G+7
119.800,G+7
120.000,G+7
120.600,G+7
120.800,G+7
121.400,Cj7
121.600,Cj7
122.200,Cj7
122.400,Cj7
123.000,Cj7
123.200,Cj7
123.800,Cj7
124.000,Cj7
124.200,Cj7
124.400,Cj7
125.000,Cj7
125.200,Cj7
125.800,Cj7
126.000,Cj7
126.600,C-7
126.800,C-7
127.400,C-7
127.600,C-7
128.200,C-7
128.400,C-7
129.000,C-7
129.200,C-7
129.400,F7
129.600,F7
129.800,F7
130.000,F7
130.600,A#j7
130.800,A#j7
131.400,A#j7
131.600,A#j7
132.200,A#j7
132.400,A#j7
132.600,A#j7
132.800,A#j7
133.000,A#j7
133.200,A#j7
133.400,Gb7
133.600,Gb7
133.800,Gb7
134.000,Gb7
134.200,Gb7
134.400,Gb7
134.600,Gb7
134.800,Gb7
135.000,G7
135.200,G7
135.400,G7
136.000,G7
136.200,G7
136.800,G7
137.000,G7
137.600,G7
137.800,G7
138.400,G7
138.600,G7
139.200,G7
139.400,G7
140.000,G7
140.200,G7
140.800,Gm7b5
141.000,Gm7b5
141.600,Gm7b5
141.800,Gm7b5
142.000,Gm7b5
142.200,Gm7b5
142.400,C+7
142.600,C+7
142.800,C+7
143.000,C+7
143.600,Fm7b5
143.800,Fm7b5
144.400,Fm7b5
144.600,Fm7b5
145.200,Fm7b5
145.400,Fm7b5
146.000,Fm7b5
146.200,Fm7b5
146.800,A#+7
147.000,A#+7
147.600,A#+7
147.800,A#+7
148.400,A#+7
148.600,A#+7
149.200,A#+7
149.400,A#+7
150.000,Dm7b5
150.200,Dm7b5
150.800,Dm7b5
151.000,Dm7b5
151.600,Dm7b5
151.800,Dm7b5
152.400,Dm7b5
152.600,Dm7b5
153.200,G+7
153.400,G+7
154.000,G+7
154.200,G+7
154.800,G+7
155.000,G+7
155.600,G+7
155.800,G+7
156.400,Cj7
156.600,Cj7
157.200,Cj7
157.400,Cj7
157.800,Cj7
158.000,Cj7
158.200,Cj7
158.400,Cj7
158.600,Cj7
158.800,Cj7
159.000,Gm7b5
159.200,Gm7b5
159.400,Gm7b5
159.600,Gm7b5
159.800,C+7
160.000,C+7
160.200,C+7
160.400,C+7
160.600,Fm7b5
160.800,Fm7b5
161.400,Fm7b5
161.600,Fm7b5
162.200,Fm7b5
162.400,Fm7b5
163.000,Fm7b5
163.200,Fm7b5
163.800,A#+7
164.000,A#+7
164.600,A#+7
164.800,A#+7
165.400,A#+7
165.600,A#+7
165.800,A#+7
166.000,Dm7b5
166.200,Dm7b5
166.400,Dm7b5
166.600,Dm7b5
166.800,G+7
167.000,G+7
167.200,G+7
167.400,G+7
167.600,Cj7
167.800,Cj7
168.000,Cj7
168.200,Cj7
168.400,Cj7
168.600,Cj7
168.800,Cj7
169.000,Cj7
169.600,Gm7b5
169.800,Gm7b5
170.400,Gm7b5
170.600,Gm7b5
171.200,Gm7b5
171.400,Gm7b5
172.000,Gm7b5
172.200,Gm7b5
172.800,C+7
173.000,C+7
173.600,C+7
173.800,C+7
174.400,C+7
174.600,C+7
174.800,C+7
175.400,Fm7b5
175.600,Fm7b5
176.200,Fm7b5
176.400,Fm7b5
177.000,Fm7b5
177.200,Fm7b5
177.800,Fm7b5
178.200,A#+7
178.400,A#+7
