time,chord
13.900,C:maj7
15.540,A:min7
17.270,D:min7
19.010,G:7
20.700,E:7
22.368,A:hdim7
24.035,D:min7
25.756,G:sus4(b7)
27.476,C:maj7
29.191,A:min7
30.906,D:min7
32.640,G:7
34.375,E:7
36.075,A:7
37.775,D:min7
39.476,G:sus4(b7)
41.176,C:maj7
42.938,A:min7
44.700,D:min7
46.440,G:7
48.190,E:7
49.990,A:hdim7
51.750,D:7
53.520,G:sus4(b7)
55.280,C:maj7
57.060,A:min7
58.810,D:min7
60.510,G:7
62.260,C:maj6
63.960,Bb:7
65.690,C:maj7
69.200,E:min7
70.980,A:7
72.780,E:min7
74.530,A:7
76.320,D:maj7
78.090,G:maj7
79.850,D:maj7
83.480,D:min7
85.260,G:7
87.010,D:min7
88.850,G:7
90.600,E:min7
92.380,A:7
94.180,D:7
96.020,G:sus4(b7)
97.870,C:maj7
99.710,A:min7
101.450,D:min7
103.260,G:7
105.100,E:7
106.940,A:7
108.800,D:7
110.660,G:sus4(b7)
112.480,C:maj7
114.310,A:7(b9)
116.110,D:min7
117.950,G:7
119.830,C:maj6
127.180,E:min7
129.100,A:7
130.940,E:min7
132.780,A:7
134.640,D:maj7
136.530,G:maj7
138.400,D:maj7
142.110,D:min7
144.050,G:7
145.930,D:min7
147.820,G:7
149.750,E:min7
151.670,A:7
153.580,D:7
155.550,G:sus4(b7)
157.500,C:maj7
159.470,A:min7
161.470,D:min7
163.390,G:7
165.320,E:7
167.373,A:7
169.347,D:7
171.239,G:sus4(b7)
173.190,C:maj7
175.198,A:7(b9)
177.149,D:min7
179.204,G:7
181.224,E:hdim7
185.141,A:7
189.041,D:min7
193.023,G:7
