time,chord
13.400,A#j7
13.600,A#j7
13.600,A#j7
13.800,A#j7
13.800,A#j7
14.000,A#j7
14.000,A#j7
14.200,A#j7
14.200,F-7
14.400,F-7
14.400,F-7
14.600,F-7
14.800,F-7
15.000,A#7
15.200,A#7
15.400,A#7
15.400,A#7
15.600,D#bj7
15.600,D#bj7
15.800,D#bj7
15.800,D#bj7
16.000,D#bj7
16.000,D#bj7
16.200,D#bj7
16.200,D#bj7
16.400,Gb7
16.400,Gb7
16.600,Gb7
16.600,Gb7
16.800,Gb7
16.800,Gb7
17.000,Gb7
17.000,Gb7
17.200,A#j7
17.200,A#j7
17.400,A#j7
17.400,A#j7
17.600,G-7
17.600,G-7
17.800,G-7
17.800,G-7
18.000,C7
18.000,C7
18.200,C7
18.200,C7
18.400,C7
18.400,C7
18.600,C7
18.600,C7
18.800,C-7
18.800,C-7
19.000,C-7
19.000,C-7
19.200,B
19.200,B
19.400,B
19.400,B
19.600,C-7
19.600,C-7
19.800,C-7
19.800,C-7
20.000,F+7
20.200,F+7
20.400,F+7
20.600,F+7
20.600,F+7
20.800,A#j7
20.800,A#j7
21.000,A#j7
21.000,A#j7
21.200,A#j7
21.200,A#j7
21.400,A#j7
21.400,A#j7
21.600,F-7
21.600,F-7
21.800,F-7
21.800,F-7
22.000,A#7
22.000,A#7
22.200,A#7
22.200,A#7
22.400,D#bj7
22.400,D#bj7
22.600,D#bj7
22.600,D#bj7
22.800,D#bj7
22.800,D#bj7
23.000,D#bj7
23.000,D#bj7
23.200,Gb7
23.200,Gb7
23.400,Gb7
23.400,Gb7
23.600,Gb7
23.600,Gb7
23.800,Gb7
24.000,Gb7
24.200,Gb7
24.400,A#j7
24.600,A#j7
24.600,A#j7
24.800,A#j7
24.800,G-7
25.000,G-7
25.000,G-7
25.200,G-7
25.400,G-7
25.600,C7
25.800,C7
26.000,C7
26.200,C7
26.400,C7
26.600,C7
26.800,C7
27.000,C7
27.200,C7
27.400,C7
27.600,C7
27.800,C7
28.000,C7
28.200,C7
28.400,C7
28.600,C-7
28.800,C-7
