time,chord
10.004,N
40.895,G:maj7
41.855,G:maj7
42.835,G:min7
43.325,C:7
43.810,G:min7
44.295,C:7
44.780,F:maj7
45.760,F:maj7
46.725,F:min7
47.700,Bb:7
48.690,Eb:7
49.635,D:7
50.610,G:min
51.565,C:hdim7
52.045,D:7
52.525,B:min7
53.500,E:7
54.480,A:min7
55.440,D:7
56.405,G:maj7
57.385,G:maj7
58.340,G:min7
58.815,C:7
59.295,G:min7
59.785,C:7
60.280,F:maj7
61.255,F:maj7
62.215,F:min7
63.180,Bb:7
64.140,Eb:7
65.100,D:7
66.050,G:maj
67.015,A:min7
67.490,D:7
67.965,G:maj/3
68.450,Bb:7
68.945,A:min7
69.435,Ab:7
69.915,G:maj7
70.870,A:min7
71.360,D:7
71.845,G:maj7
72.825,G:maj7
73.805,G:min7
74.300,C:7
74.800,G:min7
75.280,C:7
75.760,F:maj7
76.735,F:maj7
77.705,F:min7
78.685,Bb:7
79.650,Eb:7
80.635,D:7
81.590,G:min
82.565,C:hdim7
83.050,D:7
83.540,B:min7
84.520,E:7
85.505,A:min7
86.475,D:7
87.445,G:maj7
88.435,G:maj7
89.370,G:min7
89.860,C:7
90.365,G:min7
90.850,C:7
91.325,F:maj7
92.320,F:maj7
93.280,F:min7
94.260,Bb:7
95.215,Eb:7
96.185,D:7
97.150,G:maj
98.130,A:min7
98.620,D:7
99.115,G:maj/3
99.615,Bb:7
100.095,A:min7
100.575,Ab:7
101.055,G:maj7
102.015,A:min7
102.500,D:7
103.000,G:maj7
103.985,G:maj7
104.955,G:min7
105.445,C:7
105.925,G:min7
106.400,C:7
106.880,F:maj7
107.850,F:maj7
108.810,F:min7
109.760,Bb:7
110.710,Eb:7
111.655,D:7
112.605,G:min
113.555,C:hdim7
114.035,D:7
114.520,B:min7
115.500,E:7
116.465,A:min7
117.430,D:7
118.395,G:maj7
119.390,G:maj7
120.365,G:min7
120.855,C:7
121.355,G:min7
121.840,C:7
122.335,F:maj7
123.320,F:maj7
124.280,F:min7
125.260,Bb:7
126.220,Eb:7
127.185,D:7
128.150,G:maj
129.125,A:min7
129.610,D:7
130.100,G:maj/3
130.590,Bb:7
131.070,A:min7
131.550,Ab:7
132.035,G:maj7
133.005,A:min7
133.495,D:7
133.985,G:maj7
134.975,G:maj7
135.965,G:min7
136.465,C:7
136.965,G:min7
137.455,C:7
137.945,F:maj7
138.930,F:maj7
139.920,F:min7
140.870,Bb:7
141.825,Eb:7
142.790,D:7
143.750,G:min
144.710,C:hdim7
145.190,D:7
145.675,B:min7
146.630,E:7
147.580,A:min7
148.540,D:7
149.475,G:maj7
150.445,G:maj7
151.405,G:min7
151.880,C:7
152.360,G:min7
152.845,C:7
153.325,F:maj7
154.285,F:maj7
155.235,F:min7
156.190,Bb:7
157.150,Eb:7
158.115,D:7
159.065,G:maj
160.025,A:min7
160.500,D:7
160.980,G:maj/3
161.460,Bb:7
161.940,A:min7
162.415,Ab:7
162.880,G:maj7
163.830,A:min7
164.310,D:7
164.795,G:maj7
165.750,G:maj7
166.700,G:min7
167.180,C:7
167.670,G:min7
168.155,C:7
168.620,F:maj7
169.565,F:maj7
170.495,F:min7
171.450,Bb:7
172.385,Eb:7
173.335,D:7
174.265,G:min
175.195,C:hdim7
175.665,D:7
176.140,B:min7
177.065,E:7
178.005,A:min7
178.945,D:7
179.895,G:maj7
180.830,G:maj7
181.755,G:min7
182.235,C:7
182.705,G:min7
183.170,C:7
183.650,F:maj7
184.605,F:maj7
185.540,F:min7
186.500,Bb:7
187.445,Eb:7
188.380,D:7
189.330,G:maj
190.295,A:min7
190.760,D:7
191.220,G:maj/3
191.685,Bb:7
192.160,A:min7
192.635,Ab:7
193.105,G:maj7
194.055,A:min7
194.520,D:7
194.980,G:maj7
195.925,G:maj7
196.890,G:min7
197.365,C:7
197.850,G:min7
198.335,C:7
198.810,F:maj7
199.780,F:maj7
200.730,F:min7
201.680,Bb:7
202.635,Eb:7
203.565,D:7
204.525,G:min
205.495,C:hdim7
205.970,D:7
206.455,B:min7
207.415,E:7
208.365,A:min7
209.325,D:7
210.300,G:maj7
211.265,G:maj7
212.230,G:min7
212.715,C:7
213.205,G:min7
213.695,C:7
214.170,F:maj7
215.130,F:maj7
216.090,F:min7
217.055,Bb:7
218.015,Eb:7
218.985,D:7
219.930,G:maj
220.948,A:min7
221.430,D:7
221.912,G:maj/3
222.400,Bb:7
222.887,A:min7
223.357,Ab:7
223.828,G:maj7
224.791,A:min7
225.261,D:7
225.730,G:maj7
226.700,G:maj7
227.675,G:min7
228.160,C:7
228.650,G:min7
229.140,C:7
229.630,F:maj7
230.590,F:maj7
231.545,F:min7
232.505,Bb:7
233.465,Eb:7
234.415,D:7
235.375,G:min
236.345,C:hdim7
236.825,D:7
237.320,B:min7
238.300,E:7
239.265,A:min7
240.245,D:7
241.225,G:maj7
242.200,G:maj7
243.160,G:min7
243.650,C:7
244.140,G:min7
244.620,C:7
245.090,F:maj7
246.050,F:maj7
247.000,F:min7
247.945,Bb:7
248.910,Eb:7
249.875,D:7
250.855,G:maj
251.820,A:min7
252.311,D:7
252.801,G:maj/3
253.283,Bb:7
253.765,A:min7
254.253,Ab:7
254.740,G:maj7
255.692,A:min7
256.157,D:7
256.621,N
282.853,B:min7
283.318,Bb:7
283.783,A:min7
284.256,D:7
284.730,G:maj
