time,chord
5.550,A:min
6.240,F#:hdim7
6.950,B:7
7.640,E:7
8.340,A:min
9.050,F#:hdim7
9.740,D:min7
10.450,G:7
11.120,C:maj7
11.820,A:min7
12.500,D:min7
13.160,G:7
13.860,C:maj7
15.280,B:hdim7
15.960,E:7
16.700,A:min
17.390,F#:hdim7
18.080,B:7
18.780,E:7
19.480,A:min
20.170,F#:hdim7
20.870,D:min7
21.560,G:7
22.260,C:maj7
22.960,A:min7
23.670,D:min7
24.360,G:7
25.060,C:maj7
25.770,G:7
26.450,C:maj7
27.870,A:7
29.300,D:min7
30.700,D:min7
31.400,G:7
32.110,C:maj7
33.520,A:7
34.930,D:min7
36.330,D:min7
37.030,G:7
37.740,C:maj7
38.450,E:7
39.140,A:min
39.870,F#:hdim7
40.590,B:7
41.310,E:7
42.020,A:min
42.740,F#:hdim7
43.420,D:min7
44.110,G:7
44.800,C:maj7
45.520,A:min7
46.210,D:min7
46.910,G:7
47.600,C:maj7
49.020,B:hdim7
49.720,E:7
50.430,A:min
51.140,F#:hdim7
51.860,B:7
52.580,E:7
53.280,A:min
54.000,F#:hdim7
54.690,D:min7
55.380,G:7
56.080,C:maj7
56.790,A:min7
57.500,D:min7
58.210,G:7
58.930,C:maj7
60.340,B:hdim7
61.050,E:7
61.740,A:min
62.450,F#:hdim7
63.160,B:7
63.880,E:7
64.590,A:min
65.280,F#:hdim7
65.990,D:min7
66.680,G:7
67.400,C:maj7
68.090,A:min7
68.780,D:min7
69.480,G:7
70.190,C:maj7
70.890,G:7
71.600,C:maj7
72.990,A:7
74.390,D:min7
75.770,D:min7
76.480,G:7
77.170,C:maj7
78.570,A:7
79.970,D:min7
81.370,D:min7
82.080,G:7
82.790,C:maj7
83.480,E:7
84.190,A:min
84.900,F#:hdim7
85.600,B:7
86.310,E:7
87.010,A:min
87.700,F#:hdim7
88.410,D:min7
89.110,G:7
89.830,C:maj7
90.550,A:min7
91.240,D:min7
91.960,G:7
92.680,C:maj7
94.060,B:hdim7
94.770,E:7
95.470,A:min
96.180,F#:hdim7
96.890,B:7
97.600,E:7
98.320,A:min
99.020,F#:hdim7
99.700,D:min7
100.420,G:7
101.110,C:maj7
101.830,A:min7
102.530,D:min7
103.220,G:7
103.920,C:maj7
105.340,B:hdim7
106.030,E:7
106.750,A:min
107.490,F#:hdim7
108.170,B:7
108.880,E:7
109.580,A:min
110.310,F#:hdim7
111.010,D:min7
111.710,G:7
112.410,C:maj7
113.110,A:min7
113.810,D:min7
114.500,G:7
115.200,C:maj7
115.890,G:7
116.590,C:maj7
118.020,A:7
119.440,D:min7
120.850,D:min7
121.550,G:7
122.270,C:maj7
123.690,A:7
125.110,D:min7
126.540,D:min7
127.250,G:7
127.960,C:maj7
128.670,E:7
129.390,A:min
130.110,F#:hdim7
130.830,B:7
131.550,E:7
132.270,A:min
132.970,F#:hdim7
133.670,D:min7
134.380,G:7
135.070,C:maj7
135.770,A:min7
136.510,D:min7
137.210,G:7
137.960,C:maj7
