time,chord
5.640,F:maj7
7.010,E:hdim7
7.670,A:7
8.330,D:min7
9.020,G:7
9.710,C:min7
10.400,F:7
11.090,F:min7
11.780,Bb:7
12.460,A:hdim7
13.170,D:7
13.860,G:7
15.270,C:7
16.690,F:maj7
18.100,E:hdim7
18.800,A:7
19.510,D:min7
20.210,G:7
20.910,C:min7
21.630,F:7
22.340,F:min7
23.060,Bb:7
23.770,A:hdim7
24.490,D:7
25.210,G:min7
25.920,C:7
26.630,F:maj7
28.070,C:min7
29.520,F:7
30.960,Bb:maj7
32.400,Bb:maj7
33.840,Eb:min7
35.260,Ab:7
36.710,Db:maj7
38.140,G:min7
38.900,C:7
39.610,F:maj7
41.060,E:hdim7
41.790,A:7
42.500,D:min7
43.220,G:7
43.950,C:min7
44.670,F:7
45.400,F:min7
46.130,Bb:7
46.840,A:hdim7
47.580,D:7
48.300,G:min7
49.020,C:7
49.740,F:maj7
51.210,F:maj7
52.700,E:hdim7
53.450,A:7
54.180,D:min7
54.900,G:7
55.620,C:min7
56.350,F:7
57.090,F:min7
57.830,Bb:7
58.560,A:hdim7
59.300,D:7
60.020,G:7
61.470,C:7
62.930,F:maj7
64.400,E:hdim7
65.110,A:7
65.860,D:min7
66.590,G:7
67.350,C:min7
68.060,F:7
68.800,F:min7
69.520,Bb:7
70.250,A:hdim7
71.000,D:7
71.730,G:min7
72.460,C:7
73.200,F:maj7
74.680,C:min7
76.160,F:7
77.630,Bb:maj7
79.110,Bb:maj7
80.580,Eb:min7
82.060,Ab:7
83.530,Db:maj7
85.000,G:min7
85.740,C:7
86.470,F:maj7
87.960,E:hdim7
88.700,A:7
89.440,D:min7
90.190,G:7
90.940,C:min7
91.680,F:7
92.420,F:min7
93.170,Bb:7
93.890,A:hdim7
94.610,D:7
95.340,G:min7
96.080,C:7
96.800,F:maj7
98.280,F:maj7
99.770,E:hdim7
100.510,A:7
101.230,D:min7
101.960,G:7
102.690,C:min7
103.420,F:7
104.160,F:min7
104.880,Bb:7
105.600,A:hdim7
106.330,D:7
107.030,G:7
108.490,C:7
109.950,F:maj7
111.430,E:hdim7
112.170,A:7
112.910,D:min7
113.640,G:7
114.370,C:min7
115.100,F:7
115.840,F:min7
116.580,Bb:7
117.310,A:hdim7
118.050,D:7
118.790,G:min7
119.520,C:7
120.270,F:maj7
121.770,C:min7
123.280,F:7
124.760,Bb:maj7
126.220,Bb:maj7
127.670,Eb:min7
129.150,Ab:7
130.610,Db:maj7
132.080,G:min7
132.820,C:7
133.550,F:maj7
135.030,E:hdim7
135.770,A:7
136.520,D:min7
137.250,G:7
137.990,C:min7
138.730,F:7
139.460,F:min7
140.220,Bb:7
140.970,A:hdim7
141.710,D:7
142.460,G:min7
143.210,C:7
143.950,F:maj7
145.410,F:maj7
146.900,E:hdim7
147.660,A:7
148.400,D:min7
149.140,G:7
149.860,C:min7
150.580,F:7
151.320,F:min7
152.050,Bb:7
152.790,A:hdim7
153.510,D:7
154.240,G:7
155.710,C:7
157.170,F:maj7
158.640,E:hdim7
159.370,A:7
160.100,D:min7
160.840,G:7
161.580,C:min7
162.320,F:7
163.070,F:min7
163.810,Bb:7
164.570,A:hdim7
165.320,D:7
166.060,G:min7
166.800,C:7
167.540,F:maj7
169.020,C:min7
170.540,F:7
172.030,Bb:maj7
173.490,Bb:maj7
174.930,Eb:min7
176.400,Ab:7
177.860,Db:maj7
179.330,G:min7
180.060,C:7
180.810,F:maj7
182.260,E:hdim7
182.980,A:7
183.710,D:min7
184.420,G:7
185.120,C:min7
185.820,F:7
186.560,F:min7
187.280,Bb:7
188.000,A:hdim7
188.710,D:7
189.440,G:min7
190.140,C:7
190.860,F:maj7
192.320,F:maj7
193.800,E:hdim7
194.530,A:7
195.280,D:min7
196.030,G:7
196.770,C:min7
197.510,F:7
198.210,F:min7
198.950,Bb:7
199.690,A:hdim7
200.420,D:7
201.170,G:7
202.660,C:7
204.130,F:maj7
205.600,E:hdim7
206.350,A:7
207.090,D:min7
207.840,G:7
208.580,C:min7
209.310,F:7
210.050,F:min7
210.780,Bb:7
211.520,A:hdim7
212.240,D:7
212.990,G:min7
213.730,C:7
214.480,F:maj7
215.940,C:min7
217.440,F:7
218.980,Bb:maj7
220.490,Bb:maj7
221.950,Eb:min7
223.460,Ab:7
224.960,Db:maj7
226.450,G:min7
227.210,C:7
227.960,F:maj7
229.480,E:hdim7
230.230,A:7
230.980,D:min7
231.730,G:7
232.470,C:min7
233.220,F:7
233.960,F:min7
234.700,Bb:7
235.450,A:hdim7
236.170,D:7
236.920,G:min7
237.660,C:7
238.410,F:maj7
239.920,F:maj7
241.450,E:hdim7
242.210,A:7
242.960,D:min7
243.720,G:7
244.480,C:min7
245.230,F:7
245.980,F:min7
246.750,Bb:7
247.500,A:hdim7
248.270,D:7
249.020,G:7
250.520,C:7
252.040,F:maj7
253.540,E:hdim7
254.270,A:7
255.020,D:min7
255.760,G:7
256.500,C:min7
257.250,F:7
258.000,F:min7
258.740,Bb:7
259.490,A:hdim7
260.230,D:7
260.970,G:min7
261.710,C:7
262.440,F:maj7
263.910,C:min7
265.410,F:7
266.900,Bb:maj7
268.410,Bb:maj7
269.890,Eb:min7
271.380,Ab:7
272.860,Db:maj7
274.340,G:min7
275.080,C:7
275.830,F:maj7
277.360,E:hdim7
278.100,A:7
278.850,D:min7
279.620,G:7
280.370,C:min7
281.110,F:7
281.860,F:min7
282.600,Bb:7
283.350,A:hdim7
284.090,D:7
284.830,G:min7
285.570,C:7
286.310,F:maj7
287.800,F:maj7
289.320,E:hdim7
290.090,A:7
290.840,D:min7
291.560,G:7
292.320,C:min7
293.070,F:7
293.830,F:min7
294.600,Bb:7
295.340,A:hdim7
296.110,D:7
296.840,G:7
298.360,C:7
299.890,F:maj7
301.410,E:hdim7
302.140,A:7
302.900,D:min7
303.660,G:7
304.410,C:min7
305.190,F:7
305.960,F:min7
306.730,Bb:7
307.470,A:hdim7
308.240,D:7
309.010,G:min7
309.770,C:7
310.510,F:maj7
312.030,C:min7
313.550,F:7
315.070,Bb:maj7
316.550,Bb:maj7
318.030,Eb:min7
319.520,Ab:7
320.960,Db:maj7
322.390,G:min7
323.140,C:7
323.890,F:maj7
325.420,E:hdim7
326.170,A:7
326.930,D:min7
327.690,G:7
328.450,C:min7
329.200,F:7
329.970,F:min7
330.720,Bb:7
331.470,A:hdim7
332.250,D:7
333.010,G:min7
333.790,C:7
334.570,F:maj7
