time,chord
23.8,C:maj6(9)
24.2,C:maj6(9)
24.6,C:maj6(9)
25.0,C:maj6(9)
25.4,E:min7
25.8,E:min7
26.2,A:7
26.6,A:7
27.0,D:min7
27.4,D:min7
27.8,G:7
28.2,G:7
28.6,C:maj6(9)
29.0,C:maj6(9)
29.4,C:maj6(9)
29.8,C:maj6(9)
30.2,C:maj6(9)
30.6,C:maj6(9)
31.0,C:maj6(9)
31.4,C:maj6(9)
31.8,E:min7
32.2,E:min7
32.6,A:7
33.0,A:7
33.4,D:min7
33.6,D:min7
34.2,D:min7
34.6,G:7
35.0,G:7
35.8,C:maj6(9)
36.0,C:maj6(9)
36.4,C:maj6(9)
36.8,C:maj6(9)
37.2,C:maj6(9)
37.6,E:hdim7
39.0,E:hdim7
39.4,E:hdim7
39.8,E:hdim7
40.2,A:7(#9)
40.6,A:7(#9)
41.0,A:7(#9)
41.4,A:7(#9)
41.8,D:min7
42.0,D:min7
42.8,D:min7
43.2,D:min7
43.6,D:min7
44.0,G:7
44.4,G:7
44.8,G:7
45.2,G:7
46.0,C:maj6(9)
46.2,C:maj6(9)
47.0,C:maj6(9)
47.4,C:7
47.8,C:7
48.2,F:maj7
48.6,F:maj7
49.0,F#:dim
49.4,F#:dim
49.8,C:maj/5
50.2,C:maj/5
50.6,G:7
51.0,G:7
51.4,C:7(9)
51.8,C:7(9)
52.2,C:7(9)
52.6,C:7(9)
53.0,C:maj6(9)
53.4,C:maj6(9)
53.6,C:maj6(9)
54.0,C:maj6(9)
54.4,C:maj6(9)
55.2,E:min7
55.6,E:min7
56.0,A:7
56.4,A:7
56.8,D:min7
57.2,D:min7
57.6,G:7
58.0,G:7
58.8,C:maj6(9)
59.0,C:maj6(9)
60.4,C:maj6(9)
60.6,C:maj6(9)
62.0,C:maj6(9)
62.2,C:maj6(9)
63.0,C:maj6(9)
63.4,C:maj6(9)
63.8,C:maj6(9)
64.2,C:maj6(9)
64.6,C:maj6(9)
65.0,E:min7
65.4,E:min7
66.8,A:7
67.0,A:7
67.8,A:7
68.6,D:min7
68.8,D:min7
70.2,D:min7
70.4,D:min7
71.8,G:7
72.2,G:7
72.6,C:maj6(9)
73.0,C:maj6(9)
73.4,C:maj6(9)
73.8,C:maj6(9)
74.2,E:hdim7
74.6,E:hdim7
75.0,E:hdim7
75.4,E:hdim7
75.8,A:7(#9)
76.2,A:7(#9)
76.6,A:7(#9)
77.0,A:7(#9)
77.8,D:min7
78.0,D:min7
79.4,D:min7
79.6,D:min7
81.0,D:min7
81.4,D:min7
81.8,G:7
82.0,G:7
82.6,G:7
83.0,G:7
83.4,G:7
83.8,C:maj6(9)
84.2,C:maj6(9)
84.6,C:7
85.0,C:7
85.4,F:maj7
85.8,F:maj7
86.2,F#:dim
86.6,F#:dim
87.0,C:maj/5
87.4,C:maj/5
87.8,G:7
88.0,G:7
89.0,G:7
89.4,C:7(9)
89.8,C:7(9)
90.2,C:7(9)
90.6,C:7(9)
91.0,C:maj6(9)
91.4,C:maj6(9)
91.8,C:maj6(9)
92.2,C:maj6(9)
92.6,E:min7
93.0,E:min7
93.4,A:7
93.8,A:7
94.2,D:min7
94.6,D:min7
95.0,G:7
95.4,G:7
95.8,C:maj6(9)
96.2,C:maj6(9)
96.6,C:maj6(9)
97.0,C:maj6(9)
97.4,C:maj6(9)
97.8,C:maj6(9)
98.2,C:maj6(9)
98.6,C:maj6(9)
99.0,E:min7
99.4,E:min7
99.8,A:7
100.2,A:7
100.6,D:min7
101.0,D:min7
101.4,G:7
101.8,G:7
102.2,C:maj6(9)
102.6,C:maj6(9)
103.0,C:maj6(9)
103.4,C:maj6(9)
103.8,E:hdim7
104.0,E:hdim7
105.4,E:hdim7
105.8,E:hdim7
106.2,E:hdim7
106.6,A:7(#9)
107.0,A:7(#9)
107.4,A:7(#9)
107.8,A:7(#9)
108.2,D:min7
108.8,D:min7
109.2,D:min7
109.6,D:min7
110.0,G:7
110.4,G:7
110.8,G:7
111.2,G:7
112.2,C:maj6(9)
112.4,C:maj6(9)
113.0,C:maj6(9)
113.4,C:7
113.8,C:7
114.2,F:maj7
114.6,F:maj7
115.0,F#:dim
115.4,F#:dim
115.8,C:maj/5
116.2,C:maj/5
117.0,G:7
117.4,G:7
117.8,C:7(9)
118.2,C:7(9)
118.6,C:7(9)
119.0,C:7(9)
