time,chord
53.8,D#bj7
54.0,D#bj7
54.0,D#bj7
54.2,D#bj7
54.2,D#bj7
54.4,D#bj7
54.4,D#bj7
54.6,D#bj7
54.8,D#bj7
55.0,Dm7b5
55.2,Dm7b5
55.4,Dm7b5
55.6,Dm7b5
55.8,Dm7b5
56.0,Dm7b5
56.2,Dm7b5
56.4,Dm7b5
56.6,G79b
56.8,G79b
57.0,G79b
57.0,G79b
57.2,C-7
57.2,C-7
57.4,C-7
57.4,C-7
57.6,C-7
57.6,C-7
57.8,C-7
57.8,C-7
58.0,A#-7
58.0,A#-7
58.2,A#-7
58.2,A#-7
58.4,D#b7
58.4,D#b7
58.6,D#b7
58.6,D#b7
58.8,Gbj7
58.8,Gbj7
59.0,Gbj7
59.0,Gbj7
59.2,Fm7b5
59.2,Fm7b5
59.4,A#7
59.4,A#7
59.6,D#bj7
59.6,D#bj7
59.8,D#bj7
59.8,D#bj7
60.0,C-7
60.2,C-7
60.2,C-7
60.4,C-7
60.4,F7
60.6,F7
60.6,F7
60.8,F7
60.8,F7
61.0,F7
61.0,F7
61.2,F7
61.2,F-7
61.4,F-7
61.4,F-7
61.6,F-7
61.8,F-7
62.0,A#7
62.2,A#7
62.4,A#7
62.6,A#7
62.8,A#7
63.0,A#7
63.2,A#7
63.4,A#7
63.6,D#bj7
63.8,D#bj7
64.0,D#bj7
64.2,D#bj7
64.4,D#bj7
64.6,D#bj7
64.8,D#bj7
65.0,D#bj7
65.2,D#bj7
65.4,D#bj7
65.6,D#bj7
65.8,D#bj7
66.0,D#bj7
66.2,D#bj7
66.4,D#bj7
66.4,Dm7b5
66.6,Dm7b5
66.6,Dm7b5
66.8,Dm7b5
66.8,G79b
67.0,G79b
67.0,G79b
67.2,G79b
67.4,G79b
67.6,C-7
67.8,C-7
68.0,C-7
68.2,C-7
68.4,C-7
68.6,C-7
68.8,C-7
69.0,C-7
69.2,C-7
69.4,C-7
69.6,C-7
69.8,C-7
70.0,C-7
70.2,C-7
70.2,A#-7
70.4,A#-7
70.4,A#-7
70.6,A#-7
70.6,D#b7
70.8,D#b7
70.8,D#b7
71.0,D#b7
71.0,Gbj7
71.2,Gbj7
71.4,Gbj7
71.6,Gbj7
71.8,Gbj7
72.0,Gbj7
72.2,Gbj7
72.4,Fm7b5
72.6,Fm7b5
72.8,Fm7b5
73.0,Fm7b5
73.2,A#7
73.4,A#7
73.6,A#7
73.6,D#bj7
73.8,D#bj7
73.8,D#bj7
74.0,D#bj7
74.0,G-7
74.2,G-7
74.2,C7
74.4,C7
74.4,D#bj7
74.6,D#bj7
74.6,D7
74.8,D7
74.8,G7
75.0,G7
75.0,C7
75.2,C7
75.2,F-7
75.4,F-7
75.4,A#7
75.6,A#7
75.6,D#b6
75.8,D#b6
75.8,A#7
76.0,A#7
76.0,D#bj7
76.2,D#bj7
76.2,D#bj7
76.4,D#bj7
76.4,D#bj7
76.6,D#bj7
76.6,D#bj7
76.8,D#bj7
77.0,D#bj7
77.2,Dm7b5
77.4,Dm7b5
77.6,Dm7b5
77.8,Dm7b5
78.0,Dm7b5
78.2,Dm7b5
78.4,G79b
78.4,G79b
78.6,G79b
78.6,G79b
78.8,C-7
78.8,C-7
79.0,C-7
79.0,C-7
79.2,C-7
79.2,C-7
79.4,C-7
79.4,C-7
79.6,A#-7
79.6,A#-7
79.8,A#-7
79.8,A#-7
80.0,D#b7
80.0,D#b7
80.2,D#b7
80.2,D#b7
80.4,Gbj7
80.4,Gbj7
80.6,Gbj7
80.6,Gbj7
80.8,Fm7b5
80.8,Fm7b5
81.0,A#7
81.0,A#7
81.2,D#bj7
81.2,D#bj7
81.4,D#bj7
81.4,D#bj7
81.6,C-7
81.6,C-7
81.8,C-7
82.0,C-7
82.2,C-7
82.4,F7
82.4,F7
82.6,F7
82.6,F7
82.8,F7
82.8,F7
83.0,F7
83.0,F7
83.2,F-7
83.2,F-7
83.4,F-7
83.4,F-7
83.6,A#7
83.6,A#7
83.8,A#7
83.8,A#7
84.0,D#bj7
84.0,D#bj7
84.2,D#bj7
84.2,D#bj7
84.4,D#bj7
84.4,D#bj7
84.6,D#bj7
84.6,D#bj7
84.8,Dm7b5
84.8,Dm7b5
85.0,Dm7b5
85.0,Dm7b5
85.2,G79b
85.2,G79b
85.4,G79b
85.4,G79b
85.6,C-7
85.6,C-7
85.8,C-7
85.8,C-7
86.0,C-7
86.0,C-7
86.2,C-7
86.2,C-7
86.4,A#-7
86.4,A#-7
86.6,A#-7
86.6,A#-7
86.8,D#b7
86.8,D#b7
87.0,D#b7
87.0,D#b7
87.2,Gbj7
87.2,Gbj7
87.4,Gbj7
87.4,Gbj7
87.6,Fm7b5
87.8,Fm7b5
88.0,Fm7b5
88.2,A#7
88.4,A#7
88.4,D#bj7
88.6,D#bj7
88.8,D#bj7
89.0,D#bj7
89.2,D#bj7
89.4,D#bj7
89.6,D#bj7
89.8,G-7
90.0,G-7
90.2,G-7
90.4,G-7
90.6,C7
90.8,C7
91.0,C7
91.2,C7
91.4,D#bj7
91.6,D#bj7
91.8,D#bj7
92.0,D#bj7
92.2,D7
92.4,D7
92.6,D7
92.8,D7
93.0,G7
93.2,G7
93.4,G7
93.6,G7
93.8,C7
94.0,C7
94.2,C7
94.4,C7
94.6,F-7
94.8,F-7
95.0,F-7
95.2,F-7
95.4,A#7
95.6,A#7
95.8,A#7
96.0,A#7
96.2,D#b6
96.4,D#b6
96.6,D#b6
96.8,A#7
96.8,A#7
