time,chord
12.200,Fj7
12.400,Fj7
12.600,Fj7
12.800,Fj7
13.400,G-7
13.600,G-7
14.000,G-7
14.600,C7
14.800,C7
15.000,Fj7
15.200,Fj7
15.400,Fj7
15.600,Fj7
16.200,A#-7
16.400,A#-7
16.600,D#b7
16.800,D#b7
17.000,D#b7
17.200,D#b7
17.400,D7
17.600,D7
18.200,D7
18.400,D7
19.000,G-7
19.200,G-7
19.800,G-7
20.000,G-7
20.400,C7
20.600,C7
20.800,F
21.000,F
21.200,F
21.400,F
22.000,Gb-7
22.200,Gb-7
22.800,Gb-7
23.000,Gb-7
23.200,C#b7
23.400,C#b7
23.600,F#bj7
23.800,F#bj7
24.000,F#bj7
24.200,F#bj7
24.400,Gb-7
24.600,Gb-7
25.200,C#b7
25.400,C#b7
26.000,C#b7
26.200,C#b7
26.400,F#bj7
26.600,F#bj7
26.800,F#bj7
27.000,F#bj7
27.600,B7
27.800,B7
28.200,B7
28.400,E7
28.600,E7
29.200,A#-7
29.400,A#-7
29.800,A#-7
30.000,A7
30.200,A7
30.400,Gb-7
30.600,Gb-7
31.200,C#b7
31.400,C#b7
32.000,C#b7
32.600,F#b
32.800,F#b
33.400,F#b
33.600,F#b
34.200,F#b
34.400,F#b
34.600,A-7
34.800,A-7
35.000,D7
35.200,D7
35.400,Gj7
35.600,Gj7
35.800,Gj7
36.000,Gj7
36.200,G-7
36.400,G-7
37.000,C7
37.200,C7
37.800,Fj7
38.000,Fj7
38.600,Fj7
38.800,Fj7
39.000,Fj7
39.200,Fj7
39.400,F-7
39.600,F-7
40.200,A#7
40.400,A#7
41.000,A#7
41.200,D#bj7
41.400,D#bj7
41.600,D#bj7
41.800,D#bj7
42.000,Gb-7
42.200,Gb-7
42.800,C#b7
43.000,C#b7
43.600,F#bj7
43.800,F#bj7
44.000,F#bj7
44.200,F#bj7
44.800,G-7
45.000,G-7
45.600,C7
45.800,C7
46.400,C7
46.600,C7
47.000,Fj7
47.200,Fj7
47.400,Fj7
47.600,Fj7
47.800,G-7
48.000,G-7
48.200,C7
48.400,C7
48.600,Fj7
48.800,Fj7
49.000,Fj7
49.200,Fj7
49.400,A#-7
49.600,A#-7
49.800,D#b7
50.000,D#b7
50.200,A-7
50.400,A-7
50.600,D7
50.800,D7
51.000,G-7
51.200,G-7
51.400,C7
51.600,C7
52.200,F
52.400,F
52.600,F
52.800,F
53.400,G-7
53.600,G-7
53.800,G-7
54.400,C7
54.600,C7
55.000,C7
55.200,Fj7
55.400,Fj7
55.600,Fj7
55.800,Fj7
56.400,G-7
56.600,G-7
57.200,G-7
57.400,G-7
58.000,C7
58.200,C7
58.600,C7
58.800,Fj7
59.000,Fj7
59.200,Fj7
59.400,Fj7
59.600,A#-7
59.800,A#-7
60.000,D#b7
60.200,D#b7
